date,value
1870-01-01,0.045000
1871-01-01,0.045000
1872-01-01,0.045000
1873-01-01,0.046000
1874-01-01,0.050000
1875-01-01,0.050000
1876-01-01,0.050000
1877-01-01,0.050000
1878-01-01,0.050000
1879-01-01,0.048000
1880-01-01,0.041000
1881-01-01,0.040000
1882-01-01,0.045000
1883-01-01,0.045000
1884-01-01,0.041000
1885-01-01,0.045000
1886-01-01,0.041000
1887-01-01,0.039000
1888-01-01,0.031000
1889-01-01,0.031000
1890-01-01,0.039000
1891-01-01,0.041000
1892-01-01,0.043000
1893-01-01,0.037000
1894-01-01,0.035000
1895-01-01,0.035000
1896-01-01,0.028000
1897-01-01,0.036000
1898-01-01,0.041000
1899-01-01,0.049000
1900-01-01,0.050000
1901-01-01,0.048000
1902-01-01,0.041000
1903-01-01,0.040000
1904-01-01,0.041000
1905-01-01,0.042000
1906-01-01,0.046000
1907-01-01,0.051000
1908-01-01,0.055000
1909-01-01,0.042000
1910-01-01,0.041000
1911-01-01,0.042000
1912-01-01,0.041000
1913-01-01,0.045000
1914-01-01,0.045000
1915-01-01,0.045000
1916-01-01,0.042000
1917-01-01,0.047000
1918-01-01,0.054000
1919-01-01,0.049000
1920-01-01,0.054000
1921-01-01,0.050000
1922-01-01,0.033000
1923-01-01,0.032000
1924-01-01,0.040000
1925-01-01,0.039000
1926-01-01,0.039000
1927-01-01,0.040000
1928-01-01,0.038000
1929-01-01,0.041000
1930-01-01,0.036000
1931-01-01,0.037000
1932-01-01,0.038600
1933-01-01,0.027900
1934-01-01,0.020000
1935-01-01,0.020000
1936-01-01,0.020000
1937-01-01,0.020000
1938-01-01,0.020000
1939-01-01,0.020000
1940-01-01,0.028300
1941-01-01,0.027500
1942-01-01,0.025000
1943-01-01,0.025000
1944-01-01,0.025000
1945-01-01,0.020500
1946-01-01,0.020000
1947-01-01,0.020000
1948-01-01,0.020000
1949-01-01,0.020000
1950-01-01,0.025400
1951-01-01,0.030000
1952-01-01,0.030000
1953-01-01,0.030000
1954-01-01,0.030000
1955-01-01,0.036900
1956-01-01,0.040300
1957-01-01,0.046000
1958-01-01,0.046700
1959-01-01,0.045000
1960-01-01,0.047400
1961-01-01,0.047500
1962-01-01,0.042500
1963-01-01,0.047500
1964-01-01,0.057500
1965-01-01,0.062500
1966-01-01,0.067500
1967-01-01,0.065000
1968-01-01,0.055000
1969-01-01,0.075000
1970-01-01,0.075000
1971-01-01,0.055000
1972-01-01,0.055000
1973-01-01,0.055000
1974-01-01,0.075000
1975-01-01,0.065000
1976-01-01,0.085000
1977-01-01,0.085000
1978-01-01,0.070000
1979-01-01,0.095000
1980-01-01,0.112500
1981-01-01,0.117500
1982-01-01,0.112500
1983-01-01,0.097500
1984-01-01,0.107500
1985-01-01,0.120000
1986-01-01,0.090000
1987-01-01,0.087500
1988-01-01,0.095000
1989-01-01,0.091600
1990-01-01,0.099300
1991-01-01,0.079600
1992-01-01,0.078000
1993-01-01,0.049508
1994-01-01,0.047407
1995-01-01,0.060101
1996-01-01,0.023631
1997-01-01,0.023712
1998-01-01,0.018244
1999-01-01,0.030729
2000-01-01,0.039546
2001-01-01,0.039956
2002-01-01,0.040666
2003-01-01,0.030328
2004-01-01,0.021092
2005-01-01,0.017167
2006-01-01,0.023317
2007-01-01,0.035525
2008-01-01,0.039050
2009-01-01,0.003992
2010-01-01,0.005042
2011-01-01,0.016542
2012-01-01,0.012533
2013-01-01,0.009250
2014-01-01,0.004208
2015-01-01,-0.002892
2016-01-01,-0.006550
2017-01-01,-0.006950
2018-01-01,-0.006858
2019-01-01,-0.004208
2020-01-01,-0.001350
