date,value
1883-01-01,0.102488
1884-01-01,0.096795
1885-01-01,0.045019
1886-01-01,0.082836
1887-01-01,0.021314
1888-01-01,-0.005869
1889-01-01,0.131675
1890-01-01,0.089064
1891-01-01,-0.003541
1892-01-01,0.051235
1893-01-01,0.049837
1894-01-01,0.039445
1895-01-01,0.058431
1896-01-01,0.097289
1897-01-01,0.129207
1898-01-01,0.047685
1899-01-01,0.071254
1900-01-01,0.067658
1901-01-01,0.100655
1902-01-01,0.027465
1903-01-01,0.110948
1904-01-01,0.044428
1905-01-01,0.127462
1906-01-01,0.099953
1907-01-01,0.001576
1908-01-01,0.016716
1909-01-01,0.071302
1910-01-01,0.079370
1911-01-01,0.124305
1912-01-01,0.078837
1913-01-01,0.045903
1914-01-01,-0.073110
1915-01-01,0.151434
1916-01-01,0.198870
1917-01-01,0.104061
1918-01-01,-0.026143
1919-01-01,0.038168
1920-01-01,0.054418
1921-01-01,0.056712
1922-01-01,0.005553
1923-01-01,0.103188
1924-01-01,0.106528
1925-01-01,0.126807
1926-01-01,0.126483
1927-01-01,0.133963
1928-01-01,0.116832
1929-01-01,0.059089
1930-01-01,0.047905
1931-01-01,0.031276
1932-01-01,0.030471
1933-01-01,0.066735
1934-01-01,0.105428
1935-01-01,0.103195
1936-01-01,0.118608
1937-01-01,0.082918
1938-01-01,0.113662
1939-01-01,0.055142
1940-01-01,0.030607
1941-01-01,0.106517
1942-01-01,0.147037
1943-01-01,0.069382
1944-01-01,0.109219
1945-01-01,0.090489
1946-01-01,0.157048
1947-01-01,0.057967
1948-01-01,0.041753
1949-01-01,0.139374
1950-01-01,0.016603
1951-01-01,0.015197
1952-01-01,0.130321
1953-01-01,0.123280
1954-01-01,-0.078868
1955-01-01,0.134378
1956-01-01,0.245027
1957-01-01,0.254481
1958-01-01,0.118562
1959-01-01,0.162909
1960-01-01,0.098784
1961-01-01,0.114190
1962-01-01,0.093638
1963-01-01,0.171017
1964-01-01,0.168814
1965-01-01,0.140225
1966-01-01,0.113753
1967-01-01,0.118351
1968-01-01,0.160140
1969-01-01,0.112749
1970-01-01,0.066126
1971-01-01,0.137144
1972-01-01,0.147561
1973-01-01,0.109863
1974-01-01,0.128551
1975-01-01,0.273570
1976-01-01,0.196974
1977-01-01,0.176467
1978-01-01,0.163711
1979-01-01,0.135096
1980-01-01,0.089519
1981-01-01,0.140343
1982-01-01,0.137201
1983-01-01,0.222058
1984-01-01,0.090999
1985-01-01,0.154730
1986-01-01,0.251997
1987-01-01,0.119357
1988-01-01,0.315164
1989-01-01,0.214654
1990-01-01,0.072494
1991-01-01,0.129050
1992-01-01,0.006119
1993-01-01,0.182436
1994-01-01,0.066078
1995-01-01,0.154516
1996-01-01,0.226771
1997-01-01,0.187990
1998-01-01,0.150334
1999-01-01,0.411578
2000-01-01,0.019696
2001-01-01,-0.006762
2002-01-01,-0.034705
2003-01-01,0.202310
2004-01-01,0.169704
2005-01-01,0.230322
2006-01-01,0.178811
2007-01-01,0.059113
2008-01-01,-0.034973
2009-01-01,0.197602
2010-01-01,0.161935
2011-01-01,-0.000164
2012-01-01,0.072085
2013-01-01,0.144553
2014-01-01,0.135690
2015-01-01,0.122744
2016-01-01,0.089220
2017-01-01,0.081460
2018-01-01,-0.017346
2019-01-01,0.181669
