date,value
1870-01-01,2.641634
1871-01-01,2.710804
1872-01-01,2.819499
1873-01-01,3.043478
1874-01-01,3.152174
1875-01-01,3.132411
1876-01-01,3.142292
1877-01-01,3.125823
1878-01-01,2.921607
1879-01-01,2.740448
1880-01-01,2.882082
1881-01-01,2.954545
1882-01-01,2.875494
1883-01-01,2.859025
1884-01-01,2.753623
1885-01-01,2.625165
1886-01-01,2.496706
1887-01-01,2.407773
1888-01-01,2.493412
1889-01-01,2.605402
1890-01-01,2.661397
1891-01-01,2.743742
1892-01-01,2.694335
1893-01-01,2.585639
1894-01-01,2.453887
1895-01-01,2.500000
1896-01-01,2.480237
1897-01-01,2.559289
1898-01-01,2.681159
1899-01-01,2.799736
1900-01-01,2.832675
1901-01-01,2.763505
1902-01-01,2.786561
1903-01-01,2.832675
1904-01-01,2.799736
1905-01-01,2.859025
1906-01-01,2.918314
1907-01-01,3.069829
1908-01-01,3.115942
1909-01-01,3.086298
1910-01-01,3.086298
1911-01-01,3.178524
1912-01-01,3.244401
1913-01-01,3.254282
1914-01-01,3.297101
1915-01-01,3.787879
1916-01-01,4.281950
1917-01-01,5.401845
1918-01-01,7.938076
1919-01-01,8.761528
1920-01-01,8.926219
1921-01-01,7.279315
1922-01-01,6.060606
1923-01-01,5.731225
1924-01-01,5.731225
1925-01-01,5.830040
1926-01-01,5.632411
1927-01-01,5.566535
1928-01-01,5.632411
1929-01-01,5.533597
1930-01-01,5.335968
1931-01-01,5.171278
1932-01-01,5.105402
1933-01-01,4.973650
1934-01-01,5.006588
1935-01-01,5.105402
1936-01-01,5.171278
1937-01-01,5.335968
1938-01-01,5.434783
1939-01-01,5.599473
1940-01-01,6.357049
1941-01-01,7.213439
1942-01-01,7.707510
1943-01-01,7.740448
1944-01-01,7.707510
1945-01-01,7.674572
1946-01-01,7.707510
1947-01-01,7.938076
1948-01-01,8.399209
1949-01-01,8.432148
1950-01-01,8.563900
1951-01-01,10.013175
1952-01-01,10.737813
1953-01-01,10.803689
1954-01-01,10.869565
1955-01-01,11.166008
1956-01-01,11.725955
1957-01-01,12.252964
1958-01-01,12.779974
1959-01-01,12.878788
1960-01-01,13.405797
1961-01-01,13.702240
1962-01-01,14.361001
1963-01-01,14.789196
1964-01-01,15.250329
1965-01-01,16.040843
1966-01-01,17.094862
1967-01-01,17.786561
1968-01-01,18.148880
1969-01-01,18.642951
1970-01-01,19.927536
1971-01-01,21.409750
1972-01-01,22.694335
1973-01-01,24.209486
1974-01-01,26.613966
1975-01-01,29.216074
1976-01-01,32.246377
1977-01-01,35.902503
1978-01-01,39.525692
1979-01-01,42.358366
1980-01-01,48.122530
1981-01-01,53.952569
1982-01-01,58.563900
1983-01-01,63.801054
1984-01-01,68.906456
1985-01-01,73.978920
1986-01-01,77.108037
1987-01-01,80.368906
1988-01-01,85.046113
1989-01-01,90.513834
1990-01-01,100.000000
1991-01-01,109.321476
1992-01-01,111.824769
1993-01-01,117.028986
1994-01-01,119.598155
1995-01-01,122.628458
1996-01-01,123.188406
1997-01-01,123.847167
1998-01-01,123.649539
1999-01-01,124.242424
2000-01-01,125.461133
2001-01-01,128.524374
2002-01-01,131.291173
2003-01-01,133.827404
2004-01-01,134.321476
2005-01-01,134.947299
2006-01-01,136.791831
2007-01-01,139.789196
2008-01-01,144.598155
2009-01-01,144.202899
2010-01-01,146.047431
2011-01-01,149.868248
2012-01-01,151.185771
2013-01-01,151.119895
2014-01-01,150.856390
2015-01-01,150.790514
2016-01-01,152.272727
2017-01-01,155.006588
2018-01-01,158.036891
2019-01-01,160.869565
2020-01-01,161.660079
