date,value
1871-01-01,0.500000
1872-01-01,0.190476
1873-01-01,0.005714
1874-01-01,-0.005682
1875-01-01,-0.011429
1876-01-01,0.023121
1877-01-01,0.045198
1878-01-01,0.000000
1879-01-01,-0.016216
1880-01-01,0.153846
1881-01-01,0.095238
1882-01-01,0.052174
1883-01-01,0.078512
1884-01-01,0.057471
1885-01-01,0.010870
1886-01-01,0.028674
1887-01-01,0.027875
1888-01-01,0.135593
1889-01-01,0.164179
1890-01-01,0.017949
1891-01-01,0.045340
1892-01-01,0.108434
1893-01-01,0.060870
1894-01-01,0.133197
1895-01-01,0.137432
1896-01-01,0.114467
1897-01-01,0.191155
1898-01-01,0.095808
1899-01-01,0.019672
1900-01-01,0.064309
1901-01-01,0.007049
1902-01-01,0.002000
1903-01-01,0.097804
1904-01-01,0.114545
1905-01-01,0.146819
1906-01-01,0.135135
1907-01-01,-0.107769
1908-01-01,0.066713
1909-01-01,0.071758
1910-01-01,0.155405
1911-01-01,0.148857
1912-01-01,0.122628
1913-01-01,0.000824
1914-01-01,-0.235997
1915-01-01,0.186523
1916-01-01,0.326215
1917-01-01,0.005139
1918-01-01,-0.198705
1919-01-01,-0.166738
1920-01-01,-0.186320
1921-01-01,-0.219573
1922-01-01,-0.064309
1923-01-01,-0.002577
1924-01-01,0.179156
1925-01-01,0.152666
1926-01-01,0.157161
1927-01-01,0.263965
1928-01-01,0.218371
1929-01-01,-0.020626
1930-01-01,-0.074800
1931-01-01,-0.344976
1932-01-01,-0.219892
1933-01-01,0.190476
1934-01-01,0.296129
1935-01-01,0.101543
1936-01-01,0.399458
1937-01-01,-0.006135
1938-01-01,0.088369
1939-01-01,-0.197612
1940-01-01,0.115699
1941-01-01,0.243748
1942-01-01,0.145845
1943-01-01,0.117922
1944-01-01,0.153411
1945-01-01,0.100708
1946-01-01,0.142598
1947-01-01,-0.035060
1948-01-01,-0.045006
1949-01-01,0.141694
1950-01-01,0.284833
1951-01-01,0.231615
1952-01-01,-0.110408
1953-01-01,0.183244
1954-01-01,0.382677
1955-01-01,-0.026319
1956-01-01,0.025868
1957-01-01,0.084471
1958-01-01,0.223615
1959-01-01,0.482974
1960-01-01,0.037927
1961-01-01,0.024545
1962-01-01,-0.050706
1963-01-01,0.282529
1964-01-01,0.199350
1965-01-01,0.105094
1966-01-01,-0.200861
1967-01-01,0.081647
1968-01-01,0.394719
1969-01-01,0.055659
1970-01-01,-0.190978
1971-01-01,0.268980
1972-01-01,0.145476
1973-01-01,0.033522
1974-01-01,0.015282
1975-01-01,0.343514
1976-01-01,0.048545
1977-01-01,-0.124648
1978-01-01,0.213774
1979-01-01,0.037304
1980-01-01,0.284438
1981-01-01,0.634197
1982-01-01,0.402866
1983-01-01,0.693813
1984-01-01,-0.093822
1985-01-01,0.287145
1986-01-01,0.536140
1987-01-01,-0.059622
1988-01-01,0.554166
1989-01-01,0.270777
1990-01-01,-0.293404
1991-01-01,0.085845
1992-01-01,0.025579
1993-01-01,0.566435
1994-01-01,0.065454
1995-01-01,0.206326
1996-01-01,0.426300
1997-01-01,0.279184
1998-01-01,0.130885
1999-01-01,0.697572
2000-01-01,-0.108034
2001-01-01,-0.148422
2002-01-01,-0.359030
2003-01-01,0.354937
2004-01-01,0.213515
2005-01-01,0.370010
2006-01-01,0.257958
2007-01-01,-0.028224
2008-01-01,-0.392689
2009-01-01,0.522427
2010-01-01,0.264840
2011-01-01,-0.137107
2012-01-01,0.165641
2013-01-01,0.277650
2014-01-01,0.156737
2015-01-01,0.101913
2016-01-01,0.096700
2017-01-01,0.108400
2018-01-01,-0.040400
2019-01-01,0.338500
2020-01-01,0.165600
