date,value
1883-01-01,0.117680
1884-01-01,0.113851
1885-01-01,0.048349
1886-01-01,0.095166
1887-01-01,0.016592
1888-01-01,-0.034609
1889-01-01,0.148579
1890-01-01,0.110689
1891-01-01,-0.012370
1892-01-01,0.048286
1893-01-01,0.047923
1894-01-01,0.024629
1895-01-01,0.053120
1896-01-01,0.107369
1897-01-01,0.138333
1898-01-01,0.044704
1899-01-01,0.086265
1900-01-01,0.074631
1901-01-01,0.117292
1902-01-01,0.026136
1903-01-01,0.124233
1904-01-01,0.038208
1905-01-01,0.141926
1906-01-01,0.095060
1907-01-01,0.042781
1908-01-01,-0.015412
1909-01-01,0.074393
1910-01-01,0.041462
1911-01-01,0.124605
1912-01-01,0.061561
1913-01-01,0.080756
1914-01-01,-0.008116
1915-01-01,0.155564
1916-01-01,0.127550
1917-01-01,0.219448
1918-01-01,0.108685
1919-01-01,0.170676
1920-01-01,0.161531
1921-01-01,0.119622
1922-01-01,-0.001921
1923-01-01,0.146347
1924-01-01,0.105208
1925-01-01,0.133042
1926-01-01,0.134371
1927-01-01,0.108435
1928-01-01,0.107181
1929-01-01,0.093790
1930-01-01,0.094369
1931-01-01,0.148053
1932-01-01,0.049517
1933-01-01,0.039018
1934-01-01,0.046866
1935-01-01,0.133861
1936-01-01,0.033973
1937-01-01,0.120259
1938-01-01,0.118047
1939-01-01,0.153103
1940-01-01,0.006722
1941-01-01,0.073210
1942-01-01,0.203841
1943-01-01,0.083672
1944-01-01,0.138946
1945-01-01,0.103099
1946-01-01,0.227042
1947-01-01,0.090299
1948-01-01,0.065345
1949-01-01,0.177158
1950-01-01,-0.023500
1951-01-01,-0.034320
1952-01-01,0.216206
1953-01-01,0.144122
1954-01-01,-0.234481
1955-01-01,0.222837
1956-01-01,0.356877
1957-01-01,0.344995
1958-01-01,0.118687
1959-01-01,0.119665
1960-01-01,0.131925
1961-01-01,0.148419
1962-01-01,0.127004
1963-01-01,0.173218
1964-01-01,0.185502
1965-01-01,0.159490
1966-01-01,0.161826
1967-01-01,0.127766
1968-01-01,0.136671
1969-01-01,0.129014
1970-01-01,0.093619
1971-01-01,0.130079
1972-01-01,0.159436
1973-01-01,0.123413
1974-01-01,0.149473
1975-01-01,0.307605
1976-01-01,0.233068
1977-01-01,0.213552
1978-01-01,0.177387
1979-01-01,0.160252
1980-01-01,0.078302
1981-01-01,0.063211
1982-01-01,0.086968
1983-01-01,0.095797
1984-01-01,0.132706
1985-01-01,0.133117
1986-01-01,0.155574
1987-01-01,0.237032
1988-01-01,0.281911
1989-01-01,0.256570
1990-01-01,0.182341
1991-01-01,0.124508
1992-01-01,-0.046192
1993-01-01,-0.041858
1994-01-01,0.147924
1995-01-01,0.101141
1996-01-01,0.102093
1997-01-01,0.179506
1998-01-01,0.203201
1999-01-01,0.173634
2000-01-01,0.181941
2001-01-01,0.143200
2002-01-01,0.130064
2003-01-01,0.159814
2004-01-01,0.173446
2005-01-01,0.167739
2006-01-01,0.154972
2007-01-01,0.138860
2008-01-01,0.074997
2009-01-01,0.054949
2010-01-01,0.121539
2011-01-01,0.053527
2012-01-01,0.028195
2013-01-01,0.092793
2014-01-01,0.130795
2015-01-01,0.164835
2016-01-01,0.102972
2017-01-01,0.076443
2018-01-01,-0.004703
2019-01-01,0.034190
2020-01-01,0.063650
