date,value
1875-01-01,1.878222
1876-01-01,1.828795
1877-01-01,2.001789
1878-01-01,1.952362
1879-01-01,1.655801
1880-01-01,1.853509
1881-01-01,1.878222
1882-01-01,1.828795
1883-01-01,1.927649
1884-01-01,2.026503
1885-01-01,2.001789
1886-01-01,2.075930
1887-01-01,2.001789
1888-01-01,1.828795
1889-01-01,2.001789
1890-01-01,2.125356
1891-01-01,2.001789
1892-01-01,2.001789
1893-01-01,2.001789
1894-01-01,1.952362
1895-01-01,1.952362
1896-01-01,2.051216
1897-01-01,2.224210
1898-01-01,2.199497
1899-01-01,2.248924
1900-01-01,2.273637
1901-01-01,2.397204
1902-01-01,2.323064
1903-01-01,2.471345
1904-01-01,2.421918
1905-01-01,2.619625
1906-01-01,2.718479
1907-01-01,2.669052
1908-01-01,2.446631
1909-01-01,2.446631
1910-01-01,2.372491
1911-01-01,2.496058
1912-01-01,2.471345
1913-01-01,2.496058
1914-01-01,2.298351
1915-01-01,2.471345
1916-01-01,2.594912
1917-01-01,2.965614
1918-01-01,3.089181
1919-01-01,3.385742
1920-01-01,3.657590
1921-01-01,3.805871
1922-01-01,3.509310
1923-01-01,3.707017
1924-01-01,3.781157
1925-01-01,3.954152
1926-01-01,4.151859
1927-01-01,4.250713
1928-01-01,4.349567
1929-01-01,4.398994
1930-01-01,4.448421
1931-01-01,4.744982
1932-01-01,4.621415
1933-01-01,4.448421
1934-01-01,4.300140
1935-01-01,4.522561
1936-01-01,4.324853
1937-01-01,4.448421
1938-01-01,4.571988
1939-01-01,4.868549
1940-01-01,4.497847
1941-01-01,4.423707
1942-01-01,4.917976
1943-01-01,4.917976
1944-01-01,5.189824
1945-01-01,5.313391
1946-01-01,6.104222
1947-01-01,6.227789
1948-01-01,6.203075
1949-01-01,6.870338
1950-01-01,6.277216
1951-01-01,5.609953
1952-01-01,6.326643
1953-01-01,6.722058
1954-01-01,4.621415
1955-01-01,5.066257
1956-01-01,6.277216
1957-01-01,7.809449
1958-01-01,8.082780
1959-01-01,8.356111
1960-01-01,8.746583
1961-01-01,9.293245
1962-01-01,9.722765
1963-01-01,10.659898
1964-01-01,11.831316
1965-01-01,12.846544
1966-01-01,13.978914
1967-01-01,14.759859
1968-01-01,15.736041
1969-01-01,16.634127
1970-01-01,16.946505
1971-01-01,17.883639
1972-01-01,19.406482
1973-01-01,20.382663
1974-01-01,21.866458
1975-01-01,26.903553
1976-01-01,31.354939
1977-01-01,36.001562
1978-01-01,40.179617
1979-01-01,44.240531
1980-01-01,44.943381
1981-01-01,44.631004
1982-01-01,45.099570
1983-01-01,45.841468
1984-01-01,48.106209
1985-01-01,50.370949
1986-01-01,53.963296
1987-01-01,62.358454
1988-01-01,75.244045
1989-01-01,89.496291
1990-01-01,100.000000
1991-01-01,105.544709
1992-01-01,93.244826
1993-01-01,81.491605
1994-01-01,85.552519
1995-01-01,86.021086
1996-01-01,86.450605
1997-01-01,93.674346
1998-01-01,104.568528
1999-01-01,114.720812
2000-01-01,127.528309
2001-01-01,137.407263
2002-01-01,146.661460
2003-01-01,161.108942
2004-01-01,180.046857
2005-01-01,201.210465
2006-01-01,223.037876
2007-01-01,244.279578
2008-01-01,252.206169
2009-01-01,256.228036
2010-01-01,277.547833
2011-01-01,282.233503
2012-01-01,279.851620
2013-01-01,295.185309
2014-01-01,322.950264
2015-01-01,365.328353
2016-01-01,395.440542
2017-01-01,421.689384
2018-01-01,417.752971
2019-01-01,428.119163
2020-01-01,446.102451
