date,value
1870-01-01,4.777498
1871-01-01,4.664680
1872-01-01,4.603779
1873-01-01,4.601871
1874-01-01,4.399909
1875-01-01,4.436667
1876-01-01,4.518417
1877-01-01,4.595750
1878-01-01,4.610333
1879-01-01,4.487583
1880-01-01,4.207167
1881-01-01,4.065000
1882-01-01,4.091500
1883-01-01,4.097750
1884-01-01,4.100333
1885-01-01,4.027833
1886-01-01,3.912917
1887-01-01,3.882667
1888-01-01,3.663417
1889-01-01,3.587333
1890-01-01,3.614083
1891-01-01,3.770417
1892-01-01,3.846917
1893-01-01,3.748000
1894-01-01,3.637500
1895-01-01,3.589750
1896-01-01,3.542833
1897-01-01,3.529250
1898-01-01,3.559083
1899-01-01,3.705750
1900-01-01,3.797250
1901-01-01,3.767583
1902-01-01,3.668833
1903-01-01,3.669500
1904-01-01,3.712083
1905-01-01,3.724333
1906-01-01,3.805417
1907-01-01,3.913833
1908-01-01,3.995583
1909-01-01,3.883167
1910-01-01,3.880167
1911-01-01,3.955333
1912-01-01,4.035417
1913-01-01,4.338000
1914-01-01,4.573833
1915-01-01,4.891750
1916-01-01,5.184833
1917-01-01,5.188333
1918-01-01,5.467500
1919-01-01,5.423333
1920-01-01,6.090833
1921-01-01,5.876667
1922-01-01,4.781667
1923-01-01,4.851667
1924-01-01,4.890000
1925-01-01,4.814167
1926-01-01,4.682500
1927-01-01,4.571667
1928-01-01,4.618333
1929-01-01,4.556667
1930-01-01,4.176667
1931-01-01,4.219167
1932-01-01,4.316667
1933-01-01,4.021667
1934-01-01,3.471667
1935-01-01,3.190000
1936-01-01,3.124167
1937-01-01,3.039167
1938-01-01,2.338333
1939-01-01,2.896667
1940-01-01,3.913333
1941-01-01,3.390833
1942-01-01,3.232500
1943-01-01,3.274167
1944-01-01,3.278333
1945-01-01,3.040833
1946-01-01,3.011667
1947-01-01,3.023333
1948-01-01,3.077500
1949-01-01,3.017500
1950-01-01,3.108333
1951-01-01,3.231667
1952-01-01,3.281667
1953-01-01,3.274167
1954-01-01,3.244167
1955-01-01,3.702500
1956-01-01,3.749167
1957-01-01,4.330000
1958-01-01,4.335000
1959-01-01,4.282500
1960-01-01,4.565833
1961-01-01,4.555000
1962-01-01,4.989167
1963-01-01,4.925000
1964-01-01,5.640000
1965-01-01,6.179167
1966-01-01,6.569167
1967-01-01,6.060833
1968-01-01,6.303333
1969-01-01,6.974167
1970-01-01,7.391667
1971-01-01,7.234167
1972-01-01,7.292500
1973-01-01,7.385000
1974-01-01,7.785000
1975-01-01,8.787500
1976-01-01,9.280833
1977-01-01,9.737500
1978-01-01,10.092500
1979-01-01,10.184167
1980-01-01,11.742500
1981-01-01,13.487500
1982-01-01,13.041667
1983-01-01,12.362500
1984-01-01,12.587500
1985-01-01,13.127500
1986-01-01,10.292500
1987-01-01,11.685000
1988-01-01,11.348333
1989-01-01,11.180000
1990-01-01,13.155000
1991-01-01,10.690833
1992-01-01,10.015000
1993-01-01,8.539167
1994-01-01,9.518333
1995-01-01,10.244167
1996-01-01,8.027500
1997-01-01,6.617583
1998-01-01,4.957667
1999-01-01,5.021583
2000-01-01,5.342917
2001-01-01,5.107500
2002-01-01,5.303333
2003-01-01,4.638333
2004-01-01,4.425000
2005-01-01,3.383333
2006-01-01,3.705000
2007-01-01,4.167500
2008-01-01,3.888333
2009-01-01,3.250000
2010-01-01,2.893333
2011-01-01,2.605833
2012-01-01,1.592500
2013-01-01,2.120833
2014-01-01,1.715833
2015-01-01,0.719167
2016-01-01,0.540000
2017-01-01,0.655000
2018-01-01,0.651667
2019-01-01,0.046667
2020-01-01,-0.038333
