date,value
1883-01-01,0.113465
1884-01-01,0.108023
1885-01-01,0.044358
1886-01-01,0.088106
1887-01-01,0.017727
1888-01-01,-0.018727
1889-01-01,0.150130
1890-01-01,0.100673
1891-01-01,-0.007276
1892-01-01,0.053888
1893-01-01,0.049140
1894-01-01,0.035999
1895-01-01,0.062310
1896-01-01,0.108137
1897-01-01,0.144341
1898-01-01,0.050803
1899-01-01,0.079227
1900-01-01,0.073567
1901-01-01,0.107078
1902-01-01,0.024053
1903-01-01,0.121702
1904-01-01,0.045484
1905-01-01,0.142388
1906-01-01,0.107211
1907-01-01,0.000587
1908-01-01,0.009667
1909-01-01,0.073598
1910-01-01,0.085525
1911-01-01,0.134304
1912-01-01,0.084989
1913-01-01,0.050678
1914-01-01,-0.083493
1915-01-01,0.166709
1916-01-01,0.218546
1917-01-01,0.113539
1918-01-01,-0.034717
1919-01-01,0.034800
1920-01-01,0.068152
1921-01-01,0.040667
1922-01-01,-0.015219
1923-01-01,0.116105
1924-01-01,0.120753
1925-01-01,0.137220
1926-01-01,0.139259
1927-01-01,0.145785
1928-01-01,0.130267
1929-01-01,0.058088
1930-01-01,0.042982
1931-01-01,0.041072
1932-01-01,0.009304
1933-01-01,0.064731
1934-01-01,0.097006
1935-01-01,0.127385
1936-01-01,0.126252
1937-01-01,0.090672
1938-01-01,0.111033
1939-01-01,0.089888
1940-01-01,0.026834
1941-01-01,0.108048
1942-01-01,0.192328
1943-01-01,0.090761
1944-01-01,0.141970
1945-01-01,0.102602
1946-01-01,0.211527
1947-01-01,0.071262
1948-01-01,0.050583
1949-01-01,0.172428
1950-01-01,0.024255
1951-01-01,0.010202
1952-01-01,0.166504
1953-01-01,0.150207
1954-01-01,-0.103124
1955-01-01,0.175776
1956-01-01,0.304979
1957-01-01,0.307259
1958-01-01,0.134883
1959-01-01,0.189989
1960-01-01,0.114461
1961-01-01,0.128178
1962-01-01,0.097711
1963-01-01,0.190461
1964-01-01,0.188033
1965-01-01,0.151325
1966-01-01,0.119690
1967-01-01,0.122752
1968-01-01,0.170830
1969-01-01,0.120805
1970-01-01,0.064956
1971-01-01,0.144833
1972-01-01,0.157940
1973-01-01,0.115140
1974-01-01,0.138311
1975-01-01,0.311752
1976-01-01,0.215290
1977-01-01,0.191025
1978-01-01,0.180270
1979-01-01,0.150865
1980-01-01,0.097769
1981-01-01,0.148555
1982-01-01,0.147305
1983-01-01,0.267227
1984-01-01,0.072574
1985-01-01,0.178003
1986-01-01,0.294315
1987-01-01,0.144025
1988-01-01,0.380318
1989-01-01,0.261705
1990-01-01,0.057663
1991-01-01,0.114335
1992-01-01,-0.026094
1993-01-01,0.186290
1994-01-01,0.114748
1995-01-01,0.148371
1996-01-01,0.271483
1997-01-01,0.231165
1998-01-01,0.162078
1999-01-01,0.513218
2000-01-01,0.004895
2001-01-01,-0.013623
2002-01-01,-0.068063
2003-01-01,0.242490
2004-01-01,0.190775
2005-01-01,0.261801
2006-01-01,0.204737
2007-01-01,0.065633
2008-01-01,-0.064754
2009-01-01,0.229717
2010-01-01,0.179883
2011-01-01,-0.015404
2012-01-01,0.079282
2013-01-01,0.167541
2014-01-01,0.141510
2015-01-01,0.139358
2016-01-01,0.099802
2017-01-01,0.093163
2018-01-01,-0.022079
2019-01-01,0.202000
