date,value
1871-01-01,0.060010
1872-01-01,0.053520
1873-01-01,0.040890
1874-01-01,0.046984
1875-01-01,0.035593
1876-01-01,0.033011
1877-01-01,0.050155
1878-01-01,0.036316
1879-01-01,0.076826
1880-01-01,0.075276
1881-01-01,0.043060
1882-01-01,0.037091
1883-01-01,0.045669
1884-01-01,0.036431
1885-01-01,0.048310
1886-01-01,0.055397
1887-01-01,0.039871
1888-01-01,0.054964
1889-01-01,0.036384
1890-01-01,0.024486
1891-01-01,0.016384
1892-01-01,0.037519
1893-01-01,0.053426
1894-01-01,0.055933
1895-01-01,0.038384
1896-01-01,0.037442
1897-01-01,0.036300
1898-01-01,0.028108
1899-01-01,0.021227
1900-01-01,0.031094
1901-01-01,0.058969
1902-01-01,0.050911
1903-01-01,0.038300
1904-01-01,0.037486
1905-01-01,0.023481
1906-01-01,0.030421
1907-01-01,0.010459
1908-01-01,0.072528
1909-01-01,0.053419
1910-01-01,0.023224
1911-01-01,0.035521
1912-01-01,0.024525
1913-01-01,0.005565
1914-01-01,-0.000166
1915-01-01,0.045465
1916-01-01,0.050527
1917-01-01,0.026891
1918-01-01,0.022595
1919-01-01,0.058100
1920-01-01,-0.025989
1921-01-01,0.154022
1922-01-01,0.119183
1923-01-01,0.033176
1924-01-01,0.027183
1925-01-01,0.068248
1926-01-01,0.048942
1927-01-01,0.060502
1928-01-01,0.034705
1929-01-01,0.066054
1930-01-01,0.083677
1931-01-01,-0.034960
1932-01-01,0.144162
1933-01-01,0.076517
1934-01-01,0.148012
1935-01-01,-0.022013
1936-01-01,0.075220
1937-01-01,0.034062
1938-01-01,0.130000
1939-01-01,-0.152371
1940-01-01,0.046854
1941-01-01,0.101643
1942-01-01,0.025725
1943-01-01,0.021262
1944-01-01,0.037115
1945-01-01,0.065055
1946-01-01,0.023556
1947-01-01,0.021942
1948-01-01,0.017257
1949-01-01,0.037243
1950-01-01,-0.008322
1951-01-01,0.031979
1952-01-01,0.003854
1953-01-01,0.023798
1954-01-01,0.003748
1955-01-01,-0.000238
1956-01-01,0.022197
1957-01-01,0.034415
1958-01-01,0.050852
1959-01-01,0.041760
1960-01-01,0.027299
1961-01-01,0.040511
1962-01-01,0.070608
1963-01-01,0.031993
1964-01-01,0.030574
1965-01-01,0.043595
1966-01-01,0.058894
1967-01-01,0.076682
1968-01-01,0.058212
1969-01-01,0.033722
1970-01-01,0.075435
1971-01-01,0.073498
1972-01-01,0.059675
1973-01-01,0.066148
1974-01-01,0.049976
1975-01-01,0.042227
1976-01-01,0.071757
1977-01-01,0.081189
1978-01-01,0.074146
1979-01-01,0.067938
1980-01-01,0.064385
1981-01-01,0.119919
1982-01-01,0.115094
1983-01-01,0.130016
1984-01-01,0.123650
1985-01-01,0.114981
1986-01-01,0.169134
1987-01-01,0.067239
1988-01-01,0.133704
1989-01-01,0.054388
1990-01-01,0.122028
1991-01-01,0.178843
1992-01-01,0.095434
1993-01-01,0.172894
1994-01-01,-0.034209
1995-01-01,0.166300
1996-01-01,0.124439
1997-01-01,0.081069
1998-01-01,0.115939
1999-01-01,-0.012248
2000-01-01,0.091854
2001-01-01,0.021660
2002-01-01,0.079796
2003-01-01,0.034841
2004-01-01,0.071755
2005-01-01,0.060865
2006-01-01,0.007259
2007-01-01,0.012354
2008-01-01,0.144255
2009-01-01,-0.023538
2010-01-01,0.018163
2011-01-01,0.111198
2012-01-01,0.018330
2013-01-01,-0.031995
2014-01-01,0.096182
2015-01-01,0.000699
2016-01-01,0.027407
2017-01-01,0.005623
2018-01-01,0.011525
2019-01-01,0.026716
2020-01-01,0.008296
