date,value
1900-01-01,0.013076
1901-01-01,0.100057
1902-01-01,0.039586
1903-01-01,0.028934
1904-01-01,0.022633
1905-01-01,0.033728
1906-01-01,0.037066
1907-01-01,-0.005649
1908-01-01,0.026209
1909-01-01,0.046984
1910-01-01,0.008411
1911-01-01,0.018785
1912-01-01,-0.005695
1913-01-01,0.033392
1914-01-01,0.021214
1916-01-01,0.032047
1917-01-01,0.013565
1918-01-01,-0.001455
1919-01-01,0.001031
1920-01-01,-0.044825
1921-01-01,0.204911
1922-01-01,0.217276
1923-01-01,-0.000532
1924-01-01,0.037070
1925-01-01,0.079993
1926-01-01,0.054672
1927-01-01,0.050938
1928-01-01,0.047416
1929-01-01,0.047438
1930-01-01,0.058770
1931-01-01,0.059305
1932-01-01,0.048569
1933-01-01,0.037288
1934-01-01,0.033988
1935-01-01,0.037719
1936-01-01,0.054342
1937-01-01,0.041131
1938-01-01,0.056387
1939-01-01,0.017322
1940-01-01,0.017672
1941-01-01,0.060974
1942-01-01,0.034295
1943-01-01,0.033628
1944-01-01,0.029585
1945-01-01,0.026013
1946-01-01,0.033548
1947-01-01,0.030031
1948-01-01,0.023954
1949-01-01,0.043798
1950-01-01,0.057424
1951-01-01,0.006578
1952-01-01,0.021785
1953-01-01,0.038633
1954-01-01,0.031547
1955-01-01,0.014787
1956-01-01,0.020919
1957-01-01,0.007913
1958-01-01,0.028066
1959-01-01,0.065247
1960-01-01,0.058469
1961-01-01,0.036641
1962-01-01,0.023125
1963-01-01,0.012088
1964-01-01,0.020835
1965-01-01,0.046029
1966-01-01,0.022613
1967-01-01,0.055553
1968-01-01,0.059490
1969-01-01,0.003875
1970-01-01,0.036719
1971-01-01,0.102691
1972-01-01,0.038258
1973-01-01,-0.003007
1974-01-01,0.018756
1975-01-01,0.142224
1976-01-01,0.140571
1977-01-01,0.082302
1978-01-01,0.076551
1979-01-01,-0.020953
1980-01-01,0.022679
1981-01-01,0.018929
1982-01-01,0.107153
1983-01-01,0.032840
1984-01-01,0.032604
1985-01-01,0.059936
1986-01-01,0.071732
1987-01-01,0.045521
1988-01-01,0.029050
1989-01-01,-0.080680
1990-01-01,0.002926
1991-01-01,0.088296
1992-01-01,0.140440
1993-01-01,0.181974
1994-01-01,-0.022424
1995-01-01,0.155644
1996-01-01,0.051006
1997-01-01,0.088805
1998-01-01,0.114325
1999-01-01,-0.051126
2000-01-01,0.046725
2001-01-01,0.038154
2002-01-01,0.137408
2003-01-01,-0.002538
2004-01-01,0.060955
2005-01-01,0.065028
2006-01-01,-0.021389
2007-01-01,-0.013946
2008-01-01,0.109489
2009-01-01,0.042510
2010-01-01,0.052308
2011-01-01,0.118619
2012-01-01,0.041854
2013-01-01,-0.040456
2014-01-01,0.097068
2015-01-01,0.042099
2016-01-01,-0.002419
2017-01-01,0.005397
2018-01-01,0.008492
2019-01-01,0.026517
2020-01-01,-0.009036
