date,value
1870-01-01,12.835700
1871-01-01,14.089270
1872-01-01,16.988980
1873-01-01,18.058720
1874-01-01,15.090380
1875-01-01,14.210810
1876-01-01,15.394400
1877-01-01,15.525640
1878-01-01,13.881310
1879-01-01,13.176330
1880-01-01,13.184730
1881-01-01,12.502190
1882-01-01,12.538480
1883-01-01,11.987270
1884-01-01,10.773490
1885-01-01,9.656342
1886-01-01,9.257564
1887-01-01,9.455994
1888-01-01,9.301783
1889-01-01,10.023920
1890-01-01,10.463470
1891-01-01,10.745280
1892-01-01,10.598250
1893-01-01,10.375650
1894-01-01,10.313820
1895-01-01,10.041750
1896-01-01,9.918081
1897-01-01,10.066480
1898-01-01,10.449850
1899-01-01,10.128310
1900-01-01,9.757315
1901-01-01,9.880981
1902-01-01,9.942815
1903-01-01,10.140680
1904-01-01,10.140680
1905-01-01,10.486950
1906-01-01,10.783750
1907-01-01,11.092920
1908-01-01,11.241320
1909-01-01,11.426820
1910-01-01,11.909120
1911-01-01,12.193550
1912-01-01,12.638750
1913-01-01,12.366680
1914-01-01,12.589290
1915-01-01,14.477680
1916-01-01,16.869640
1917-01-01,21.527680
1918-01-01,25.682140
1919-01-01,27.948210
1920-01-01,28.200000
1921-01-01,25.178570
1922-01-01,20.646430
1923-01-01,20.646430
1924-01-01,21.275890
1925-01-01,21.150000
1926-01-01,20.394640
1927-01-01,20.142860
1928-01-01,20.268750
1929-01-01,20.268750
1930-01-01,19.891070
1931-01-01,18.883930
1932-01-01,17.373210
1933-01-01,16.491960
1934-01-01,16.240180
1935-01-01,16.114290
1936-01-01,16.366070
1937-01-01,17.247320
1938-01-01,17.247320
1939-01-01,17.373210
1940-01-01,19.009820
1941-01-01,21.905360
1942-01-01,24.297320
1943-01-01,25.556250
1944-01-01,26.185710
1945-01-01,26.437500
1946-01-01,26.185710
1947-01-01,27.318750
1948-01-01,28.197280
1949-01-01,27.972250
1950-01-01,27.539510
1951-01-01,28.855040
1952-01-01,29.582040
1953-01-01,29.391640
1954-01-01,29.599350
1955-01-01,29.876300
1956-01-01,30.326350
1957-01-01,30.920650
1958-01-01,31.488980
1959-01-01,31.285590
1960-01-01,31.735640
1961-01-01,32.321280
1962-01-01,33.716140
1963-01-01,34.875880
1964-01-01,35.950520
1965-01-01,37.178050
1966-01-01,38.953720
1967-01-01,40.520240
1968-01-01,41.497730
1969-01-01,42.530610
1970-01-01,44.068530
1971-01-01,46.965160
1972-01-01,50.093130
1973-01-01,54.478810
1974-01-01,59.799610
1975-01-01,63.804070
1976-01-01,64.898860
1977-01-01,65.732980
1978-01-01,66.426990
1979-01-01,68.850010
1980-01-01,71.619180
1981-01-01,76.267430
1982-01-01,80.580510
1983-01-01,82.971890
1984-01-01,85.390670
1985-01-01,88.330220
1986-01-01,88.994870
1987-01-01,90.283060
1988-01-01,91.961820
1989-01-01,94.867100
1990-01-01,100.000000
1991-01-01,105.844100
1992-01-01,110.133600
1993-01-01,113.787600
1994-01-01,114.746200
1995-01-01,116.824700
1996-01-01,117.773800
1997-01-01,118.384882
1998-01-01,118.406798
1999-01-01,119.363387
2000-01-01,121.227573
2001-01-01,122.427821
2002-01-01,123.212945
2003-01-01,123.996780
2004-01-01,124.989466
2005-01-01,126.455289
2006-01-01,127.799927
2007-01-01,128.738467
2008-01-01,131.864783
2009-01-01,131.233074
2010-01-01,132.135515
2011-01-01,132.437189
2012-01-01,131.519276
2013-01-01,131.235652
2014-01-01,131.220181
2015-01-01,129.722128
2016-01-01,129.158747
2017-01-01,129.847181
2018-01-01,131.060354
2019-01-01,131.533660
2020-01-01,130.579245
