date,value
1900-01-01,0.067178
1901-01-01,0.031808
1902-01-01,0.084645
1903-01-01,0.076505
1904-01-01,0.142681
1905-01-01,0.074149
1906-01-01,0.068052
1907-01-01,-0.071237
1908-01-01,0.091075
1909-01-01,0.115832
1910-01-01,0.063082
1911-01-01,0.037536
1912-01-01,0.007718
1913-01-01,0.046336
1914-01-01,0.060359
1915-01-01,-0.016721
1916-01-01,0.083259
1917-01-01,-0.022123
1918-01-01,0.050555
1919-01-01,-0.069391
1920-01-01,-0.153037
1921-01-01,-0.131972
1922-01-01,0.272035
1923-01-01,0.142591
1924-01-01,0.120849
1925-01-01,0.175107
1926-01-01,0.216900
1927-01-01,0.260991
1928-01-01,0.211144
1929-01-01,-0.061824
1930-01-01,-0.055575
1931-01-01,-0.300905
1932-01-01,0.051598
1933-01-01,0.095407
1934-01-01,-0.072468
1935-01-01,-0.113252
1936-01-01,0.525167
1937-01-01,0.077848
1938-01-01,0.017959
1939-01-01,-0.164968
1940-01-01,0.036218
1941-01-01,0.346609
1942-01-01,0.064278
1943-01-01,-0.015994
1944-01-01,0.055720
1945-01-01,0.160464
1946-01-01,0.075900
1947-01-01,0.098682
1948-01-01,-0.052149
1949-01-01,0.140619
1950-01-01,0.096814
1951-01-01,0.195336
1952-01-01,0.083687
1953-01-01,0.104755
1954-01-01,0.261428
1955-01-01,0.059890
1956-01-01,0.021195
1957-01-01,-0.102544
1958-01-01,0.227641
1959-01-01,0.291961
1960-01-01,0.444604
1961-01-01,0.493902
1962-01-01,-0.177144
1963-01-01,-0.001578
1964-01-01,-0.069317
1965-01-01,-0.069997
1966-01-01,-0.120947
1967-01-01,0.471908
1968-01-01,0.394943
1969-01-01,0.044843
1970-01-01,-0.106498
1971-01-01,0.155002
1972-01-01,0.207291
1973-01-01,-0.199989
1974-01-01,-0.331380
1975-01-01,0.467566
1976-01-01,0.078855
1977-01-01,0.080917
1978-01-01,-0.005118
1979-01-01,0.109289
1980-01-01,0.060668
1981-01-01,-0.119052
1982-01-01,0.132556
1983-01-01,0.272945
1984-01-01,0.045201
1985-01-01,0.613566
1986-01-01,0.097124
1987-01-01,-0.274820
1988-01-01,0.236100
1989-01-01,0.225857
1990-01-01,-0.193147
1991-01-01,0.176701
1992-01-01,0.176400
1993-01-01,0.508100
1994-01-01,-0.076200
1995-01-01,0.230600
1996-01-01,0.182900
1997-01-01,0.551885
1998-01-01,0.153655
1999-01-01,0.116906
2000-01-01,0.119109
2001-01-01,-0.220274
2002-01-01,-0.259515
2003-01-01,0.220638
2004-01-01,0.068907
2005-01-01,0.356082
2006-01-01,0.206668
2007-01-01,-0.000540
2008-01-01,-0.340465
2009-01-01,0.231815
2010-01-01,0.029187
2011-01-01,-0.077211
2012-01-01,0.177224
2013-01-01,0.246002
2014-01-01,0.130011
2015-01-01,0.026752
2016-01-01,-0.007900
2017-01-01,0.200500
2018-01-01,-0.090600
2019-01-01,0.299000
2020-01-01,0.040000
