date,value
1880-01-01,4.100000
1881-01-01,4.000000
1882-01-01,4.150000
1883-01-01,3.950000
1884-01-01,3.800000
1885-01-01,3.800000
1886-01-01,3.650000
1887-01-01,3.500000
1888-01-01,3.500000
1889-01-01,3.550000
1890-01-01,3.550000
1891-01-01,3.600000
1892-01-01,3.450000
1893-01-01,3.110000
1894-01-01,3.020000
1895-01-01,2.940000
1896-01-01,2.870000
1897-01-01,2.930000
1898-01-01,2.970000
1899-01-01,3.775000
1900-01-01,3.820000
1901-01-01,3.602500
1902-01-01,3.477500
1903-01-01,3.477500
1904-01-01,3.523333
1905-01-01,3.535833
1906-01-01,3.549167
1907-01-01,3.657500
1908-01-01,3.735000
1909-01-01,3.640000
1910-01-01,3.700000
1911-01-01,3.849167
1912-01-01,4.019167
1913-01-01,4.170000
1914-01-01,4.160000
1915-01-01,4.750000
1916-01-01,4.850000
1917-01-01,5.030000
1918-01-01,5.340000
1919-01-01,5.560000
1920-01-01,7.000000
1921-01-01,6.100000
1922-01-01,4.800000
1923-01-01,4.790000
1924-01-01,5.310000
1925-01-01,5.050000
1926-01-01,4.800000
1927-01-01,4.790000
1928-01-01,4.730000
1929-01-01,4.660000
1930-01-01,4.120000
1931-01-01,3.860000
1932-01-01,3.800000
1933-01-01,4.020000
1934-01-01,4.160000
1935-01-01,4.640000
1936-01-01,4.430000
1937-01-01,3.410000
1938-01-01,3.240000
1939-01-01,3.760000
1940-01-01,4.060000
1941-01-01,3.390000
1942-01-01,3.150000
1943-01-01,3.320000
1944-01-01,3.270000
1945-01-01,3.290000
1946-01-01,3.100000
1947-01-01,3.170000
1948-01-01,3.420000
1949-01-01,2.940000
1950-01-01,2.670000
1951-01-01,2.950000
1952-01-01,2.840000
1953-01-01,2.550000
1954-01-01,2.620000
1955-01-01,2.970000
1956-01-01,3.110000
1957-01-01,3.640000
1958-01-01,3.190000
1959-01-01,3.080000
1960-01-01,3.090000
1961-01-01,2.960000
1962-01-01,3.130000
1963-01-01,3.250000
1964-01-01,3.970000
1965-01-01,3.950000
1966-01-01,4.160000
1967-01-01,4.610000
1968-01-01,4.370000
1969-01-01,4.900000
1970-01-01,5.820000
1971-01-01,5.270000
1972-01-01,4.970000
1973-01-01,5.600000
1974-01-01,7.150000
1975-01-01,6.440000
1976-01-01,4.990000
1977-01-01,4.050000
1978-01-01,3.330000
1979-01-01,3.450000
1980-01-01,4.770000
1981-01-01,5.570000
1982-01-01,4.832500
1983-01-01,4.515000
1984-01-01,4.702500
1985-01-01,4.776667
1986-01-01,4.293333
1987-01-01,4.117500
1988-01-01,4.148333
1989-01-01,5.197500
1990-01-01,6.680000
1991-01-01,6.350000
1992-01-01,5.480000
1993-01-01,4.050000
1994-01-01,5.230000
1995-01-01,3.730000
1996-01-01,3.630000
1997-01-01,3.080000
1998-01-01,3.044167
1999-01-01,3.040000
2000-01-01,3.925833
2001-01-01,3.383333
2002-01-01,3.200000
2003-01-01,2.660833
2004-01-01,2.740000
2005-01-01,2.095833
2006-01-01,2.517500
2007-01-01,2.927500
2008-01-01,2.896667
2009-01-01,2.203333
2010-01-01,1.631667
2011-01-01,1.471667
2012-01-01,0.646667
2013-01-01,0.949167
2014-01-01,0.692500
2015-01-01,-0.069167
2016-01-01,-0.362500
2017-01-01,-0.072500
2018-01-01,0.032500
2019-01-01,-0.490000
2020-01-01,-0.525000
