date,value
1902-01-01,0.008872
1903-01-01,-0.004700
1904-01-01,0.173533
1905-01-01,0.211699
1906-01-01,0.075407
1907-01-01,0.089023
1908-01-01,0.143502
1909-01-01,0.089046
1910-01-01,0.046338
1911-01-01,0.112638
1912-01-01,0.017191
1913-01-01,0.019617
1914-01-01,-0.016343
1915-01-01,0.017340
1916-01-01,0.066060
1917-01-01,0.137729
1918-01-01,0.238427
1919-01-01,0.058378
1920-01-01,0.041192
1921-01-01,0.020502
1922-01-01,0.075009
1923-01-01,-0.004618
1924-01-01,0.130281
1925-01-01,0.097823
1926-01-01,0.091662
1927-01-01,0.111485
1928-01-01,0.150097
1929-01-01,-0.023080
1930-01-01,-0.005714
1931-01-01,-0.016403
1932-01-01,0.046584
1933-01-01,0.069254
1934-01-01,0.054847
1935-01-01,0.055955
1936-01-01,0.181365
1937-01-01,0.075658
1938-01-01,0.056565
1939-01-01,-0.024265
1940-01-01,0.015273
1941-01-01,0.087241
1942-01-01,0.040150
1943-01-01,0.067822
1944-01-01,0.151714
1945-01-01,0.192718
1946-01-01,0.111738
1947-01-01,0.106649
1948-01-01,0.049800
1949-01-01,0.132111
1950-01-01,0.078780
1951-01-01,0.126930
1952-01-01,0.112990
1953-01-01,0.117103
1954-01-01,0.125426
1955-01-01,0.077401
1956-01-01,0.073561
1957-01-01,0.044540
1958-01-01,0.081238
1959-01-01,0.132641
1960-01-01,0.185549
1961-01-01,0.175157
1962-01-01,0.018281
1963-01-01,0.064475
1964-01-01,0.035666
1965-01-01,0.031585
1966-01-01,0.050639
1967-01-01,0.164550
1968-01-01,0.146111
1969-01-01,0.035676
1970-01-01,0.063486
1971-01-01,0.136836
1972-01-01,0.188158
1973-01-01,0.092073
1974-01-01,-0.024679
1975-01-01,0.123384
1976-01-01,0.052481
1977-01-01,0.115328
1978-01-01,0.057701
1979-01-01,0.123638
1980-01-01,0.109751
1981-01-01,0.080658
1982-01-01,0.104254
1983-01-01,0.138778
1984-01-01,0.098376
1985-01-01,0.265513
1986-01-01,0.097436
1987-01-01,0.014209
1988-01-01,0.175636
1989-01-01,0.167203
1990-01-01,0.012383
1991-01-01,0.071499
1992-01-01,0.053353
1993-01-01,0.189760
1994-01-01,0.004486
1995-01-01,0.099908
1996-01-01,0.083898
1997-01-01,0.284312
1998-01-01,0.101543
1999-01-01,0.090986
2000-01-01,0.099467
2001-01-01,-0.066214
2002-01-01,-0.038942
2003-01-01,0.166193
2004-01-01,0.072462
2005-01-01,0.223237
2006-01-01,0.143991
2007-01-01,0.034736
2008-01-01,-0.085361
2009-01-01,0.166379
2010-01-01,0.068138
2011-01-01,0.026108
2012-01-01,0.128235
2013-01-01,0.157769
2014-01-01,0.088184
2015-01-01,0.046206
