date,value
1870-01-01,0.030500
1871-01-01,0.026300
1872-01-01,0.039000
1873-01-01,0.044900
1874-01-01,0.034100
1875-01-01,0.029000
1876-01-01,0.018900
1877-01-01,0.023400
1878-01-01,0.032300
1879-01-01,0.017600
1880-01-01,0.023200
1881-01-01,0.028600
1882-01-01,0.033800
1883-01-01,0.030300
1884-01-01,0.024000
1885-01-01,0.021300
1886-01-01,0.021300
1887-01-01,0.024000
1888-01-01,0.023800
1889-01-01,0.026900
1890-01-01,0.036600
1891-01-01,0.026300
1892-01-01,0.014300
1893-01-01,0.021300
1894-01-01,0.009700
1895-01-01,0.008000
1896-01-01,0.014700
1897-01-01,0.017800
1898-01-01,0.026600
1899-01-01,0.031800
1900-01-01,0.036600
1901-01-01,0.031600
1902-01-01,0.029700
1903-01-01,0.034100
1904-01-01,0.026800
1905-01-01,0.025600
1906-01-01,0.039900
1907-01-01,0.044700
1908-01-01,0.023200
1909-01-01,0.022900
1910-01-01,0.031600
1911-01-01,0.029100
1912-01-01,0.036200
1913-01-01,0.043700
1914-01-01,0.029100
1915-01-01,0.036600
1916-01-01,0.052000
1917-01-01,0.047900
1918-01-01,0.035700
1919-01-01,0.034800
1920-01-01,0.062100
1921-01-01,0.045800
1922-01-01,0.025700
1923-01-01,0.026200
1924-01-01,0.033900
1925-01-01,0.040900
1926-01-01,0.045100
1927-01-01,0.042500
1928-01-01,0.041500
1929-01-01,0.052600
1930-01-01,0.024800
1931-01-01,0.035900
1932-01-01,0.014900
1933-01-01,0.005900
1934-01-01,0.007300
1935-01-01,0.005500
1936-01-01,0.005800
1937-01-01,0.005600
1938-01-01,0.006100
1939-01-01,0.013200
1940-01-01,0.010300
1941-01-01,0.010100
1942-01-01,0.010000
1943-01-01,0.010000
1944-01-01,0.010000
1945-01-01,0.009000
1946-01-01,0.005000
1947-01-01,0.005100
1948-01-01,0.005100
1949-01-01,0.005200
1950-01-01,0.005200
1951-01-01,0.005600
1952-01-01,0.022000
1953-01-01,0.023000
1954-01-01,0.017900
1955-01-01,0.037500
1956-01-01,0.049500
1957-01-01,0.048100
1958-01-01,0.045600
1959-01-01,0.033800
1960-01-01,0.048900
1961-01-01,0.051400
1962-01-01,0.041700
1963-01-01,0.036700
1964-01-01,0.045900
1965-01-01,0.059100
1966-01-01,0.061200
1967-01-01,0.058100
1968-01-01,0.070300
1969-01-01,0.076300
1970-01-01,0.070200
1971-01-01,0.055800
1972-01-01,0.055200
1973-01-01,0.093800
1974-01-01,0.113800
1975-01-01,0.101800
1976-01-01,0.111500
1977-01-01,0.076600
1978-01-01,0.085100
1979-01-01,0.130000
1980-01-01,0.151200
1981-01-01,0.129800
1982-01-01,0.113800
1983-01-01,0.095900
1984-01-01,0.093000
1985-01-01,0.116000
1986-01-01,0.103400
1987-01-01,0.092300
1988-01-01,0.098000
1989-01-01,0.132800
1990-01-01,0.140900
1991-01-01,0.108200
1992-01-01,0.089400
1993-01-01,0.052100
1994-01-01,0.051500
1995-01-01,0.063300
1996-01-01,0.057800
1997-01-01,0.064800
1998-01-01,0.068200
1999-01-01,0.050400
2000-01-01,0.058000
2001-01-01,0.047600
2002-01-01,0.038600
2003-01-01,0.035600
2004-01-01,0.044400
2005-01-01,0.045500
2006-01-01,0.046500
2007-01-01,0.055300
2008-01-01,0.043200
2009-01-01,0.005300
2010-01-01,0.005000
2011-01-01,0.004800
2012-01-01,0.003130
2013-01-01,0.003020
2014-01-01,0.003800
2015-01-01,0.004400
2016-01-01,0.002024
2017-01-01,0.004123
2018-01-01,0.006998
2019-01-01,0.007098
2020-01-01,0.000394
