date,value
1870-01-01,0.024423
1871-01-01,0.045144
1872-01-01,0.016216
1873-01-01,0.043956
1874-01-01,0.028533
1875-01-01,0.057299
1876-01-01,0.033289
1877-01-01,0.044548
1878-01-01,0.022981
1879-01-01,0.063576
1880-01-01,0.044929
1881-01-01,0.035724
1882-01-01,0.045677
1883-01-01,0.026658
1884-01-01,0.018209
1885-01-01,0.036948
1886-01-01,0.035000
1887-01-01,0.041791
1888-01-01,0.008850
1889-01-01,0.038027
1890-01-01,0.011831
1891-01-01,0.025105
1892-01-01,0.051181
1893-01-01,0.035302
1894-01-01,0.079669
1895-01-01,0.061212
1896-01-01,0.068541
1897-01-01,0.038202
1898-01-01,0.002772
1899-01-01,-0.063456
1900-01-01,-0.004351
1901-01-01,-0.016046
1902-01-01,0.019486
1903-01-01,-0.027631
1904-01-01,0.041458
1905-01-01,0.035830
1906-01-01,-0.010846
1907-01-01,0.000132
1908-01-01,0.035945
1909-01-01,0.018180
1910-01-01,-0.013062
1911-01-01,0.002250
1912-01-01,0.007547
1913-01-01,-0.013174
1914-01-01,0.044682
1915-01-01,0.034000
1916-01-01,-0.202986
1917-01-01,0.030637
1918-01-01,0.127967
1919-01-01,-0.084263
1920-01-01,-0.073387
1921-01-01,0.164649
1922-01-01,0.159672
1923-01-01,0.042221
1924-01-01,0.073520
1925-01-01,0.003139
1926-01-01,0.028755
1927-01-01,0.071688
1928-01-01,0.059311
1929-01-01,-0.015965
1930-01-01,0.131428
1931-01-01,-0.005443
1932-01-01,0.403182
1933-01-01,0.031661
1934-01-01,0.276968
1935-01-01,-0.031190
1936-01-01,0.002684
1937-01-01,-0.092034
1938-01-01,-0.021813
1939-01-01,0.009540
1940-01-01,0.159367
1941-01-01,0.105643
1942-01-01,0.027593
1943-01-01,-0.004982
1944-01-01,0.057250
1945-01-01,0.148149
1946-01-01,0.107610
1947-01-01,-0.143347
1948-01-01,0.006970
1949-01-01,-0.089347
1950-01-01,0.040642
1951-01-01,-0.096837
1952-01-01,-0.006850
1953-01-01,0.138610
1954-01-01,0.060638
1955-01-01,-0.101183
1956-01-01,-0.029814
1957-01-01,-0.063057
1958-01-01,0.170271
1959-01-01,0.009832
1960-01-01,-0.071032
1961-01-01,-0.079440
1962-01-01,0.247768
1963-01-01,0.036340
1964-01-01,-0.023652
1965-01-01,0.043927
1966-01-01,0.042149
1967-01-01,0.023494
1968-01-01,-0.023348
1969-01-01,-0.002488
1970-01-01,0.034527
1971-01-01,0.269080
1972-01-01,-0.041294
1973-01-01,-0.087871
1974-01-01,-0.157680
1975-01-01,0.361257
1976-01-01,0.138826
1977-01-01,0.455556
1978-01-01,-0.025752
1979-01-01,0.041836
1980-01-01,0.191252
1981-01-01,0.099868
1982-01-01,0.535222
1983-01-01,0.078283
1984-01-01,0.037561
1985-01-01,0.199184
1986-01-01,0.125390
1987-01-01,0.178991
1988-01-01,0.068684
1989-01-01,0.082100
1990-01-01,0.082109
1991-01-01,0.184824
1992-01-01,0.200163
1993-01-01,0.227906
1994-01-01,-0.104130
1995-01-01,0.175601
1996-01-01,0.077644
1997-01-01,0.167595
1998-01-01,0.211694
1999-01-01,-0.041475
2000-01-01,0.097945
2001-01-01,0.029549
2002-01-01,0.102087
2003-01-01,0.021114
2004-01-01,0.066381
2005-01-01,0.085014
2006-01-01,-0.005020
2007-01-01,0.062061
2008-01-01,0.159729
2009-01-01,-0.015164
2010-01-01,0.101185
2011-01-01,0.184079
2012-01-01,0.038486
2013-01-01,-0.061271
2014-01-01,0.155964
2015-01-01,0.007676
2016-01-01,0.071265
2017-01-01,0.037439
2018-01-01,0.022330
2019-01-01,0.057202
2020-01-01,0.057524
