date,value
1896-01-01,0.095414
1897-01-01,0.090686
1898-01-01,0.070691
1899-01-01,0.039070
1900-01-01,0.142515
1901-01-01,0.026564
1902-01-01,-0.015535
1903-01-01,0.029666
1904-01-01,0.039710
1905-01-01,0.012165
1906-01-01,0.009102
1907-01-01,0.137682
1908-01-01,-0.019316
1909-01-01,0.108820
1910-01-01,0.088913
1911-01-01,0.009835
1912-01-01,-0.022010
1913-01-01,-0.020616
1914-01-01,-0.053730
1915-01-01,0.168749
1916-01-01,0.021335
1917-01-01,0.150233
1918-01-01,0.167736
1919-01-01,0.007908
1920-01-01,-0.056196
1921-01-01,0.062298
1922-01-01,0.127504
1923-01-01,0.037438
1924-01-01,0.096472
1925-01-01,0.082724
1926-01-01,0.075447
1927-01-01,0.047999
1928-01-01,0.067172
1929-01-01,-0.063581
1930-01-01,0.025516
1931-01-01,-0.035610
1932-01-01,0.205868
1933-01-01,0.105257
1934-01-01,0.121368
1935-01-01,0.065350
1936-01-01,0.100672
1937-01-01,-0.064822
1938-01-01,-0.026413
1939-01-01,0.020664
1947-01-01,0.016806
1948-01-01,-0.004960
1949-01-01,-0.001553
1950-01-01,0.043762
1951-01-01,0.019893
1952-01-01,0.003293
1953-01-01,0.097039
1954-01-01,0.134915
1955-01-01,0.029530
1956-01-01,0.028956
1957-01-01,0.013964
1958-01-01,0.186905
1959-01-01,0.194823
1960-01-01,0.027580
1961-01-01,0.039199
1962-01-01,0.093900
1963-01-01,0.110778
1964-01-01,0.022446
1965-01-01,0.096012
1966-01-01,0.040357
1967-01-01,0.152747
1968-01-01,0.210991
1969-01-01,0.009575
1970-01-01,0.041335
1971-01-01,0.272174
1972-01-01,0.211652
1973-01-01,0.154625
1974-01-01,0.016812
1975-01-01,0.407113
1976-01-01,0.111773
1977-01-01,0.230120
1978-01-01,0.133292
1979-01-01,0.229230
1980-01-01,0.250782
1981-01-01,0.107021
1982-01-01,0.171901
1983-01-01,0.174735
1984-01-01,0.166165
1985-01-01,0.156298
1986-01-01,0.196311
1987-01-01,0.158819
1988-01-01,0.208588
1989-01-01,0.258998
1990-01-01,-0.001465
1991-01-01,0.086307
1992-01-01,0.077721
1993-01-01,0.129475
1994-01-01,0.009099
1995-01-01,0.130662
1996-01-01,0.085578
1997-01-01,0.165522
1998-01-01,0.130521
1999-01-01,0.163921
2000-01-01,0.059861
2001-01-01,0.024222
2002-01-01,0.064213
2003-01-01,0.196085
2004-01-01,0.150250
2005-01-01,0.123714
2006-01-01,0.097694
2007-01-01,0.084462
2008-01-01,-0.057769
2009-01-01,0.034545
2010-01-01,0.095319
2011-01-01,0.013108
2012-01-01,0.052585
2013-01-01,0.086510
2014-01-01,0.087567
2015-01-01,0.054421
2016-01-01,0.102151
2017-01-01,0.081723
2018-01-01,-0.010501
2019-01-01,0.088431
