date,value
1870-01-01,2.197213
1871-01-01,2.227974
1872-01-01,2.332689
1873-01-01,2.405002
1874-01-01,2.325637
1875-01-01,2.281450
1876-01-01,2.274606
1877-01-01,2.258683
1878-01-01,2.208992
1879-01-01,2.111797
1880-01-01,2.175151
1881-01-01,2.151224
1882-01-01,2.172736
1883-01-01,2.161872
1884-01-01,2.103502
1885-01-01,2.040397
1886-01-01,2.007751
1887-01-01,1.997712
1888-01-01,2.011696
1889-01-01,2.039859
1890-01-01,2.043939
1891-01-01,2.058247
1892-01-01,2.066480
1893-01-01,2.052014
1894-01-01,2.010974
1895-01-01,1.990864
1896-01-01,1.984892
1897-01-01,2.014665
1898-01-01,2.020709
1899-01-01,2.034854
1900-01-01,2.138632
1901-01-01,2.149325
1902-01-01,2.149325
1903-01-01,2.157922
1904-01-01,2.153606
1905-01-01,2.162221
1906-01-01,2.162221
1907-01-01,2.188167
1908-01-01,2.199108
1909-01-01,2.210104
1910-01-01,2.229995
1911-01-01,2.232225
1912-01-01,2.299191
1913-01-01,2.289995
1914-01-01,2.283125
1915-01-01,2.568515
1916-01-01,3.033417
1917-01-01,3.797837
1918-01-01,4.633362
1919-01-01,5.101331
1920-01-01,5.886936
1921-01-01,5.380660
1922-01-01,4.627367
1923-01-01,4.349725
1924-01-01,4.319277
1925-01-01,4.332235
1926-01-01,4.297577
1927-01-01,4.194435
1928-01-01,4.181852
1929-01-01,4.144215
1930-01-01,4.028177
1931-01-01,3.854966
1932-01-01,3.754737
1933-01-01,3.675887
1934-01-01,3.675887
1935-01-01,3.701618
1936-01-01,3.727530
1937-01-01,3.854266
1938-01-01,3.915934
1939-01-01,4.025580
1940-01-01,4.701878
1941-01-01,5.209680
1942-01-01,5.579568
1943-01-01,5.769273
1944-01-01,5.925043
1945-01-01,6.090945
1946-01-01,6.279764
1947-01-01,6.719347
1948-01-01,7.236737
1949-01-01,7.439366
1950-01-01,7.730877
1951-01-01,8.430504
1952-01-01,9.328358
1953-01-01,9.666511
1954-01-01,9.888060
1955-01-01,10.389459
1956-01-01,10.925840
1957-01-01,11.345616
1958-01-01,11.672108
1959-01-01,11.742071
1960-01-01,11.835354
1961-01-01,12.220149
1962-01-01,12.733209
1963-01-01,13.001399
1964-01-01,13.421175
1965-01-01,13.992537
1966-01-01,14.552239
1967-01-01,14.878731
1968-01-01,15.473414
1969-01-01,16.277985
1970-01-01,17.339086
1971-01-01,18.971549
1972-01-01,20.335821
1973-01-01,22.236474
1974-01-01,25.734608
1975-01-01,31.576493
1976-01-01,36.520522
1977-01-01,41.977612
1978-01-01,45.114272
1979-01-01,50.244869
1980-01-01,57.859142
1981-01-01,64.692164
1982-01-01,69.939366
1983-01-01,73.390858
1984-01-01,76.515858
1985-01-01,80.282183
1986-01-01,82.952425
1987-01-01,85.611007
1988-01-01,88.829291
1989-01-01,93.481810
1990-01-01,100.000000
1991-01-01,107.532649
1992-01-01,112.115205
1993-01-01,114.925373
1994-01-01,117.199160
1995-01-01,120.312500
1996-01-01,123.200371
1997-01-01,125.448293
1998-01-01,127.402021
1999-01-01,129.094825
2000-01-01,130.123009
2001-01-01,131.728092
2002-01-01,133.386434
2003-01-01,135.202614
2004-01-01,137.019092
2005-01-01,139.837498
2006-01-01,143.093911
2007-01-01,146.417756
2008-01-01,151.691600
2009-01-01,154.976209
2010-01-01,160.087591
2011-01-01,167.233410
2012-01-01,171.963175
2013-01-01,176.373685
2014-01-01,178.950560
2015-01-01,179.022318
2016-01-01,180.203267
2017-01-01,185.068756
2018-01-01,189.695474
2019-01-01,193.109993
2020-01-01,194.847983
