date,value
1896-01-01,0.096798
1897-01-01,0.123465
1898-01-01,0.097620
1899-01-01,0.048613
1900-01-01,0.196008
1901-01-01,0.018929
1902-01-01,-0.071171
1903-01-01,0.044466
1904-01-01,-0.001318
1905-01-01,-0.052793
1906-01-01,-0.042731
1907-01-01,0.230676
1908-01-01,-0.063421
1909-01-01,0.129167
1910-01-01,0.151571
1911-01-01,0.005593
1912-01-01,-0.057008
1913-01-01,-0.020426
1914-01-01,-0.093068
1915-01-01,0.274412
1916-01-01,0.100543
1917-01-01,0.291909
1918-01-01,0.276063
1919-01-01,-0.003764
1920-01-01,-0.055509
1921-01-01,0.015612
1922-01-01,0.086715
1923-01-01,0.080194
1924-01-01,0.082805
1925-01-01,0.147163
1926-01-01,0.194202
1927-01-01,-0.035151
1928-01-01,-0.051158
1929-01-01,-0.131179
1930-01-01,0.005321
1931-01-01,0.056470
1932-01-01,-0.061139
1933-01-01,0.025223
1934-01-01,0.016264
1935-01-01,0.075285
1936-01-01,0.083158
1937-01-01,0.025589
1938-01-01,0.054122
1939-01-01,0.044490
1947-01-01,0.289279
1948-01-01,-0.009589
1949-01-01,0.130213
1950-01-01,0.052649
1951-01-01,0.129511
1952-01-01,-0.003814
1953-01-01,0.034970
1954-01-01,0.033440
1955-01-01,0.102523
1956-01-01,0.163086
1957-01-01,0.078586
1958-01-01,0.087012
1959-01-01,0.071075
1960-01-01,0.113878
1961-01-01,0.158668
1962-01-01,0.116511
1963-01-01,0.121942
1964-01-01,0.113157
1965-01-01,0.136698
1966-01-01,0.095616
1967-01-01,0.101018
1968-01-01,0.118739
1969-01-01,0.112895
1970-01-01,0.097696
1971-01-01,0.171738
1972-01-01,0.379240
1973-01-01,0.405130
1974-01-01,0.116823
1975-01-01,0.090562
1976-01-01,0.132891
1977-01-01,0.106261
1978-01-01,0.202071
1979-01-01,0.328849
1980-01-01,0.251946
1981-01-01,0.093792
1982-01-01,0.065100
1983-01-01,0.161807
1984-01-01,0.131278
1985-01-01,0.132681
1986-01-01,0.179365
1987-01-01,0.206371
1988-01-01,0.288829
1989-01-01,0.241403
1990-01-01,0.016641
1991-01-01,0.018692
1992-01-01,-0.002793
1993-01-01,0.016521
1994-01-01,0.068197
1995-01-01,0.052433
1996-01-01,0.024710
1997-01-01,0.109211
1998-01-01,0.120767
1999-01-01,0.117245
2000-01-01,0.180197
2001-01-01,0.142503
2002-01-01,0.218594
2003-01-01,0.222094
2004-01-01,0.179300
2005-01-01,0.082483
2006-01-01,0.072914
2007-01-01,0.106570
2008-01-01,-0.012756
2009-01-01,-0.074655
2010-01-01,0.085035
2011-01-01,0.007562
2012-01-01,0.031037
2013-01-01,0.064106
2014-01-01,0.128261
2015-01-01,0.093225
2016-01-01,0.095054
2017-01-01,0.069367
2018-01-01,0.055219
2019-01-01,0.032720
2020-01-01,0.051146
