date,value
1899-01-01,0.594900
1900-01-01,0.690466
1901-01-01,0.682118
1902-01-01,0.612048
1903-01-01,0.617656
1904-01-01,0.595214
1905-01-01,0.542226
1906-01-01,0.497491
1907-01-01,0.590643
1908-01-01,0.531661
1909-01-01,0.578117
1910-01-01,0.643967
1911-01-01,0.626067
1912-01-01,0.568874
1913-01-01,0.535710
1914-01-01,0.464250
1915-01-01,0.569670
1916-01-01,0.604383
1917-01-01,0.756567
1918-01-01,0.940070
1919-01-01,0.910202
1920-01-01,0.833538
1921-01-01,0.814795
1922-01-01,0.852398
1923-01-01,0.888783
1924-01-01,0.930623
1925-01-01,1.035821
1926-01-01,1.204791
1927-01-01,1.129821
1928-01-01,1.039402
1929-01-01,0.870216
1930-01-01,0.841794
1931-01-01,0.856062
1932-01-01,0.770455
1933-01-01,0.756188
1934-01-01,0.734786
1935-01-01,0.756188
1936-01-01,0.784723
1937-01-01,0.770455
1938-01-01,0.777589
1946-01-01,2.081527
1947-01-01,2.601908
1948-01-01,2.497832
1949-01-01,2.726800
1950-01-01,2.768430
1951-01-01,3.018213
1952-01-01,2.893322
1953-01-01,2.862099
1954-01-01,2.810735
1955-01-01,2.944852
1956-01-01,3.253034
1957-01-01,3.324372
1958-01-01,3.409978
1959-01-01,3.438514
1960-01-01,3.609726
1961-01-01,3.952151
1962-01-01,4.208969
1963-01-01,4.508591
1964-01-01,4.793944
1965-01-01,5.221975
1966-01-01,5.478794
1967-01-01,5.778415
1968-01-01,6.197885
1969-01-01,6.620209
1970-01-01,6.968641
1971-01-01,7.839721
1972-01-01,10.452962
1973-01-01,14.285714
1974-01-01,15.505226
1975-01-01,16.376307
1976-01-01,17.944251
1977-01-01,19.163763
1978-01-01,22.299652
1979-01-01,28.745645
1980-01-01,34.843206
1981-01-01,36.759582
1982-01-01,37.630662
1983-01-01,42.160279
1984-01-01,45.993031
1985-01-01,50.174216
1986-01-01,57.142857
1987-01-01,66.724739
1988-01-01,83.623693
1989-01-01,101.219512
1990-01-01,100.000000
1991-01-01,98.606272
1992-01-01,94.773519
1993-01-01,92.508711
1994-01-01,94.773519
1995-01-01,95.470383
1996-01-01,93.362977
1997-01-01,98.941216
1998-01-01,106.128731
1999-01-01,113.665739
2000-01-01,129.079609
2001-01-01,142.231010
2002-01-01,167.942486
2003-01-01,199.780141
2004-01-01,230.018160
2005-01-01,243.217767
2006-01-01,255.011366
2007-01-01,276.047662
2008-01-01,266.163021
2009-01-01,239.800765
2010-01-01,253.609375
2011-01-01,248.779133
2012-01-01,249.527130
2013-01-01,258.376739
2014-01-01,278.774903
2015-01-01,295.625559
2016-01-01,316.319349
2017-01-01,330.509376
2018-01-01,341.333418
2019-01-01,344.573243
2020-01-01,354.340002
