date,value
1870-01-01,3.240000
1871-01-01,3.230000
1872-01-01,3.240000
1873-01-01,3.240000
1874-01-01,3.240000
1875-01-01,3.200000
1876-01-01,3.160000
1877-01-01,3.150000
1878-01-01,3.150000
1879-01-01,3.170000
1880-01-01,3.100000
1881-01-01,2.900000
1882-01-01,2.940000
1883-01-01,2.830000
1884-01-01,2.720000
1885-01-01,2.850000
1886-01-01,2.810000
1887-01-01,2.720000
1888-01-01,2.620000
1889-01-01,2.630000
1890-01-01,2.670000
1891-01-01,2.680000
1892-01-01,2.650000
1893-01-01,2.600000
1894-01-01,2.550000
1895-01-01,2.290000
1896-01-01,2.060000
1897-01-01,1.960000
1898-01-01,2.000000
1899-01-01,2.180000
1900-01-01,2.530000
1901-01-01,2.670000
1902-01-01,2.660000
1903-01-01,2.750000
1904-01-01,2.830000
1905-01-01,2.780000
1906-01-01,2.830000
1907-01-01,2.970000
1908-01-01,2.900000
1909-01-01,2.980000
1910-01-01,3.080000
1911-01-01,3.150000
1912-01-01,3.280000
1913-01-01,3.390000
1914-01-01,3.460000
1915-01-01,3.820000
1916-01-01,4.310000
1917-01-01,4.580000
1918-01-01,4.400000
1919-01-01,4.620000
1920-01-01,5.320000
1921-01-01,5.210000
1922-01-01,4.430000
1923-01-01,4.310000
1924-01-01,4.390000
1925-01-01,4.430000
1926-01-01,4.550000
1927-01-01,4.560000
1928-01-01,4.470000
1929-01-01,4.600000
1930-01-01,4.460000
1931-01-01,4.530000
1932-01-01,3.760000
1933-01-01,3.380000
1934-01-01,3.080000
1935-01-01,2.890000
1936-01-01,2.940000
1937-01-01,3.280000
1938-01-01,3.380000
1939-01-01,3.720000
1940-01-01,3.400000
1941-01-01,3.130000
1942-01-01,3.030000
1943-01-01,3.100000
1944-01-01,3.140000
1945-01-01,2.920000
1946-01-01,2.600000
1947-01-01,2.760000
1948-01-01,3.210000
1949-01-01,3.300000
1950-01-01,3.550000
1951-01-01,3.790000
1952-01-01,4.230000
1953-01-01,4.080000
1954-01-01,3.760000
1955-01-01,4.170000
1956-01-01,4.740000
1957-01-01,4.980000
1958-01-01,4.980000
1959-01-01,4.820000
1960-01-01,5.400000
1961-01-01,6.200000
1962-01-01,5.980000
1963-01-01,5.588333
1964-01-01,6.060000
1965-01-01,6.433333
1966-01-01,6.817500
1967-01-01,6.730000
1968-01-01,7.459167
1969-01-01,8.940833
1970-01-01,9.233333
1971-01-01,9.040833
1972-01-01,9.198333
1973-01-01,10.910000
1974-01-01,15.173333
1975-01-01,14.600833
1976-01-01,14.227500
1977-01-01,12.191667
1978-01-01,12.026667
1979-01-01,11.345833
1980-01-01,11.929167
1981-01-01,13.011667
1982-01-01,11.740833
1983-01-01,10.250833
1984-01-01,10.173333
1985-01-01,10.090000
1986-01-01,9.463333
1987-01-01,9.315000
1988-01-01,9.123333
1989-01-01,9.260833
1990-01-01,10.879167
1991-01-01,9.989167
1992-01-01,9.163333
1993-01-01,7.687500
1994-01-01,8.177500
1995-01-01,8.243333
1996-01-01,8.032500
1997-01-01,7.125833
1998-01-01,5.532583
1999-01-01,4.846083
2000-01-01,4.912917
2001-01-01,5.054333
2002-01-01,5.046750
2003-01-01,4.884833
2004-01-01,4.773583
2005-01-01,4.438750
2006-01-01,4.241083
2007-01-01,4.632083
2008-01-01,4.591417
2009-01-01,4.545000
2010-01-01,4.237900
2011-01-01,3.832200
2012-01-01,2.864600
2013-01-01,3.191200
2014-01-01,3.098600
2015-01-01,2.408700
2016-01-01,1.906100
2017-01-01,1.823700
2018-01-01,1.836300
2019-01-01,1.308500
2020-01-01,0.739300
