date,value
1896-01-01,0.106101
1897-01-01,0.102395
1898-01-01,0.080297
1899-01-01,0.047915
1900-01-01,0.161515
1901-01-01,0.029604
1902-01-01,-0.022621
1903-01-01,0.034671
1904-01-01,0.040716
1905-01-01,0.008927
1906-01-01,0.008176
1907-01-01,0.157287
1908-01-01,-0.027317
1909-01-01,0.122096
1910-01-01,0.100976
1911-01-01,0.008973
1912-01-01,-0.028161
1913-01-01,-0.025540
1914-01-01,-0.065784
1915-01-01,0.196985
1916-01-01,0.060001
1917-01-01,0.227837
1918-01-01,0.250823
1919-01-01,0.046038
1920-01-01,-0.121891
1921-01-01,0.005755
1922-01-01,0.175449
1923-01-01,0.041836
1924-01-01,0.149138
1925-01-01,0.149556
1926-01-01,0.118426
1927-01-01,0.038328
1928-01-01,0.084231
1929-01-01,-0.138485
1930-01-01,-0.027571
1931-01-01,-0.092298
1932-01-01,0.202844
1933-01-01,0.177800
1934-01-01,0.104547
1935-01-01,0.121778
1936-01-01,0.163092
1937-01-01,-0.080746
1938-01-01,-0.041709
1939-01-01,0.028589
1947-01-01,0.139833
1948-01-01,-0.020659
1949-01-01,0.059844
1950-01-01,0.074297
1951-01-01,0.112193
1952-01-01,-0.002967
1953-01-01,0.119927
1954-01-01,0.254686
1955-01-01,0.105433
1956-01-01,0.053528
1957-01-01,0.041571
1958-01-01,0.276336
1959-01-01,0.346884
1960-01-01,0.060960
1961-01-01,0.081919
1962-01-01,0.055738
1963-01-01,0.163350
1964-01-01,0.030279
1965-01-01,0.124557
1966-01-01,0.032984
1967-01-01,0.218363
1968-01-01,0.311027
1969-01-01,-0.004120
1970-01-01,0.035843
1971-01-01,0.316607
1972-01-01,0.278744
1973-01-01,0.201868
1974-01-01,0.030841
1975-01-01,0.462372
1976-01-01,0.106914
1977-01-01,0.216983
1978-01-01,0.171699
1979-01-01,0.279016
1980-01-01,0.274323
1981-01-01,0.104475
1982-01-01,0.125094
1983-01-01,0.198937
1984-01-01,0.191881
1985-01-01,0.155992
1986-01-01,0.213474
1987-01-01,0.163265
1988-01-01,0.230377
1989-01-01,0.278094
1990-01-01,-0.014883
1991-01-01,0.079096
1992-01-01,0.068487
1993-01-01,0.127840
1994-01-01,0.015357
1995-01-01,0.132758
1996-01-01,0.088966
1997-01-01,0.173866
1998-01-01,0.129102
1999-01-01,0.183396
2000-01-01,0.057795
2001-01-01,0.022635
2002-01-01,0.063456
2003-01-01,0.215067
2004-01-01,0.161302
2005-01-01,0.130182
2006-01-01,0.106433
2007-01-01,0.087428
2008-01-01,-0.081119
2009-01-01,0.041666
2010-01-01,0.104137
2011-01-01,-0.005459
2012-01-01,0.060064
2013-01-01,0.113112
2014-01-01,0.089435
2015-01-01,0.066516
2016-01-01,0.130764
2017-01-01,0.110188
2018-01-01,-0.023516
2019-01-01,0.115673
