date,value
1870-01-01,0.027462
1871-01-01,0.035722
1872-01-01,0.027608
1873-01-01,0.044428
1874-01-01,0.031316
1875-01-01,0.043149
1876-01-01,0.026094
1877-01-01,0.033974
1878-01-01,0.027640
1879-01-01,0.040588
1880-01-01,0.034065
1881-01-01,0.032162
1882-01-01,0.039739
1883-01-01,0.028479
1884-01-01,0.021104
1885-01-01,0.029124
1886-01-01,0.028150
1887-01-01,0.032896
1888-01-01,0.016325
1889-01-01,0.032464
1890-01-01,0.024216
1891-01-01,0.025702
1892-01-01,0.032741
1893-01-01,0.028301
1894-01-01,0.044684
1895-01-01,0.034606
1896-01-01,0.041621
1897-01-01,0.028001
1898-01-01,0.014686
1899-01-01,-0.015828
1900-01-01,0.016125
1901-01-01,0.007777
1902-01-01,0.024593
1903-01-01,0.003235
1904-01-01,0.034129
1905-01-01,0.030715
1906-01-01,0.014527
1907-01-01,0.022416
1908-01-01,0.029573
1909-01-01,0.020540
1910-01-01,0.009269
1911-01-01,0.015675
1912-01-01,0.021873
1913-01-01,0.015263
1914-01-01,0.036891
1915-01-01,0.035300
1916-01-01,-0.075493
1917-01-01,0.039269
1918-01-01,0.081834
1919-01-01,-0.024731
1920-01-01,-0.005644
1921-01-01,0.105225
1922-01-01,0.092686
1923-01-01,0.034210
1924-01-01,0.053710
1925-01-01,0.022019
1926-01-01,0.036927
1927-01-01,0.057094
1928-01-01,0.050406
1929-01-01,0.018318
1930-01-01,0.078114
1931-01-01,0.015229
1932-01-01,0.209041
1933-01-01,0.018781
1934-01-01,0.142134
1935-01-01,-0.012845
1936-01-01,0.004242
1937-01-01,-0.043217
1938-01-01,-0.007856
1939-01-01,0.011370
1940-01-01,0.084834
1941-01-01,0.057872
1942-01-01,0.018797
1943-01-01,0.002509
1944-01-01,0.033625
1945-01-01,0.078574
1946-01-01,0.056305
1947-01-01,-0.069123
1948-01-01,0.006035
1949-01-01,-0.042074
1950-01-01,0.022921
1951-01-01,-0.045619
1952-01-01,0.007575
1953-01-01,0.080805
1954-01-01,0.039269
1955-01-01,-0.031842
1956-01-01,0.009843
1957-01-01,-0.007478
1958-01-01,0.107935
1959-01-01,0.021816
1960-01-01,-0.011066
1961-01-01,-0.014020
1962-01-01,0.144734
1963-01-01,0.036520
1964-01-01,0.011124
1965-01-01,0.051513
1966-01-01,0.051674
1967-01-01,0.040797
1968-01-01,0.023476
1969-01-01,0.036906
1970-01-01,0.052363
1971-01-01,0.162440
1972-01-01,0.006953
1973-01-01,0.002965
1974-01-01,-0.021940
1975-01-01,0.231528
1976-01-01,0.125163
1977-01-01,0.266078
1978-01-01,0.029674
1979-01-01,0.085918
1980-01-01,0.171226
1981-01-01,0.114834
1982-01-01,0.324511
1983-01-01,0.087091
1984-01-01,0.065281
1985-01-01,0.157592
1986-01-01,0.114395
1987-01-01,0.135646
1988-01-01,0.083342
1989-01-01,0.107450
1990-01-01,0.111504
1991-01-01,0.146512
1992-01-01,0.144781
1993-01-01,0.140003
1994-01-01,-0.026315
1995-01-01,0.119451
1996-01-01,0.067722
1997-01-01,0.116197
1998-01-01,0.139947
1999-01-01,0.004462
2000-01-01,0.077972
2001-01-01,0.038574
2002-01-01,0.070343
2003-01-01,0.028357
2004-01-01,0.055390
2005-01-01,0.065257
2006-01-01,0.020740
2007-01-01,0.058681
2008-01-01,0.101465
2009-01-01,-0.004932
2010-01-01,0.053093
2011-01-01,0.094439
2012-01-01,0.020808
2013-01-01,-0.029125
2014-01-01,0.079882
2015-01-01,0.006038
2016-01-01,0.036645
2017-01-01,0.020781
2018-01-01,0.014664
2019-01-01,0.032150
2020-01-01,0.028959
