date,value
1870-01-01,0.060000
1871-01-01,0.060000
1872-01-01,0.060000
1873-01-01,0.060000
1874-01-01,0.060000
1875-01-01,0.060000
1876-01-01,0.060000
1877-01-01,0.060000
1878-01-01,0.050000
1879-01-01,0.050000
1880-01-01,0.050000
1881-01-01,0.040000
1882-01-01,0.040000
1883-01-01,0.040000
1884-01-01,0.040000
1885-01-01,0.040000
1886-01-01,0.040000
1887-01-01,0.040000
1888-01-01,0.040000
1889-01-01,0.040000
1890-01-01,0.040000
1891-01-01,0.040000
1892-01-01,0.040000
1893-01-01,0.040000
1894-01-01,0.040000
1895-01-01,0.040000
1896-01-01,0.040000
1897-01-01,0.040000
1898-01-01,0.040000
1899-01-01,0.035000
1900-01-01,0.035000
1901-01-01,0.040000
1902-01-01,0.040000
1903-01-01,0.035000
1904-01-01,0.035000
1905-01-01,0.040000
1906-01-01,0.035000
1907-01-01,0.040000
1908-01-01,0.040000
1909-01-01,0.040000
1910-01-01,0.035000
1911-01-01,0.035000
1912-01-01,0.035000
1913-01-01,0.035000
1914-01-01,0.035000
1915-01-01,0.035000
1916-01-01,0.035000
1917-01-01,0.040000
1918-01-01,0.040000
1919-01-01,0.040000
1920-01-01,0.040000
1921-01-01,0.040000
1922-01-01,0.040000
1923-01-01,0.040000
1924-01-01,0.040000
1925-01-01,0.040000
1926-01-01,0.040000
1927-01-01,0.040000
1928-01-01,0.039597
1929-01-01,0.040736
1930-01-01,0.040352
1931-01-01,0.041492
1932-01-01,0.034689
1933-01-01,0.030793
1934-01-01,0.027822
1935-01-01,0.022875
1936-01-01,0.019325
1937-01-01,0.018356
1938-01-01,0.018016
1939-01-01,0.016274
1940-01-01,0.014513
1941-01-01,0.013586
1942-01-01,0.012112
1943-01-01,0.009783
1944-01-01,0.009044
1945-01-01,0.009134
1946-01-01,0.009413
1947-01-01,0.010076
1948-01-01,0.011766
1949-01-01,0.010795
1950-01-01,0.011072
1951-01-01,0.011932
1952-01-01,0.013198
1953-01-01,0.014211
1954-01-01,0.015180
1955-01-01,0.016251
1956-01-01,0.018666
1957-01-01,0.024155
1958-01-01,0.025544
1959-01-01,0.028644
1960-01-01,0.029516
1961-01-01,0.030919
1962-01-01,0.035703
1963-01-01,0.037941
1964-01-01,0.039314
1965-01-01,0.043442
1966-01-01,0.054833
1967-01-01,0.050208
1968-01-01,0.058592
1969-01-01,0.077608
1970-01-01,0.075642
1971-01-01,0.050050
1972-01-01,0.046658
1973-01-01,0.084158
1974-01-01,0.102442
1975-01-01,0.064367
1976-01-01,0.052683
1977-01-01,0.056408
1978-01-01,0.082217
1979-01-01,0.112250
1980-01-01,0.130667
1981-01-01,0.159108
1982-01-01,0.122708
1983-01-01,0.090667
1984-01-01,0.103650
1985-01-01,0.080475
1986-01-01,0.065183
1987-01-01,0.068608
1988-01-01,0.077275
1989-01-01,0.090850
1990-01-01,0.081475
1991-01-01,0.058350
1992-01-01,0.036817
1993-01-01,0.031742
1994-01-01,0.046292
1995-01-01,0.059167
1996-01-01,0.053900
1997-01-01,0.056158
1998-01-01,0.054667
1999-01-01,0.053300
2000-01-01,0.064558
2001-01-01,0.036867
2002-01-01,0.017258
2003-01-01,0.011508
2004-01-01,0.015633
2005-01-01,0.035117
2006-01-01,0.051533
2007-01-01,0.052683
2008-01-01,0.029650
2009-01-01,0.005558
2010-01-01,0.003117
2011-01-01,0.003033
2012-01-01,0.002825
2013-01-01,0.002083
2014-01-01,0.000900
2015-01-01,0.001300
2016-01-01,0.004000
2017-01-01,0.010000
2018-01-01,0.018300
2019-01-01,0.021600
2020-01-01,0.003800
