date,value
1891-01-01,0.053478
1892-01-01,0.094646
1893-01-01,0.046787
1894-01-01,0.177142
1895-01-01,-0.000120
1896-01-01,-0.030378
1897-01-01,0.127424
1898-01-01,0.164370
1899-01-01,0.051480
1900-01-01,0.204276
1901-01-01,0.027622
1902-01-01,0.140533
1903-01-01,0.030950
1904-01-01,0.189949
1905-01-01,0.050465
1906-01-01,0.184853
1907-01-01,-0.232140
1908-01-01,0.446324
1909-01-01,0.103129
1910-01-01,0.054466
1911-01-01,0.044636
1912-01-01,0.091431
1913-01-01,0.007325
1914-01-01,0.055623
1915-01-01,0.099234
1916-01-01,0.135914
1917-01-01,-0.006669
1918-01-01,0.137995
1919-01-01,0.138448
1920-01-01,0.055371
1921-01-01,0.068382
1922-01-01,0.122994
1923-01-01,0.061473
1924-01-01,0.114952
1925-01-01,0.157322
1926-01-01,0.063906
1927-01-01,0.150097
1928-01-01,0.200788
1929-01-01,0.006751
1930-01-01,-0.130239
1931-01-01,-0.202962
1932-01-01,-0.090049
1933-01-01,0.173104
1934-01-01,0.008416
1935-01-01,0.240016
1936-01-01,0.187281
1937-01-01,-0.029055
1938-01-01,0.058350
1939-01-01,0.060568
1940-01-01,-0.021260
1941-01-01,-0.027493
1942-01-01,0.087591
1943-01-01,0.129943
1944-01-01,0.125813
1945-01-01,0.149947
1946-01-01,0.102794
1947-01-01,0.116496
1948-01-01,0.046285
1949-01-01,0.056655
1950-01-01,0.082014
1951-01-01,0.089727
1952-01-01,0.078722
1953-01-01,0.093491
1954-01-01,0.133496
1955-01-01,0.102747
1956-01-01,0.033932
1957-01-01,0.033930
1958-01-01,0.123893
1959-01-01,0.060445
1960-01-01,0.045071
1961-01-01,0.119915
1962-01-01,0.018761
1963-01-01,0.097483
1964-01-01,0.092727
1965-01-01,0.075426
1966-01-01,0.020644
1967-01-01,0.101158
1968-01-01,0.095814
1969-01-01,0.028863
1970-01-01,0.097142
1971-01-01,0.117934
1972-01-01,0.126250
1973-01-01,0.005792
1974-01-01,0.048292
1975-01-01,0.191532
1976-01-01,0.149056
1977-01-01,0.103350
1978-01-01,0.145024
1979-01-01,0.164819
1980-01-01,0.154535
1981-01-01,0.075950
1982-01-01,0.130316
1983-01-01,0.117238
1984-01-01,0.095645
1985-01-01,0.167384
1986-01-01,0.158378
1987-01-01,0.078050
1988-01-01,0.119213
1989-01-01,0.157533
1990-01-01,0.060114
1991-01-01,0.118724
1992-01-01,0.094554
1993-01-01,0.087217
1994-01-01,0.038538
1995-01-01,0.197665
1996-01-01,0.124625
1997-01-01,0.179319
1998-01-01,0.164449
1999-01-01,0.130896
2000-01-01,0.047347
2001-01-01,0.016094
2002-01-01,0.013071
2003-01-01,0.132984
2004-01-01,0.120803
2005-01-01,0.114245
2006-01-01,0.110145
2007-01-01,0.059347
2008-01-01,-0.074269
2009-01-01,0.069256
2010-01-01,0.063283
2011-01-01,0.049857
2012-01-01,0.080517
2013-01-01,0.139843
2014-01-01,0.130063
2015-01-01,0.046193
2016-01-01,0.048536
2017-01-01,0.121381
2018-01-01,0.092210
2019-01-01,0.080606
2020-01-01,0.106476
