date,value
1870-01-01,10.576832
1871-01-01,9.903128
1872-01-01,9.903128
1873-01-01,9.700693
1874-01-01,9.229424
1875-01-01,8.892572
1876-01-01,8.690136
1877-01-01,8.488511
1878-01-01,8.083641
1879-01-01,8.083641
1880-01-01,8.286076
1881-01-01,8.286076
1882-01-01,8.286076
1883-01-01,8.151659
1884-01-01,7.949224
1885-01-01,7.814807
1886-01-01,7.612372
1887-01-01,7.679580
1888-01-01,7.679580
1889-01-01,7.477955
1890-01-01,7.342728
1891-01-01,7.342728
1892-01-01,7.342728
1893-01-01,7.275520
1894-01-01,6.938667
1895-01-01,6.804251
1896-01-01,6.804251
1897-01-01,6.736232
1898-01-01,6.736232
1899-01-01,6.736232
1900-01-01,6.804251
1901-01-01,6.871459
1902-01-01,6.938667
1903-01-01,7.141103
1904-01-01,7.208311
1905-01-01,7.141103
1906-01-01,7.275520
1907-01-01,7.612372
1908-01-01,7.477955
1909-01-01,7.342728
1910-01-01,7.679580
1911-01-01,7.679580
1912-01-01,7.882015
1913-01-01,8.016432
1914-01-01,8.097406
1915-01-01,8.178380
1916-01-01,8.826173
1917-01-01,10.364680
1918-01-01,12.227084
1919-01-01,14.008513
1920-01-01,16.194813
1921-01-01,14.494357
1922-01-01,13.603643
1923-01-01,13.846565
1924-01-01,13.846565
1925-01-01,14.170461
1926-01-01,14.332409
1927-01-01,14.089487
1928-01-01,13.846565
1929-01-01,13.846565
1930-01-01,13.522669
1931-01-01,12.308058
1932-01-01,11.093447
1933-01-01,10.526628
1934-01-01,10.850524
1935-01-01,11.093447
1936-01-01,11.255395
1937-01-01,11.660265
1938-01-01,11.417343
1939-01-01,11.255395
1940-01-01,11.336369
1941-01-01,11.903187
1942-01-01,13.198772
1943-01-01,14.008513
1944-01-01,14.251435
1945-01-01,14.575331
1946-01-01,15.789942
1947-01-01,18.057216
1948-01-01,19.442604
1949-01-01,19.251911
1950-01-01,19.456755
1951-01-01,21.001840
1952-01-01,21.481605
1953-01-01,21.644671
1954-01-01,21.722835
1955-01-01,21.666907
1956-01-01,21.986301
1957-01-01,22.732228
1958-01-01,23.352822
1959-01-01,23.570469
1960-01-01,23.922206
1961-01-01,24.178261
1962-01-01,24.462616
1963-01-01,24.769881
1964-01-01,25.097361
1965-01-01,25.493571
1966-01-01,26.255669
1967-01-01,26.986771
1968-01-01,28.132277
1969-01-01,29.661865
1970-01-01,31.407077
1971-01-01,32.734516
1972-01-01,33.805901
1973-01-01,35.921718
1974-01-01,39.877082
1975-01-01,43.522486
1976-01-01,46.035861
1977-01-01,49.014176
1978-01-01,52.753916
1979-01-01,57.756443
1980-01-01,64.224356
1981-01-01,70.288024
1982-01-01,74.532592
1983-01-01,77.716018
1984-01-01,80.949975
1985-01-01,83.729156
1986-01-01,85.194543
1987-01-01,88.125316
1988-01-01,91.308742
1989-01-01,95.300657
1990-01-01,100.000000
1991-01-01,103.638201
1992-01-01,106.215260
1993-01-01,108.893380
1994-01-01,111.167256
1995-01-01,113.845376
1996-01-01,116.877211
1997-01-01,119.403739
1998-01-01,121.020718
1999-01-01,123.597777
2000-01-01,127.791814
2001-01-01,131.430015
2002-01-01,133.501769
2003-01-01,136.533603
2004-01-01,140.222335
2005-01-01,144.972208
2006-01-01,149.671551
2007-01-01,153.916119
2008-01-01,159.828196
2009-01-01,159.272360
2010-01-01,161.899949
2011-01-01,167.003537
2012-01-01,170.540677
2013-01-01,173.067206
2014-01-01,175.997979
2015-01-01,176.301162
2016-01-01,178.575038
2017-01-01,182.415361
2018-01-01,186.862052
2019-01-01,190.247600
2020-01-01,192.622537
