date,value
1872-01-01,0.132911
1873-01-01,-0.063116
1874-01-01,0.101810
1875-01-01,0.028634
1876-01-01,-0.112128
1877-01-01,-0.039106
1878-01-01,0.116923
1879-01-01,0.484058
1880-01-01,0.239837
1881-01-01,0.083904
1882-01-01,0.024958
1883-01-01,-0.029110
1884-01-01,-0.129213
1885-01-01,0.253456
1886-01-01,0.126923
1887-01-01,-0.021277
1888-01-01,0.018975
1889-01-01,0.077821
1890-01-01,-0.093985
1891-01-01,0.223913
1892-01-01,0.062847
1893-01-01,-0.154265
1894-01-01,0.022676
1895-01-01,0.048837
1896-01-01,0.018519
1897-01-01,0.168246
1898-01-01,0.231579
1899-01-01,0.102655
1900-01-01,0.191030
1901-01-01,0.203785
1902-01-01,0.054088
1903-01-01,-0.140373
1904-01-01,0.302892
1905-01-01,0.196364
1906-01-01,0.073375
1907-01-01,-0.287602
1908-01-01,0.435312
1909-01-01,0.189369
1910-01-01,-0.075728
1911-01-01,0.058564
1912-01-01,0.082327
1913-01-01,-0.091684
1914-01-01,-0.033582
1915-01-01,0.348299
1916-01-01,0.092827
1917-01-01,-0.235714
1918-01-01,0.245588
1919-01-01,0.196203
1920-01-01,-0.179372
1921-01-01,0.140969
1922-01-01,0.270862
1923-01-01,0.034169
1924-01-01,0.252632
1925-01-01,0.285433
1926-01-01,0.138042
1927-01-01,0.351371
1928-01-01,0.374570
1929-01-01,-0.033693
1930-01-01,-0.229439
1931-01-01,-0.402966
1932-01-01,-0.132701
1933-01-01,0.526393
1934-01-01,-0.026078
1935-01-01,0.458963
1936-01-01,0.363497
1937-01-01,-0.307151
1938-01-01,0.197822
1939-01-01,0.023641
1940-01-01,-0.094584
1941-01-01,-0.100665
1942-01-01,0.154110
1943-01-01,0.269958
1944-01-01,0.196864
1945-01-01,0.373282
1946-01-01,-0.085978
1947-01-01,0.048909
1948-01-01,0.072522
1949-01-01,0.163924
1950-01-01,0.282950
1951-01-01,0.256709
1952-01-01,0.172576
1953-01-01,0.009217
1954-01-01,0.470399
1955-01-01,0.344295
1956-01-01,0.061935
1957-01-01,-0.093023
1958-01-01,0.369700
1959-01-01,0.138344
1960-01-01,-0.005249
1961-01-01,0.298592
1962-01-01,-0.097156
1963-01-01,0.220466
1964-01-01,0.165700
1965-01-01,0.124940
1966-01-01,-0.082089
1967-01-01,0.207672
1968-01-01,0.149738
1969-01-01,-0.114836
1970-01-01,0.022830
1971-01-01,0.135369
1972-01-01,0.216598
1973-01-01,-0.164596
1974-01-01,-0.254379
1975-01-01,0.377367
1976-01-01,0.226043
1977-01-01,-0.059312
1978-01-01,0.078448
1979-01-01,0.180418
1980-01-01,0.295547
1981-01-01,-0.022996
1982-01-01,0.181502
1983-01-01,0.230201
1984-01-01,0.046411
1985-01-01,0.308207
1986-01-01,0.239170
1987-01-01,0.004867
1988-01-01,0.187759
1989-01-01,0.300759
1990-01-01,-0.022260
1991-01-01,0.218890
1992-01-01,0.153201
1993-01-01,0.098453
1994-01-01,0.005172
1995-01-01,0.380435
1996-01-01,0.233627
1997-01-01,0.315668
1998-01-01,0.253416
1999-01-01,0.214546
2000-01-01,-0.057032
2001-01-01,-0.127926
2002-01-01,-0.200606
2003-01-01,0.221146
2004-01-01,0.127711
2005-01-01,0.070947
2006-01-01,0.142013
2007-01-01,0.063915
2008-01-01,-0.387549
2009-01-01,0.290841
2010-01-01,0.138583
2011-01-01,0.022730
2012-01-01,0.169080
2013-01-01,0.295636
2014-01-01,0.158166
2015-01-01,0.021029
2016-01-01,0.036493
2017-01-01,0.193025
2018-01-01,0.142075
2019-01-01,0.081637
2020-01-01,0.125354
