date,value
1891-01-01,-0.015887
1892-01-01,0.111931
1893-01-01,0.131837
1894-01-01,0.251480
1895-01-01,-0.022487
1896-01-01,-0.057084
1897-01-01,0.116390
1898-01-01,0.144628
1899-01-01,0.030104
1900-01-01,0.221616
1901-01-01,-0.095058
1902-01-01,0.209132
1903-01-01,0.131457
1904-01-01,0.118893
1905-01-01,-0.057209
1906-01-01,0.264897
1907-01-01,-0.215645
1908-01-01,0.471915
1909-01-01,0.040471
1910-01-01,0.147059
1911-01-01,0.035547
1912-01-01,0.099416
1913-01-01,0.058933
1914-01-01,0.098211
1915-01-01,-0.027026
1916-01-01,0.159268
1917-01-01,0.076590
1918-01-01,0.120652
1919-01-01,0.157877
1920-01-01,0.157383
1921-01-01,0.039124
1922-01-01,0.077934
1923-01-01,0.079622
1924-01-01,0.066945
1925-01-01,0.117306
1926-01-01,0.021616
1927-01-01,0.023900
1928-01-01,0.077886
1929-01-01,0.040214
1930-01-01,-0.074594
1931-01-01,-0.106647
1932-01-01,-0.124605
1933-01-01,0.049913
1934-01-01,0.007101
1935-01-01,0.174455
1936-01-01,0.103675
1937-01-01,0.086538
1938-01-01,-0.011838
1939-01-01,0.088662
1940-01-01,-0.012508
1941-01-01,-0.018031
1942-01-01,0.105169
1943-01-01,0.185014
1944-01-01,0.229610
1945-01-01,0.172473
1946-01-01,0.291365
1947-01-01,0.257495
1948-01-01,0.060641
1949-01-01,0.042686
1950-01-01,0.080225
1951-01-01,0.106324
1952-01-01,0.090029
1953-01-01,0.160118
1954-01-01,0.050659
1955-01-01,0.048240
1956-01-01,0.048628
1957-01-01,0.075166
1958-01-01,0.061751
1959-01-01,0.046920
1960-01-01,0.054464
1961-01-01,0.054539
1962-01-01,0.061448
1963-01-01,0.061072
1964-01-01,0.066488
1965-01-01,0.064632
1966-01-01,0.068146
1967-01-01,0.066246
1968-01-01,0.082211
1969-01-01,0.119853
1970-01-01,0.134930
1971-01-01,0.108587
1972-01-01,0.094272
1973-01-01,0.074986
1974-01-01,0.132476
1975-01-01,0.162001
1976-01-01,0.129157
1977-01-01,0.174269
1978-01-01,0.195388
1979-01-01,0.188324
1980-01-01,0.131238
1981-01-01,0.103069
1982-01-01,0.087196
1983-01-01,0.094680
1984-01-01,0.100836
1985-01-01,0.110236
1986-01-01,0.127330
1987-01-01,0.122147
1988-01-01,0.109769
1989-01-01,0.108478
1990-01-01,0.086127
1991-01-01,0.074144
1992-01-01,0.083223
1993-01-01,0.078403
1994-01-01,0.080857
1995-01-01,0.085699
1996-01-01,0.089821
1997-01-01,0.088612
1998-01-01,0.106228
1999-01-01,0.103031
2000-01-01,0.117252
2001-01-01,0.127040
2002-01-01,0.113966
2003-01-01,0.111176
2004-01-01,0.140535
2005-01-01,0.157614
2006-01-01,0.113530
2007-01-01,0.052419
2008-01-01,-0.006051
2009-01-01,-0.008515
2010-01-01,0.007943
2011-01-01,0.013652
2012-01-01,0.052103
2013-01-01,0.127963
2014-01-01,0.106328
2015-01-01,0.106479
2016-01-01,0.107928
2017-01-01,0.113071
2018-01-01,0.112930
2019-01-01,0.089285
2020-01-01,0.124171
