date,value
1890-01-01,4.378030
1891-01-01,4.001030
1892-01-01,4.134810
1893-01-01,4.365870
1894-01-01,5.156350
1895-01-01,4.742870
1896-01-01,4.171290
1897-01-01,4.365870
1898-01-01,4.706380
1899-01-01,4.560450
1900-01-01,5.290120
1901-01-01,4.499640
1902-01-01,5.156350
1903-01-01,5.533350
1904-01-01,5.873860
1905-01-01,5.217150
1906-01-01,6.275180
1907-01-01,4.584770
1908-01-01,6.421110
1909-01-01,6.360310
1910-01-01,6.968370
1911-01-01,6.895400
1912-01-01,7.260240
1913-01-01,7.357520
1914-01-01,7.746680
1915-01-01,7.199430
1916-01-01,8.002070
1917-01-01,8.269610
1918-01-01,8.914160
1919-01-01,9.935700
1920-01-01,11.042400
1921-01-01,10.945100
1922-01-01,11.249100
1923-01-01,11.577500
1924-01-01,11.759900
1925-01-01,12.538200
1926-01-01,12.209800
1927-01-01,11.905800
1928-01-01,12.246300
1929-01-01,12.161200
1930-01-01,10.687700
1931-01-01,9.005720
1932-01-01,7.393510
1933-01-01,7.334850
1934-01-01,6.983580
1935-01-01,7.795070
1936-01-01,8.182660
1937-01-01,8.446630
1938-01-01,7.882360
1939-01-01,8.112120
1940-01-01,7.536670
1941-01-01,6.904750
1942-01-01,7.134890
1943-01-01,7.951570
1944-01-01,9.270280
1945-01-01,10.362100
1946-01-01,12.859500
1947-01-01,15.593900
1948-01-01,15.914900
1949-01-01,15.929200
1950-01-01,16.509000
1951-01-01,17.507400
1952-01-01,18.278900
1953-01-01,20.331200
1954-01-01,20.468300
1955-01-01,20.540800
1956-01-01,20.591700
1957-01-01,21.165800
1958-01-01,21.473400
1959-01-01,21.455800
1960-01-01,21.577200
1961-01-01,21.681100
1962-01-01,21.922100
1963-01-01,22.151300
1964-01-01,22.496100
1965-01-01,22.803700
1966-01-01,23.181900
1967-01-01,23.505100
1968-01-01,24.177200
1969-01-01,25.748500
1970-01-01,27.815500
1971-01-01,29.351500
1972-01-01,30.564300
1973-01-01,31.199100
1974-01-01,33.550200
1975-01-01,37.078400
1976-01-01,39.817100
1977-01-01,44.525700
1978-01-01,50.793100
1979-01-01,57.683800
1980-01-01,62.281600
1981-01-01,65.416100
1982-01-01,67.563400
1983-01-01,70.186800
1984-01-01,73.215100
1985-01-01,76.957700
1986-01-01,82.171200
1987-01-01,87.450000
1988-01-01,92.122100
1989-01-01,96.982300
1990-01-01,100.000000
1991-01-01,101.903000
1992-01-01,104.740000
1993-01-01,107.176000
1994-01-01,109.919000
1995-01-01,113.269000
1996-01-01,117.204000
1997-01-01,121.156000
1998-01-01,127.372000
1999-01-01,133.639000
2000-01-01,142.184000
2001-01-01,152.805000
2002-01-01,162.483000
2003-01-01,172.586000
2004-01-01,188.666000
2005-01-01,209.984000
2006-01-01,225.103000
2007-01-01,227.811000
2008-01-01,217.008000
2009-01-01,205.521000
2010-01-01,197.492000
2011-01-01,190.362000
2012-01-01,190.243000
2013-01-01,204.317203
2014-01-01,214.713874
2015-01-01,226.014605
2016-01-01,238.755759
2017-01-01,253.522121
2018-01-01,269.281333
2019-01-01,282.986371
2020-01-01,305.221503
