date,value
1870-01-01,5.439000
1871-01-01,5.356667
1872-01-01,5.561667
1873-01-01,5.479167
1874-01-01,5.103333
1875-01-01,4.630000
1876-01-01,4.461667
1877-01-01,4.349167
1878-01-01,4.230000
1879-01-01,4.036667
1880-01-01,3.726667
1881-01-01,3.626667
1882-01-01,3.629167
1883-01-01,3.620833
1884-01-01,3.528333
1885-01-01,3.382500
1886-01-01,3.507500
1887-01-01,3.657500
1888-01-01,3.468333
1889-01-01,3.422500
1890-01-01,3.603333
1891-01-01,3.601667
1892-01-01,3.737500
1893-01-01,3.704167
1894-01-01,3.480000
1895-01-01,3.588333
1896-01-01,3.416667
1897-01-01,3.354167
1898-01-01,3.120833
1899-01-01,3.145833
1900-01-01,3.104167
1901-01-01,3.173333
1902-01-01,3.290000
1903-01-01,3.391667
1904-01-01,3.473333
1905-01-01,3.434167
1906-01-01,3.650000
1907-01-01,3.853333
1908-01-01,3.769167
1909-01-01,3.897500
1910-01-01,3.974167
1911-01-01,4.007500
1912-01-01,4.413333
1913-01-01,4.184167
1914-01-01,4.233333
1915-01-01,4.065833
1916-01-01,4.215000
1917-01-01,4.541667
1918-01-01,4.505833
1919-01-01,4.930833
1920-01-01,5.080000
1921-01-01,4.365833
1922-01-01,4.355000
1923-01-01,4.085000
1924-01-01,3.876667
1925-01-01,3.695000
1926-01-01,3.368333
1927-01-01,3.330833
1928-01-01,3.577500
1929-01-01,3.315833
1930-01-01,3.335833
1931-01-01,3.651667
1932-01-01,3.340833
1933-01-01,3.135833
1934-01-01,2.817500
1935-01-01,2.661667
1936-01-01,2.677500
1937-01-01,2.570000
1938-01-01,2.376667
1939-01-01,2.222500
1940-01-01,1.880000
1941-01-01,2.070000
1942-01-01,2.110000
1943-01-01,2.120000
1944-01-01,2.100000
1945-01-01,1.670000
1946-01-01,1.820000
1947-01-01,2.180000
1948-01-01,2.120000
1949-01-01,1.800000
1950-01-01,2.180000
1951-01-01,2.510000
1952-01-01,2.520000
1953-01-01,2.590000
1954-01-01,2.401670
1955-01-01,2.816670
1956-01-01,3.182500
1957-01-01,3.647500
1958-01-01,3.315830
1959-01-01,4.333330
1960-01-01,4.116670
1961-01-01,3.882500
1962-01-01,3.945830
1963-01-01,4.002500
1964-01-01,4.186670
1965-01-01,4.282500
1966-01-01,4.923330
1967-01-01,5.073330
1968-01-01,5.645830
1969-01-01,6.670830
1970-01-01,7.348330
1971-01-01,6.159170
1972-01-01,6.210000
1973-01-01,6.842500
1974-01-01,7.556670
1975-01-01,7.987500
1976-01-01,7.610830
1977-01-01,7.419170
1978-01-01,8.410000
1979-01-01,9.442500
1980-01-01,11.460000
1981-01-01,13.910800
1982-01-01,13.000800
1983-01-01,11.105000
1984-01-01,12.438300
1985-01-01,10.623300
1986-01-01,7.682500
1987-01-01,8.384170
1988-01-01,8.845830
1989-01-01,8.499170
1990-01-01,8.550000
1991-01-01,7.858330
1992-01-01,7.010000
1993-01-01,5.873330
1994-01-01,7.080000
1995-01-01,6.580000
1996-01-01,6.438330
1997-01-01,6.352500
1998-01-01,5.264170
1999-01-01,5.636670
2000-01-01,6.029170
2001-01-01,5.017500
2002-01-01,4.610830
2003-01-01,4.015000
2004-01-01,4.274170
2005-01-01,4.290000
2006-01-01,4.791670
2007-01-01,4.629170
2008-01-01,3.666670
2009-01-01,3.256670
2010-01-01,3.214170
2011-01-01,2.785830
2012-01-01,1.802500
2013-01-01,2.350830
2014-01-01,2.540833
2015-01-01,2.135833
2016-01-01,1.841667
2017-01-01,2.330000
2018-01-01,2.910000
2019-01-01,2.144167
2020-01-01,0.894167
