date,value
1891-01-01,0.054571
1892-01-01,0.097470
1893-01-01,0.047315
1894-01-01,0.183700
1895-01-01,-0.001300
1896-01-01,-0.034564
1897-01-01,0.131880
1898-01-01,0.170673
1899-01-01,0.051896
1900-01-01,0.211140
1901-01-01,0.027897
1902-01-01,0.143828
1903-01-01,0.031128
1904-01-01,0.194607
1905-01-01,0.050933
1906-01-01,0.188550
1907-01-01,-0.238304
1908-01-01,0.456778
1909-01-01,0.104883
1910-01-01,0.054903
1911-01-01,0.044864
1912-01-01,0.092914
1913-01-01,0.007005
1914-01-01,0.056286
1915-01-01,0.100296
1916-01-01,0.137673
1917-01-01,-0.007491
1918-01-01,0.154358
1919-01-01,0.168817
1920-01-01,0.069697
1921-01-01,0.064911
1922-01-01,0.138191
1923-01-01,0.066145
1924-01-01,0.125508
1925-01-01,0.174671
1926-01-01,0.066260
1927-01-01,0.163190
1928-01-01,0.217011
1929-01-01,0.004166
1930-01-01,-0.146219
1931-01-01,-0.228847
1932-01-01,-0.127322
1933-01-01,0.204156
1934-01-01,-0.004699
1935-01-01,0.282496
1936-01-01,0.215429
1937-01-01,-0.038381
1938-01-01,0.062742
1939-01-01,0.066454
1940-01-01,-0.036157
1941-01-01,-0.039458
1942-01-01,0.118563
1943-01-01,0.209808
1944-01-01,0.220337
1945-01-01,0.235177
1946-01-01,0.191143
1947-01-01,0.211414
1948-01-01,0.063117
1949-01-01,0.068916
1950-01-01,0.127196
1951-01-01,0.142845
1952-01-01,0.110313
1953-01-01,0.125484
1954-01-01,0.171661
1955-01-01,0.141744
1956-01-01,0.052841
1957-01-01,0.027928
1958-01-01,0.167406
1959-01-01,0.078934
1960-01-01,0.034415
1961-01-01,0.146816
1962-01-01,0.008030
1963-01-01,0.119649
1964-01-01,0.104970
1965-01-01,0.089136
1966-01-01,0.013544
1967-01-01,0.123765
1968-01-01,0.110319
1969-01-01,0.032603
1970-01-01,0.094692
1971-01-01,0.118563
1972-01-01,0.140474
1973-01-01,0.002384
1974-01-01,0.044881
1975-01-01,0.218220
1976-01-01,0.156697
1977-01-01,0.117704
1978-01-01,0.169516
1979-01-01,0.186599
1980-01-01,0.172609
1981-01-01,0.075371
1982-01-01,0.109405
1983-01-01,0.130859
1984-01-01,0.088729
1985-01-01,0.163183
1986-01-01,0.157457
1987-01-01,0.092305
1988-01-01,0.129822
1989-01-01,0.162577
1990-01-01,0.057999
1991-01-01,0.119897
1992-01-01,0.106203
1993-01-01,0.085484
1994-01-01,0.055146
1995-01-01,0.204083
1996-01-01,0.153033
1997-01-01,0.198803
1998-01-01,0.181282
1999-01-01,0.161068
2000-01-01,0.031186
2001-01-01,0.012395
2002-01-01,-0.002689
2003-01-01,0.155956
2004-01-01,0.135339
2005-01-01,0.124749
2006-01-01,0.125119
2007-01-01,0.057379
2008-01-01,-0.136963
2009-01-01,0.115982
2010-01-01,0.067307
2011-01-01,0.017578
2012-01-01,0.105332
2013-01-01,0.212405
2014-01-01,0.132729
2015-01-01,0.065433
2016-01-01,0.067177
2017-01-01,0.160881
2018-01-01,0.129585
2019-01-01,0.084776
2020-01-01,0.124902
