date,value
1871-01-01,0.062560
1872-01-01,0.060742
1873-01-01,0.063139
1874-01-01,0.060978
1875-01-01,0.064834
1876-01-01,0.023887
1877-01-01,0.024639
1878-01-01,0.052350
1879-01-01,0.052397
1880-01-01,0.088877
1881-01-01,0.030809
1882-01-01,0.052697
1883-01-01,0.045798
1884-01-01,0.030949
1885-01-01,0.045577
1886-01-01,0.039537
1887-01-01,0.026912
1888-01-01,0.047341
1889-01-01,0.026066
1890-01-01,0.011608
1891-01-01,0.029467
1892-01-01,0.026469
1893-01-01,0.034724
1894-01-01,0.047653
1895-01-01,0.023628
1896-01-01,0.044431
1897-01-01,0.044955
1898-01-01,0.034802
1899-01-01,0.043591
1900-01-01,0.039016
1901-01-01,0.019418
1902-01-01,0.029728
1903-01-01,0.025002
1904-01-01,0.023013
1905-01-01,0.031333
1906-01-01,0.032303
1907-01-01,0.007797
1908-01-01,0.038581
1909-01-01,0.026412
1910-01-01,0.035490
1911-01-01,0.034810
1912-01-01,0.027606
1913-01-01,0.022041
1914-01-01,0.022933
1915-01-01,0.039952
1916-01-01,0.033989
1917-01-01,0.012969
1918-01-01,0.035647
1919-01-01,0.038512
1920-01-01,0.004426
1921-01-01,0.081542
1922-01-01,0.053800
1923-01-01,0.037990
1924-01-01,0.052422
1925-01-01,0.037547
1926-01-01,0.046460
1927-01-01,0.038612
1928-01-01,0.026757
1929-01-01,0.037368
1930-01-01,0.041893
1931-01-01,-0.004810
1932-01-01,0.104171
1933-01-01,0.013378
1934-01-01,0.068294
1935-01-01,0.034633
1936-01-01,0.045030
1937-01-01,0.009883
1938-01-01,0.039315
1939-01-01,0.036897
1940-01-01,0.038442
1941-01-01,0.012505
1942-01-01,0.016056
1943-01-01,0.016892
1944-01-01,0.017022
1945-01-01,0.058552
1946-01-01,0.004143
1947-01-01,-0.009642
1948-01-01,0.021671
1949-01-01,0.036194
1950-01-01,0.005166
1951-01-01,-0.012664
1952-01-01,0.012225
1953-01-01,0.025106
1954-01-01,0.040931
1955-01-01,0.002042
1956-01-01,-0.019318
1957-01-01,0.050817
1958-01-01,-0.012895
1959-01-01,0.001504
1960-01-01,0.080447
1961-01-01,0.021066
1962-01-01,0.056200
1963-01-01,0.015847
1964-01-01,0.044787
1965-01-01,0.019285
1966-01-01,0.049417
1967-01-01,-0.000473
1968-01-01,0.028700
1969-01-01,0.011124
1970-01-01,0.108796
1971-01-01,0.114849
1972-01-01,0.051092
1973-01-01,0.022912
1974-01-01,0.063994
1975-01-01,0.064731
1976-01-01,0.113034
1977-01-01,0.035232
1978-01-01,0.026283
1979-01-01,0.048177
1980-01-01,0.049616
1981-01-01,0.079221
1982-01-01,0.243062
1983-01-01,0.051679
1984-01-01,0.126774
1985-01-01,0.186901
1986-01-01,0.162425
1987-01-01,0.018733
1988-01-01,0.075971
1989-01-01,0.136722
1990-01-01,0.067892
1991-01-01,0.114479
1992-01-01,0.054908
1993-01-01,0.093069
1994-01-01,-0.014747
1995-01-01,0.175333
1996-01-01,0.020368
1997-01-01,0.099968
1998-01-01,0.087761
1999-01-01,-0.019666
2000-01-01,0.133961
2001-01-01,0.035933
2002-01-01,0.088150
2003-01-01,0.015865
2004-01-01,0.042340
2005-01-01,0.055577
2006-01-01,0.026039
2007-01-01,0.069389
2008-01-01,0.138242
2009-01-01,-0.073324
2010-01-01,0.052096
2011-01-01,0.128211
2012-01-01,0.017562
2013-01-01,-0.065168
2014-01-01,0.122398
2015-01-01,-0.008779
2016-01-01,0.003139
2017-01-01,0.017584
2018-01-01,0.000581
2019-01-01,0.070134
2020-01-01,0.061228
