date,value
1913-01-01,9.800000
1913-02-01,9.800000
1913-03-01,9.800000
1913-04-01,9.800000
1913-05-01,9.700000
1913-06-01,9.800000
1913-07-01,9.900000
1913-08-01,9.900000
1913-09-01,10.000000
1913-10-01,10.000000
1913-11-01,10.100000
1913-12-01,10.000000
1914-01-01,10.000000
1914-02-01,9.900000
1914-03-01,9.900000
1914-04-01,9.800000
1914-05-01,9.900000
1914-06-01,9.900000
1914-07-01,10.000000
1914-08-01,10.200000
1914-09-01,10.200000
1914-10-01,10.100000
1914-11-01,10.200000
1914-12-01,10.100000
1915-01-01,10.100000
1915-02-01,10.000000
1915-03-01,9.900000
1915-04-01,10.000000
1915-05-01,10.100000
1915-06-01,10.100000
1915-07-01,10.100000
1915-08-01,10.100000
1915-09-01,10.100000
1915-10-01,10.200000
1915-11-01,10.300000
1915-12-01,10.300000
1916-01-01,10.400000
1916-02-01,10.400000
1916-03-01,10.500000
1916-04-01,10.600000
1916-05-01,10.700000
1916-06-01,10.800000
1916-07-01,10.800000
1916-08-01,10.900000
1916-09-01,11.100000
1916-10-01,11.300000
1916-11-01,11.500000
1916-12-01,11.600000
1917-01-01,11.700000
1917-02-01,12.000000
1917-03-01,12.000000
1917-04-01,12.600000
1917-05-01,12.800000
1917-06-01,13.000000
1917-07-01,12.800000
1917-08-01,13.000000
1917-09-01,13.300000
1917-10-01,13.500000
1917-11-01,13.500000
1917-12-01,13.700000
1918-01-01,14.000000
1918-02-01,14.100000
1918-03-01,14.000000
1918-04-01,14.200000
1918-05-01,14.500000
1918-06-01,14.700000
1918-07-01,15.100000
1918-08-01,15.400000
1918-09-01,15.700000
1918-10-01,16.000000
1918-11-01,16.300000
1918-12-01,16.500000
1919-01-01,16.500000
1919-02-01,16.200000
1919-03-01,16.400000
1919-04-01,16.700000
1919-05-01,16.900000
1919-06-01,16.900000
1919-07-01,17.400000
1919-08-01,17.700000
1919-09-01,17.800000
1919-10-01,18.100000
1919-11-01,18.500000
1919-12-01,18.900000
