date,value
1953-04-01,2.830000
1953-05-01,3.050000
1953-06-01,3.110000
1953-07-01,2.930000
1953-08-01,2.950000
1953-09-01,2.870000
1953-10-01,2.660000
1953-11-01,2.680000
1953-12-01,2.590000
1954-01-01,2.480000
1954-02-01,2.470000
1954-03-01,2.370000
1954-04-01,2.290000
1954-05-01,2.370000
1954-06-01,2.380000
1954-07-01,2.300000
1954-08-01,2.360000
1954-09-01,2.380000
1954-10-01,2.430000
1954-11-01,2.480000
1954-12-01,2.510000
1955-01-01,2.610000
1955-02-01,2.650000
1955-03-01,2.680000
1955-04-01,2.750000
1955-05-01,2.760000
1955-06-01,2.780000
1955-07-01,2.900000
1955-08-01,2.970000
1955-09-01,2.970000
1955-10-01,2.880000
1955-11-01,2.890000
1955-12-01,2.960000
1956-01-01,2.900000
1956-02-01,2.840000
1956-03-01,2.960000
1956-04-01,3.180000
1956-05-01,3.070000
1956-06-01,3.000000
1956-07-01,3.110000
1956-08-01,3.330000
1956-09-01,3.380000
1956-10-01,3.340000
1956-11-01,3.490000
1956-12-01,3.590000
1957-01-01,3.460000
1957-02-01,3.340000
1957-03-01,3.410000
1957-04-01,3.480000
1957-05-01,3.600000
1957-06-01,3.800000
1957-07-01,3.930000
1957-08-01,3.930000
1957-09-01,3.920000
1957-10-01,3.970000
1957-11-01,3.720000
1957-12-01,3.210000
1958-01-01,3.090000
1958-02-01,3.050000
1958-03-01,2.980000
1958-04-01,2.880000
1958-05-01,2.920000
1958-06-01,2.970000
1958-07-01,3.200000
1958-08-01,3.540000
1958-09-01,3.760000
1958-10-01,3.800000
1958-11-01,3.740000
1958-12-01,3.860000
1959-01-01,4.020000
1959-02-01,3.960000
1959-03-01,3.990000
1959-04-01,4.120000
1959-05-01,4.310000
1959-06-01,4.340000
1959-07-01,4.400000
1959-08-01,4.430000
1959-09-01,4.680000
1959-10-01,4.530000
1959-11-01,4.530000
1959-12-01,4.690000
1960-01-01,4.720000
1960-02-01,4.490000
1960-03-01,4.250000
1960-04-01,4.280000
1960-05-01,4.350000
1960-06-01,4.150000
1960-07-01,3.900000
1960-08-01,3.800000
1960-09-01,3.800000
1960-10-01,3.890000
1960-11-01,3.930000
1960-12-01,3.840000
1961-01-01,3.840000
1961-02-01,3.780000
1961-03-01,3.740000
1961-04-01,3.780000
1961-05-01,3.710000
1961-06-01,3.880000
1961-07-01,3.920000
1961-08-01,4.040000
1961-09-01,3.980000
1961-10-01,3.920000
1961-11-01,3.940000
1961-12-01,4.060000
1962-01-01,4.080000
1962-02-01,4.040000
1962-03-01,3.930000
1962-04-01,3.840000
1962-05-01,3.870000
1962-06-01,3.910000
1962-07-01,4.010000
1962-08-01,3.980000
1962-09-01,3.980000
1962-10-01,3.930000
1962-11-01,3.920000
1962-12-01,3.860000
1963-01-01,3.830000
1963-02-01,3.920000
1963-03-01,3.930000
1963-04-01,3.970000
1963-05-01,3.930000
1963-06-01,3.990000
1963-07-01,4.020000
1963-08-01,4.000000
1963-09-01,4.080000
1963-10-01,4.110000
1963-11-01,4.120000
1963-12-01,4.130000
1964-01-01,4.170000
1964-02-01,4.150000
1964-03-01,4.220000
1964-04-01,4.230000
1964-05-01,4.200000
1964-06-01,4.170000
1964-07-01,4.190000
1964-08-01,4.190000
1964-09-01,4.200000
1964-10-01,4.190000
1964-11-01,4.150000
1964-12-01,4.180000
1965-01-01,4.190000
1965-02-01,4.210000
1965-03-01,4.210000
1965-04-01,4.200000
1965-05-01,4.210000
1965-06-01,4.210000
1965-07-01,4.200000
1965-08-01,4.250000
1965-09-01,4.290000
1965-10-01,4.350000
1965-11-01,4.450000
1965-12-01,4.620000
1966-01-01,4.610000
1966-02-01,4.830000
1966-03-01,4.870000
1966-04-01,4.750000
1966-05-01,4.780000
1966-06-01,4.810000
1966-07-01,5.020000
1966-08-01,5.220000
1966-09-01,5.180000
1966-10-01,5.010000
1966-11-01,5.160000
1966-12-01,4.840000
1967-01-01,4.580000
1967-02-01,4.630000
1967-03-01,4.540000
1967-04-01,4.590000
1967-05-01,4.850000
1967-06-01,5.020000
1967-07-01,5.160000
1967-08-01,5.280000
1967-09-01,5.300000
1967-10-01,5.480000
1967-11-01,5.750000
1967-12-01,5.700000
1968-01-01,5.530000
1968-02-01,5.560000
1968-03-01,5.740000
1968-04-01,5.640000
1968-05-01,5.870000
1968-06-01,5.720000
1968-07-01,5.500000
1968-08-01,5.420000
1968-09-01,5.460000
1968-10-01,5.580000
1968-11-01,5.700000
1968-12-01,6.030000
1969-01-01,6.040000
1969-02-01,6.190000
1969-03-01,6.300000
1969-04-01,6.170000
1969-05-01,6.320000
1969-06-01,6.570000
1969-07-01,6.720000
1969-08-01,6.690000
1969-09-01,7.160000
1969-10-01,7.100000
1969-11-01,7.140000
1969-12-01,7.650000
1970-01-01,7.790000
1970-02-01,7.240000
1970-03-01,7.070000
1970-04-01,7.390000
1970-05-01,7.910000
1970-06-01,7.840000
1970-07-01,7.460000
1970-08-01,7.530000
1970-09-01,7.390000
1970-10-01,7.330000
1970-11-01,6.840000
1970-12-01,6.390000
1971-01-01,6.240000
1971-02-01,6.110000
1971-03-01,5.700000
1971-04-01,5.830000
1971-05-01,6.390000
1971-06-01,6.520000
1971-07-01,6.730000
1971-08-01,6.580000
1971-09-01,6.140000
1971-10-01,5.930000
1971-11-01,5.810000
1971-12-01,5.930000
1972-01-01,5.950000
1972-02-01,6.080000
1972-03-01,6.070000
1972-04-01,6.190000
1972-05-01,6.130000
1972-06-01,6.110000
1972-07-01,6.110000
1972-08-01,6.210000
1972-09-01,6.550000
1972-10-01,6.480000
1972-11-01,6.280000
1972-12-01,6.360000
1973-01-01,6.460000
1973-02-01,6.640000
1973-03-01,6.710000
1973-04-01,6.670000
1973-05-01,6.850000
1973-06-01,6.900000
1973-07-01,7.130000
1973-08-01,7.400000
1973-09-01,7.090000
1973-10-01,6.790000
1973-11-01,6.730000
1973-12-01,6.740000
1974-01-01,6.990000
1974-02-01,6.960000
1974-03-01,7.210000
1974-04-01,7.510000
1974-05-01,7.580000
1974-06-01,7.540000
1974-07-01,7.810000
1974-08-01,8.040000
1974-09-01,8.040000
1974-10-01,7.900000
1974-11-01,7.680000
1974-12-01,7.430000
1975-01-01,7.500000
1975-02-01,7.390000
1975-03-01,7.730000
1975-04-01,8.230000
1975-05-01,8.060000
1975-06-01,7.860000
1975-07-01,8.060000
1975-08-01,8.400000
1975-09-01,8.430000
1975-10-01,8.140000
1975-11-01,8.050000
1975-12-01,8.000000
1976-01-01,7.740000
1976-02-01,7.790000
1976-03-01,7.730000
1976-04-01,7.560000
1976-05-01,7.900000
1976-06-01,7.860000
1976-07-01,7.830000
1976-08-01,7.770000
1976-09-01,7.590000
1976-10-01,7.410000
1976-11-01,7.290000
1976-12-01,6.870000
1977-01-01,7.210000
1977-02-01,7.390000
1977-03-01,7.460000
1977-04-01,7.370000
1977-05-01,7.460000
1977-06-01,7.280000
1977-07-01,7.330000
1977-08-01,7.400000
1977-09-01,7.340000
1977-10-01,7.520000
1977-11-01,7.580000
1977-12-01,7.690000
1978-01-01,7.960000
1978-02-01,8.030000
1978-03-01,8.040000
1978-04-01,8.150000
1978-05-01,8.350000
1978-06-01,8.460000
1978-07-01,8.640000
1978-08-01,8.410000
1978-09-01,8.420000
1978-10-01,8.640000
1978-11-01,8.810000
1978-12-01,9.010000
1979-01-01,9.100000
1979-02-01,9.100000
1979-03-01,9.120000
1979-04-01,9.180000
1979-05-01,9.250000
1979-06-01,8.910000
1979-07-01,8.950000
1979-08-01,9.030000
1979-09-01,9.330000
1979-10-01,10.300000
1979-11-01,10.650000
1979-12-01,10.390000
1980-01-01,10.800000
1980-02-01,12.410000
1980-03-01,12.750000
1980-04-01,11.470000
1980-05-01,10.180000
1980-06-01,9.780000
1980-07-01,10.250000
1980-08-01,11.100000
1980-09-01,11.510000
1980-10-01,11.750000
1980-11-01,12.680000
1980-12-01,12.840000
1981-01-01,12.570000
1981-02-01,13.190000
1981-03-01,13.120000
1981-04-01,13.680000
1981-05-01,14.100000
1981-06-01,13.470000
1981-07-01,14.280000
1981-08-01,14.940000
1981-09-01,15.320000
1981-10-01,15.150000
1981-11-01,13.390000
1981-12-01,13.720000
1982-01-01,14.590000
1982-02-01,14.430000
1982-03-01,13.860000
1982-04-01,13.870000
1982-05-01,13.620000
1982-06-01,14.300000
1982-07-01,13.950000
1982-08-01,13.060000
1982-09-01,12.340000
1982-10-01,10.910000
1982-11-01,10.550000
1982-12-01,10.540000
1983-01-01,10.460000
1983-02-01,10.720000
1983-03-01,10.510000
1983-04-01,10.400000
1983-05-01,10.380000
1983-06-01,10.850000
1983-07-01,11.380000
1983-08-01,11.850000
1983-09-01,11.650000
1983-10-01,11.540000
1983-11-01,11.690000
1983-12-01,11.830000
1984-01-01,11.670000
1984-02-01,11.840000
1984-03-01,12.320000
1984-04-01,12.630000
1984-05-01,13.410000
1984-06-01,13.560000
1984-07-01,13.360000
1984-08-01,12.720000
1984-09-01,12.520000
1984-10-01,12.160000
1984-11-01,11.570000
1984-12-01,11.500000
1985-01-01,11.380000
1985-02-01,11.510000
1985-03-01,11.860000
1985-04-01,11.430000
1985-05-01,10.850000
1985-06-01,10.160000
1985-07-01,10.310000
1985-08-01,10.330000
1985-09-01,10.370000
1985-10-01,10.240000
1985-11-01,9.780000
1985-12-01,9.260000
1986-01-01,9.190000
1986-02-01,8.700000
1986-03-01,7.780000
1986-04-01,7.300000
1986-05-01,7.710000
1986-06-01,7.800000
1986-07-01,7.300000
1986-08-01,7.170000
1986-09-01,7.450000
1986-10-01,7.430000
1986-11-01,7.250000
1986-12-01,7.110000
1987-01-01,7.080000
1987-02-01,7.250000
1987-03-01,7.250000
1987-04-01,8.020000
1987-05-01,8.610000
1987-06-01,8.400000
1987-07-01,8.450000
1987-08-01,8.760000
1987-09-01,9.420000
1987-10-01,9.520000
1987-11-01,8.860000
1987-12-01,8.990000
1988-01-01,8.670000
1988-02-01,8.210000
1988-03-01,8.370000
1988-04-01,8.720000
1988-05-01,9.090000
1988-06-01,8.920000
1988-07-01,9.060000
1988-08-01,9.260000
1988-09-01,8.980000
1988-10-01,8.800000
1988-11-01,8.960000
1988-12-01,9.110000
1989-01-01,9.090000
1989-02-01,9.170000
1989-03-01,9.360000
1989-04-01,9.180000
1989-05-01,8.860000
1989-06-01,8.280000
1989-07-01,8.020000
1989-08-01,8.110000
1989-09-01,8.190000
1989-10-01,8.010000
1989-11-01,7.870000
1989-12-01,7.840000
1990-01-01,8.210000
1990-02-01,8.470000
1990-03-01,8.590000
1990-04-01,8.790000
1990-05-01,8.760000
1990-06-01,8.480000
1990-07-01,8.470000
1990-08-01,8.750000
1990-09-01,8.890000
1990-10-01,8.720000
1990-11-01,8.390000
1990-12-01,8.080000
1991-01-01,8.090000
1991-02-01,7.850000
1991-03-01,8.110000
1991-04-01,8.040000
1991-05-01,8.070000
1991-06-01,8.280000
1991-07-01,8.270000
1991-08-01,7.900000
1991-09-01,7.650000
1991-10-01,7.530000
1991-11-01,7.420000
1991-12-01,7.090000
1992-01-01,7.030000
1992-02-01,7.340000
1992-03-01,7.540000
1992-04-01,7.480000
1992-05-01,7.390000
1992-06-01,7.260000
1992-07-01,6.840000
1992-08-01,6.590000
1992-09-01,6.420000
1992-10-01,6.590000
1992-11-01,6.870000
1992-12-01,6.770000
1993-01-01,6.600000
1993-02-01,6.260000
1993-03-01,5.980000
1993-04-01,5.970000
1993-05-01,6.040000
1993-06-01,5.960000
1993-07-01,5.810000
1993-08-01,5.680000
1993-09-01,5.360000
1993-10-01,5.330000
1993-11-01,5.720000
1993-12-01,5.770000
1994-01-01,5.750000
1994-02-01,5.970000
1994-03-01,6.480000
1994-04-01,6.970000
1994-05-01,7.180000
1994-06-01,7.100000
1994-07-01,7.300000
1994-08-01,7.240000
1994-09-01,7.460000
1994-10-01,7.740000
1994-11-01,7.960000
1994-12-01,7.810000
1995-01-01,7.780000
1995-02-01,7.470000
1995-03-01,7.200000
1995-04-01,7.060000
1995-05-01,6.630000
1995-06-01,6.170000
1995-07-01,6.280000
1995-08-01,6.490000
1995-09-01,6.200000
1995-10-01,6.040000
1995-11-01,5.930000
1995-12-01,5.710000
1996-01-01,5.650000
1996-02-01,5.810000
1996-03-01,6.270000
1996-04-01,6.510000
1996-05-01,6.740000
1996-06-01,6.910000
1996-07-01,6.870000
1996-08-01,6.640000
1996-09-01,6.830000
1996-10-01,6.530000
1996-11-01,6.200000
1996-12-01,6.300000
1997-01-01,6.580000
1997-02-01,6.420000
1997-03-01,6.690000
1997-04-01,6.890000
1997-05-01,6.710000
1997-06-01,6.490000
1997-07-01,6.220000
1997-08-01,6.300000
1997-09-01,6.210000
1997-10-01,6.030000
1997-11-01,5.880000
1997-12-01,5.810000
1998-01-01,5.540000
1998-02-01,5.570000
1998-03-01,5.650000
1998-04-01,5.640000
1998-05-01,5.650000
1998-06-01,5.500000
1998-07-01,5.460000
1998-08-01,5.340000
1998-09-01,4.810000
1998-10-01,4.530000
1998-11-01,4.830000
1998-12-01,4.650000
1999-01-01,4.720000
1999-02-01,5.000000
1999-03-01,5.230000
1999-04-01,5.180000
1999-05-01,5.540000
1999-06-01,5.900000
1999-07-01,5.790000
1999-08-01,5.940000
1999-09-01,5.920000
1999-10-01,6.110000
1999-11-01,6.030000
1999-12-01,6.280000
2000-01-01,6.660000
2000-02-01,6.520000
2000-03-01,6.260000
2000-04-01,5.990000
2000-05-01,6.440000
2000-06-01,6.100000
2000-07-01,6.050000
2000-08-01,5.830000
2000-09-01,5.800000
2000-10-01,5.740000
2000-11-01,5.720000
2000-12-01,5.240000
2001-01-01,5.160000
2001-02-01,5.100000
2001-03-01,4.890000
2001-04-01,5.140000
2001-05-01,5.390000
2001-06-01,5.280000
2001-07-01,5.240000
2001-08-01,4.970000
2001-09-01,4.730000
2001-10-01,4.570000
2001-11-01,4.650000
2001-12-01,5.090000
2002-01-01,5.040000
2002-02-01,4.910000
2002-03-01,5.280000
2002-04-01,5.210000
2002-05-01,5.160000
2002-06-01,4.930000
2002-07-01,4.650000
2002-08-01,4.260000
2002-09-01,3.870000
2002-10-01,3.940000
2002-11-01,4.050000
2002-12-01,4.030000
2003-01-01,4.050000
2003-02-01,3.900000
2003-03-01,3.810000
2003-04-01,3.960000
2003-05-01,3.570000
2003-06-01,3.330000
2003-07-01,3.980000
2003-08-01,4.450000
2003-09-01,4.270000
2003-10-01,4.290000
2003-11-01,4.300000
2003-12-01,4.270000
2004-01-01,4.150000
2004-02-01,4.080000
2004-03-01,3.830000
2004-04-01,4.350000
2004-05-01,4.720000
2004-06-01,4.730000
2004-07-01,4.500000
2004-08-01,4.280000
2004-09-01,4.130000
2004-10-01,4.100000
2004-11-01,4.190000
2004-12-01,4.230000
2005-01-01,4.220000
2005-02-01,4.170000
2005-03-01,4.500000
2005-04-01,4.340000
2005-05-01,4.140000
2005-06-01,4.000000
2005-07-01,4.180000
2005-08-01,4.260000
2005-09-01,4.200000
2005-10-01,4.460000
2005-11-01,4.540000
2005-12-01,4.470000
2006-01-01,4.420000
2006-02-01,4.570000
2006-03-01,4.720000
2006-04-01,4.990000
2006-05-01,5.110000
2006-06-01,5.110000
2006-07-01,5.090000
2006-08-01,4.880000
2006-09-01,4.720000
2006-10-01,4.730000
2006-11-01,4.600000
2006-12-01,4.560000
2007-01-01,4.760000
2007-02-01,4.720000
2007-03-01,4.560000
2007-04-01,4.690000
2007-05-01,4.750000
2007-06-01,5.100000
2007-07-01,5.000000
2007-08-01,4.670000
2007-09-01,4.520000
2007-10-01,4.530000
2007-11-01,4.150000
2007-12-01,4.100000
2008-01-01,3.740000
2008-02-01,3.740000
2008-03-01,3.510000
2008-04-01,3.680000
2008-05-01,3.880000
2008-06-01,4.100000
2008-07-01,4.010000
2008-08-01,3.890000
2008-09-01,3.690000
2008-10-01,3.810000
2008-11-01,3.530000
2008-12-01,2.420000
2009-01-01,2.520000
2009-02-01,2.870000
2009-03-01,2.820000
2009-04-01,2.930000
2009-05-01,3.290000
2009-06-01,3.720000
2009-07-01,3.560000
2009-08-01,3.590000
2009-09-01,3.400000
2009-10-01,3.390000
2009-11-01,3.400000
2009-12-01,3.590000
2010-01-01,3.730000
2010-02-01,3.690000
2010-03-01,3.730000
2010-04-01,3.850000
2010-05-01,3.420000
2010-06-01,3.200000
2010-07-01,3.010000
2010-08-01,2.700000
2010-09-01,2.650000
2010-10-01,2.540000
2010-11-01,2.760000
2010-12-01,3.290000
2011-01-01,3.390000
2011-02-01,3.580000
2011-03-01,3.410000
2011-04-01,3.460000
2011-05-01,3.170000
2011-06-01,3.000000
2011-07-01,3.000000
2011-08-01,2.300000
2011-09-01,1.980000
2011-10-01,2.150000
2011-11-01,2.010000
2011-12-01,1.980000
2012-01-01,1.970000
2012-02-01,1.970000
2012-03-01,2.170000
2012-04-01,2.050000
2012-05-01,1.800000
2012-06-01,1.620000
2012-07-01,1.530000
2012-08-01,1.680000
2012-09-01,1.720000
2012-10-01,1.750000
2012-11-01,1.650000
2012-12-01,1.720000
2013-01-01,1.910000
2013-02-01,1.980000
2013-03-01,1.960000
2013-04-01,1.760000
2013-05-01,1.930000
2013-06-01,2.300000
2013-07-01,2.580000
2013-08-01,2.740000
2013-09-01,2.810000
2013-10-01,2.620000
2013-11-01,2.720000
2013-12-01,2.900000
2014-01-01,2.860000
2014-02-01,2.710000
2014-03-01,2.720000
2014-04-01,2.710000
2014-05-01,2.560000
2014-06-01,2.600000
2014-07-01,2.540000
2014-08-01,2.420000
2014-09-01,2.530000
2014-10-01,2.300000
2014-11-01,2.330000
2014-12-01,2.210000
2015-01-01,1.880000
2015-02-01,1.980000
2015-03-01,2.040000
