date,value
1919-01-01,4.873900
1919-02-01,4.658500
1919-03-01,4.523800
1919-04-01,4.604600
1919-05-01,4.631500
1919-06-01,4.927700
1919-07-01,5.223900
1919-08-01,5.304700
1919-09-01,5.197000
1919-10-01,5.143200
1919-11-01,5.062400
1919-12-01,5.143200
1920-01-01,5.627900
1920-02-01,5.627900
1920-03-01,5.520100
1920-04-01,5.223900
1920-05-01,5.358600
1920-06-01,5.412400
1920-07-01,5.277800
1920-08-01,5.304700
1920-09-01,5.116200
1920-10-01,4.900800
1920-11-01,4.496900
1920-12-01,4.227600
1921-01-01,3.985300
1921-02-01,3.904500
1921-03-01,3.796800
1921-04-01,3.796800
1921-05-01,3.904500
1921-06-01,3.877600
1921-07-01,3.850600
1921-08-01,3.985300
1921-09-01,4.012200
1921-10-01,4.254500
1921-11-01,4.200700
1921-12-01,4.173800
1922-01-01,4.335300
1922-02-01,4.523800
1922-03-01,4.766200
1922-04-01,4.604600
1922-05-01,4.847000
1922-06-01,5.089300
1922-07-01,5.089300
1922-08-01,4.981600
1922-09-01,5.250900
1922-10-01,5.547100
1922-11-01,5.789400
1922-12-01,5.951000
1923-01-01,5.816300
1923-02-01,5.897100
1923-03-01,6.085600
1923-04-01,6.220300
1923-05-01,6.301000
1923-06-01,6.247200
1923-07-01,6.193300
1923-08-01,6.085600
1923-09-01,5.951000
1923-10-01,5.924100
1923-11-01,5.924100
1923-12-01,5.789400
1924-01-01,5.924000
1924-02-01,6.031800
1924-03-01,5.924100
1924-04-01,5.735600
1924-05-01,5.493200
1924-06-01,5.250900
1924-07-01,5.170100
1924-08-01,5.358600
1924-09-01,5.547100
1924-10-01,5.681700
1924-11-01,5.789400
1924-12-01,5.951000
1925-01-01,6.139500
1925-02-01,6.139500
1925-03-01,6.139500
1925-04-01,6.193300
1925-05-01,6.166400
1925-06-01,6.112500
1925-07-01,6.274100
1925-08-01,6.166400
1925-09-01,6.085600
1925-10-01,6.328000
1925-11-01,6.462600
1925-12-01,6.543400
1926-01-01,6.435700
1926-02-01,6.435700
1926-03-01,6.516500
1926-04-01,6.516500
1926-05-01,6.462600
1926-06-01,6.543400
1926-07-01,6.570300
1926-08-01,6.651100
1926-09-01,6.758800
1926-10-01,6.758800
1926-11-01,6.731900
1926-12-01,6.705000
1927-01-01,6.678000
1927-02-01,6.731900
1927-03-01,6.812700
1927-04-01,6.651100
1927-05-01,6.705000
1927-06-01,6.678000
1927-07-01,6.597200
1927-08-01,6.597200
1927-09-01,6.489500
1927-10-01,6.354900
1927-11-01,6.354900
1927-12-01,6.381800
1928-01-01,6.516500
1928-02-01,6.570300
1928-03-01,6.624200
1928-04-01,6.597200
1928-05-01,6.678000
1928-06-01,6.731900
1928-07-01,6.812700
1928-08-01,6.947300
1928-09-01,7.001200
1928-10-01,7.135800
1928-11-01,7.270400
1928-12-01,7.405100
1929-01-01,7.512800
1929-02-01,7.485800
1929-03-01,7.512800
1929-04-01,7.647400
1929-05-01,7.782100
1929-06-01,7.835900
1929-07-01,7.943600
1929-08-01,7.862800
1929-09-01,7.809000
1929-10-01,7.674300
1929-11-01,7.297400
1929-12-01,6.974200
1930-01-01,6.974200
1930-02-01,6.947300
1930-03-01,6.839600
1930-04-01,6.785700
1930-05-01,6.678000
1930-06-01,6.489500
