date,value
1947-01-01,21.480000
1947-02-01,21.620000
1947-03-01,22.000000
1947-04-01,22.000000
1947-05-01,21.950000
1947-06-01,22.080000
1947-07-01,22.230000
1947-08-01,22.400000
1947-09-01,22.840000
1947-10-01,22.910000
1947-11-01,23.060000
1947-12-01,23.410000
1948-01-01,23.680000
1948-02-01,23.670000
1948-03-01,23.500000
1948-04-01,23.820000
1948-05-01,24.010000
1948-06-01,24.150000
1948-07-01,24.400000
1948-08-01,24.430000
1948-09-01,24.360000
1948-10-01,24.310000
1948-11-01,24.160000
1948-12-01,24.050000
1949-01-01,24.010000
1949-02-01,23.910000
1949-03-01,23.910000
1949-04-01,23.920000
1949-05-01,23.910000
1949-06-01,23.920000
1949-07-01,23.700000
1949-08-01,23.700000
1949-09-01,23.750000
1949-10-01,23.670000
1949-11-01,23.700000
1949-12-01,23.610000
1950-01-01,23.510000
1950-02-01,23.610000
1950-03-01,23.640000
1950-04-01,23.650000
1950-05-01,23.770000
1950-06-01,23.880000
1950-07-01,24.070000
1950-08-01,24.200000
1950-09-01,24.340000
1950-10-01,24.500000
1950-11-01,24.600000
1950-12-01,24.980000
1951-01-01,25.380000
1951-02-01,25.830000
1951-03-01,25.880000
1951-04-01,25.920000
1951-05-01,25.990000
1951-06-01,25.930000
1951-07-01,25.910000
1951-08-01,25.860000
1951-09-01,26.030000
1951-10-01,26.160000
1951-11-01,26.320000
1951-12-01,26.470000
1952-01-01,26.450000
1952-02-01,26.410000
1952-03-01,26.390000
1952-04-01,26.460000
1952-05-01,26.470000
1952-06-01,26.530000
1952-07-01,26.680000
1952-08-01,26.690000
1952-09-01,26.630000
1952-10-01,26.690000
1952-11-01,26.690000
1952-12-01,26.710000
1953-01-01,26.640000
1953-02-01,26.590000
1953-03-01,26.630000
1953-04-01,26.690000
1953-05-01,26.700000
1953-06-01,26.770000
1953-07-01,26.790000
1953-08-01,26.850000
1953-09-01,26.890000
1953-10-01,26.950000
1953-11-01,26.850000
1953-12-01,26.870000
1954-01-01,26.940000
1954-02-01,26.990000
1954-03-01,26.930000
1954-04-01,26.860000
1954-05-01,26.930000
1954-06-01,26.940000
1954-07-01,26.860000
1954-08-01,26.850000
1954-09-01,26.810000
1954-10-01,26.720000
1954-11-01,26.780000
1954-12-01,26.770000
1955-01-01,26.770000
1955-02-01,26.820000
1955-03-01,26.790000
1955-04-01,26.790000
1955-05-01,26.770000
1955-06-01,26.710000
1955-07-01,26.760000
1955-08-01,26.720000
1955-09-01,26.850000
1955-10-01,26.820000
1955-11-01,26.880000
1955-12-01,26.870000
1956-01-01,26.830000
1956-02-01,26.860000
1956-03-01,26.890000
1956-04-01,26.930000
1956-05-01,27.030000
1956-06-01,27.150000
1956-07-01,27.290000
1956-08-01,27.310000
1956-09-01,27.350000
1956-10-01,27.510000
1956-11-01,27.510000
1956-12-01,27.630000
1957-01-01,27.670000
1957-02-01,27.800000
1957-03-01,27.860000
1957-04-01,27.930000
1957-05-01,28.000000
1957-06-01,28.110000
1957-07-01,28.190000
1957-08-01,28.280000
1957-09-01,28.320000
1957-10-01,28.320000
1957-11-01,28.410000
1957-12-01,28.470000
1958-01-01,28.640000
1958-02-01,28.700000
1958-03-01,28.870000
1958-04-01,28.940000
1958-05-01,28.940000
1958-06-01,28.910000
1958-07-01,28.890000
1958-08-01,28.940000
1958-09-01,28.910000
1958-10-01,28.910000
1958-11-01,28.950000
1958-12-01,28.970000
1959-01-01,29.010000
1959-02-01,29.000000
1959-03-01,28.970000
1959-04-01,28.980000
1959-05-01,29.040000
1959-06-01,29.110000
1959-07-01,29.150000
1959-08-01,29.180000
1959-09-01,29.250000
1959-10-01,29.350000
1959-11-01,29.350000
1959-12-01,29.410000
1960-01-01,29.370000
1960-02-01,29.410000
1960-03-01,29.410000
1960-04-01,29.540000
1960-05-01,29.570000
1960-06-01,29.610000
1960-07-01,29.550000
1960-08-01,29.610000
1960-09-01,29.610000
1960-10-01,29.750000
1960-11-01,29.780000
1960-12-01,29.810000
1961-01-01,29.840000
1961-02-01,29.840000
1961-03-01,29.840000
1961-04-01,29.810000
1961-05-01,29.840000
1961-06-01,29.840000
1961-07-01,29.920000
1961-08-01,29.940000
1961-09-01,29.980000
1961-10-01,29.980000
1961-11-01,29.980000
1961-12-01,30.010000
1962-01-01,30.040000
1962-02-01,30.110000
1962-03-01,30.170000
1962-04-01,30.210000
1962-05-01,30.240000
1962-06-01,30.210000
1962-07-01,30.220000
1962-08-01,30.280000
1962-09-01,30.420000
1962-10-01,30.380000
1962-11-01,30.380000
1962-12-01,30.380000
1963-01-01,30.440000
1963-02-01,30.480000
1963-03-01,30.510000
1963-04-01,30.480000
1963-05-01,30.510000
1963-06-01,30.610000
1963-07-01,30.690000
1963-08-01,30.750000
1963-09-01,30.720000
1963-10-01,30.750000
1963-11-01,30.780000
1963-12-01,30.880000
1964-01-01,30.940000
1964-02-01,30.910000
1964-03-01,30.940000
1964-04-01,30.950000
1964-05-01,30.980000
1964-06-01,31.010000
1964-07-01,31.020000
1964-08-01,31.050000
1964-09-01,31.080000
1964-10-01,31.120000
1964-11-01,31.210000
1964-12-01,31.250000
1965-01-01,31.280000
1965-02-01,31.280000
1965-03-01,31.310000
1965-04-01,31.380000
1965-05-01,31.480000
1965-06-01,31.610000
1965-07-01,31.580000
1965-08-01,31.550000
1965-09-01,31.620000
1965-10-01,31.650000
1965-11-01,31.750000
1965-12-01,31.850000
1966-01-01,31.880000
1966-02-01,32.080000
1966-03-01,32.180000
1966-04-01,32.280000
1966-05-01,32.350000
1966-06-01,32.380000
1966-07-01,32.450000
1966-08-01,32.650000
1966-09-01,32.750000
1966-10-01,32.850000
1966-11-01,32.880000
1966-12-01,32.920000
1967-01-01,32.900000
1967-02-01,33.000000
1967-03-01,33.000000
1967-04-01,33.100000
1967-05-01,33.100000
1967-06-01,33.300000
1967-07-01,33.400000
1967-08-01,33.500000
1967-09-01,33.600000
1967-10-01,33.700000
1967-11-01,33.900000
1967-12-01,34.000000
1968-01-01,34.100000
1968-02-01,34.200000
