date,value
2008-01-01,7.078100
2008-02-01,8.744300
2008-03-01,8.309700
2008-04-01,8.482900
2008-05-01,7.716300
2008-06-01,7.084400
2008-07-01,6.302000
2008-08-01,4.900100
2008-09-01,4.642500
2008-10-01,3.974400
2008-11-01,2.434000
2008-12-01,1.199900
2009-01-01,0.950000
2009-02-01,-1.558200
2009-03-01,-1.171400
2009-04-01,-1.500000
2009-05-01,-1.371300
2009-06-01,-1.700000
2009-07-01,-1.805700
2009-08-01,-1.204300
2009-09-01,-0.788300
2009-10-01,-0.530000
2009-11-01,0.560000
2009-12-01,1.855900
2010-01-01,1.530000
2010-02-01,2.695300
2010-03-01,2.370700
2010-04-01,2.813600
2010-05-01,3.061300
2010-06-01,2.949900
2010-07-01,3.304200
2010-08-01,3.479400
2010-09-01,3.605600
2010-10-01,4.365500
2010-11-01,5.119200
2010-12-01,4.585900
2011-01-01,4.912100
2011-02-01,4.944300
2011-03-01,5.383000
2011-04-01,5.344200
2011-05-01,5.514600
2011-06-01,6.355300
2011-07-01,6.450800
2011-08-01,6.151400
2011-09-01,6.067100
2011-10-01,5.495400
2011-11-01,4.224600
2011-12-01,4.070400
2012-01-01,4.548500
2012-02-01,3.161300
2012-03-01,3.585600
2012-04-01,3.365300
2012-05-01,3.000800
2012-06-01,2.150400
2012-07-01,1.800000
2012-08-01,2.000000
2012-09-01,1.900000
2012-10-01,1.700000
2012-11-01,2.000000
2012-12-01,2.500000
2013-01-01,2.000000
2013-02-01,3.200000
2013-03-01,2.100000
2013-04-01,2.400000
2013-05-01,2.098100
2013-06-01,2.700000
2013-07-01,2.700000
2013-08-01,2.600000
2013-09-01,3.100000
2013-10-01,3.200000
2013-11-01,3.000000
2013-12-01,2.498717
2014-01-01,2.500000
2014-02-01,2.000000
2014-03-01,2.400000
2014-04-01,1.801381
2014-05-01,2.500000
2014-06-01,2.300000
2014-07-01,2.300000
2014-08-01,2.000000
2014-09-01,1.600000
2014-10-01,1.601149
2014-11-01,1.400000
2014-12-01,1.500000
2015-01-01,0.800000
2015-02-01,1.400000
2015-03-01,1.400000
2015-04-01,1.500000
2015-05-01,1.200000
2015-06-01,1.400000
2015-07-01,1.600000
2015-08-01,2.000000
2015-09-01,1.595605
2015-10-01,1.300000
2015-11-01,1.500000
2015-12-01,1.600000
2016-01-01,1.800000
2016-02-01,2.300000
2016-03-01,2.300000
2016-04-01,2.300000
2016-05-01,2.000000
2016-06-01,1.900000
2016-07-01,1.800000
2016-08-01,1.300000
2016-09-01,1.900000
2016-10-01,2.100000
2016-11-01,2.300000
2016-12-01,2.100000
2017-01-01,2.500000
2017-02-01,0.800000
2017-03-01,0.900000
2017-04-01,1.200000
2017-05-01,1.500000
2017-06-01,1.500000
2017-07-01,1.400000
2017-08-01,1.800000
2017-09-01,1.600000
2017-10-01,1.900000
2017-11-01,1.700000
2017-12-01,1.800000
2018-01-01,1.500000
2018-02-01,2.900000
2018-03-01,2.100000
2018-04-01,1.800000
2018-05-01,1.800000
2018-06-01,1.900000
2018-07-01,2.100000
2018-08-01,2.300000
2018-09-01,2.500000
2018-10-01,2.500000
2018-11-01,2.200000
2018-12-01,1.900000
2019-01-01,1.700000
2019-02-01,1.500000
2019-03-01,2.300000
2019-04-01,2.500000
2019-05-01,2.700000
2019-06-01,2.700000
2019-07-01,2.800000
2019-08-01,2.800000
2019-09-01,3.000000
2019-10-01,3.800000
2019-11-01,4.500000
2019-12-01,4.500000
2020-01-01,5.400000
2020-02-01,5.200000
2020-03-01,4.300000
2020-04-01,3.300000
2020-05-01,2.400000
2020-06-01,2.500000
2020-07-01,2.700000
2020-08-01,2.400000
2020-09-01,1.700000
2020-10-01,0.500000
2020-11-01,-0.500000
2020-12-01,0.200000
2021-01-01,-0.300000
2021-02-01,-0.200000
2021-03-01,0.400000
2021-04-01,0.900000
2021-05-01,1.300000
2021-06-01,1.100000
2021-07-01,1.000000
2021-08-01,0.800000
2021-09-01,0.700000
2021-10-01,1.500000
2021-11-01,2.300000
2021-12-01,1.500000
2022-01-01,0.900000
2022-02-01,0.900000
2022-03-01,1.500000
2022-04-01,2.100000
2022-05-01,2.100000
2022-06-01,2.500000
2022-07-01,2.700000
2022-08-01,2.500000
2022-09-01,2.800000
2022-10-01,2.100000
2022-11-01,1.600000
2022-12-01,1.800000
2023-01-01,2.100000
2023-02-01,1.000000
2023-03-01,0.700000
2023-04-01,0.100000
2023-05-01,0.200000
2023-06-01,0.000000
2023-07-01,-0.300000
2023-08-01,0.100000
2023-09-01,0.000000
2023-10-01,-0.200000
2023-11-01,-0.500000
2023-12-01,-0.300000
2024-01-01,-0.800000
2024-02-01,0.700000
2024-03-01,0.100000
2024-04-01,0.300000
2024-05-01,0.300000
2024-06-01,0.200000
2024-07-01,0.500000
2024-08-01,0.600000
2024-09-01,0.400000
2024-10-01,0.300000
2024-11-01,0.200000
2024-12-01,0.100000
2025-01-01,0.500000
2025-02-01,-0.700000
2025-03-01,-0.100000
2025-04-01,-0.100000
2025-05-01,-0.100000
2025-06-01,0.100000
2025-07-01,0.000000
2025-08-01,-0.400000
2025-09-01,-0.300000
2025-10-01,0.200000
2025-11-01,0.700000
2025-12-01,0.800000
2026-01-01,0.200000
2026-02-01,1.300000
2026-03-01,1.000000
2026-04-01,1.200000
2026-05-01,1.200000
2026-06-01,1.000000
