date,city,new_yoy,new_mom,new_base,resale_yoy,resale_mom,resale_base
2011-01-01,上海,101.800000,101.100000,101.000000,101.700000,100.500000,100.600000
2011-01-01,北京,109.100000,101.000000,103.000000,102.600000,100.300000,101.200000
2011-02-01,上海,102.800000,101.100000,102.100000,102.000000,100.400000,101.000000
2011-02-01,北京,108.400000,100.500000,103.500000,102.900000,100.400000,101.500000
2011-03-01,上海,102.000000,100.200000,102.300000,100.500000,100.400000,101.400000
2011-03-01,北京,106.200000,100.000000,103.500000,101.900000,99.900000,101.400000
2011-04-01,上海,101.500000,100.300000,102.700000,100.200000,100.600000,102.000000
2011-04-01,北京,103.400000,100.100000,103.600000,99.300000,100.100000,101.500000
2011-05-01,上海,101.600000,100.200000,102.900000,100.500000,100.200000,102.300000
2011-05-01,北京,102.600000,100.200000,103.800000,100.600000,99.800000,101.400000
2011-06-01,上海,102.600000,100.100000,103.000000,102.400000,100.200000,102.500000
2011-06-01,北京,102.700000,100.100000,103.900000,101.400000,99.900000,101.300000
2011-07-01,上海,102.900000,100.000000,103.000000,103.800000,100.300000,102.800000
2011-07-01,北京,102.400000,100.000000,103.900000,101.800000,100.100000,101.300000
2011-08-01,上海,103.200000,100.000000,103.000000,103.700000,100.100000,102.900000
2011-08-01,北京,102.400000,100.000000,103.900000,101.900000,100.000000,101.300000
2011-09-01,上海,103.700000,100.000000,103.100000,103.400000,100.100000,103.000000
2011-09-01,北京,102.300000,100.000000,103.900000,101.200000,99.600000,101.000000
2011-10-01,上海,103.400000,99.700000,102.800000,103.300000,99.800000,102.800000
2011-10-01,北京,102.200000,99.900000,103.800000,100.400000,99.500000,100.500000
2011-11-01,上海,102.800000,99.600000,102.400000,102.600000,99.500000,102.300000
2011-11-01,北京,101.600000,99.600000,103.400000,99.200000,99.300000,99.700000
2011-12-01,上海,102.000000,99.600000,102.000000,101.700000,99.600000,101.900000
2011-12-01,北京,101.300000,99.800000,103.300000,98.000000,99.200000,98.900000
2012-01-01,上海,100.800000,99.800000,101.800000,100.600000,99.300000,101.200000
2012-01-01,北京,100.100000,99.900000,103.200000,96.900000,99.100000,98.100000
2012-02-01,上海,99.400000,99.800000,101.600000,99.900000,99.700000,100.900000
2012-02-01,北京,99.500000,99.800000,103.000000,96.300000,99.800000,97.800000
2012-03-01,上海,98.900000,99.700000,101.300000,99.000000,99.500000,100.400000
2012-03-01,北京,99.000000,99.500000,102.400000,96.600000,100.200000,98.000000
2012-04-01,上海,98.400000,99.800000,101.000000,98.500000,100.100000,100.400000
2012-04-01,北京,98.700000,99.800000,102.300000,96.800000,100.400000,98.300000
2012-05-01,上海,98.000000,99.800000,100.900000,98.500000,100.300000,100.700000
2012-05-01,北京,98.400000,99.900000,102.200000,96.900000,99.900000,98.300000
2012-06-01,上海,98.100000,100.200000,101.100000,98.500000,100.200000,100.900000
2012-06-01,北京,98.700000,100.300000,102.500000,97.200000,100.200000,98.500000
2012-07-01,上海,98.200000,100.100000,101.200000,98.400000,100.200000,101.100000
2012-07-01,北京,99.000000,100.300000,102.900000,97.500000,100.300000,98.800000
2012-08-01,上海,98.200000,100.000000,101.100000,98.500000,100.300000,101.400000
2012-08-01,北京,99.200000,100.200000,103.100000,97.700000,100.300000,99.000000
2012-09-01,上海,98.100000,100.000000,101.100000,98.600000,100.200000,101.600000
2012-09-01,北京,99.300000,100.100000,103.200000,98.200000,100.100000,99.200000
2012-10-01,上海,98.400000,100.000000,101.100000,99.000000,100.200000,101.800000
2012-10-01,北京,99.700000,100.300000,103.500000,98.800000,100.000000,99.200000
2012-11-01,上海,99.000000,100.200000,101.300000,99.700000,100.200000,102.000000
2012-11-01,北京,100.900000,100.800000,104.300000,99.800000,100.300000,99.500000
2012-12-01,上海,100.000000,100.700000,102.000000,100.400000,100.400000,102.300000
2012-12-01,北京,102.000000,101.000000,105.400000,101.600000,101.000000,100.400000
2013-01-01,上海,101.500000,101.300000,103.400000,102.000000,100.800000,103.200000
2013-01-01,北京,104.300000,102.100000,107.600000,103.500000,101.000000,101.600000
2013-02-01,上海,104.100000,102.300000,105.700000,103.900000,101.600000,104.900000
2013-02-01,北京,107.700000,103.100000,110.900000,106.000000,102.200000,103.700000
2013-03-01,上海,107.800000,103.200000,109.100000,107.200000,102.600000,107.600000
2013-03-01,北京,111.200000,102.700000,113.900000,109.100000,103.100000,106.900000
2013-04-01,上海,110.200000,102.000000,111.400000,108.500000,101.300000,109.000000
2013-04-01,北京,113.400000,101.800000,115.900000,110.900000,102.000000,109.000000
2013-05-01,上海,112.200000,101.700000,113.200000,109.200000,100.900000,110.000000
2013-05-01,北京,115.200000,101.600000,117.800000,112.800000,101.700000,110.900000
2013-06-01,上海,114.400000,102.200000,115.600000,110.200000,101.100000,111.200000
2013-06-01,北京,116.700000,101.700000,119.700000,114.100000,101.300000,112.300000
2013-07-01,上海,116.500000,101.900000,117.800000,110.900000,100.800000,112.100000
2013-07-01,北京,118.300000,101.600000,121.700000,115.300000,101.400000,113.900000
2013-08-01,上海,118.500000,101.700000,119.800000,111.400000,100.800000,113.000000
2013-08-01,北京,119.300000,101.100000,123.000000,116.400000,101.200000,115.200000
2013-09-01,上海,120.400000,101.600000,121.700000,112.300000,101.000000,114.100000
2013-09-01,北京,120.600000,101.200000,124.500000,117.800000,101.300000,116.800000
