date,value
2008-01-01,18.880000
2008-02-01,17.390000
2008-03-01,16.190000
2008-04-01,16.940000
2008-05-01,18.070000
2008-06-01,17.370000
2008-07-01,16.350000
2008-08-01,16.000000
2008-09-01,15.290000
2008-10-01,15.020000
2008-11-01,14.800000
2008-12-01,17.820000
2009-01-01,18.790000
2009-02-01,20.480000
2009-03-01,25.510000
2009-04-01,25.950000
2009-05-01,25.740000
2009-06-01,28.460000
2009-07-01,28.420000
2009-08-01,28.530000
2009-09-01,29.310000
2009-10-01,29.420000
2009-11-01,29.740000
2009-12-01,27.680000
2010-01-01,25.980000
2010-02-01,25.520000
2010-03-01,22.500000
2010-04-01,21.480000
2010-05-01,21.000000
2010-06-01,18.500000
2010-07-01,17.600000
2010-08-01,19.200000
2010-09-01,19.000000
2010-10-01,19.300000
2010-11-01,19.500000
2010-12-01,19.700000
2011-01-01,17.200000
2011-02-01,15.700000
2011-03-01,16.600000
2011-04-01,15.300000
2011-05-01,15.100000
2011-06-01,15.900000
2011-07-01,14.700000
2011-08-01,13.500000
2011-09-01,13.040000
2011-10-01,12.900000
2011-11-01,12.700000
2011-12-01,13.600000
2012-01-01,12.400000
2012-02-01,13.000000
2012-03-01,13.400000
2012-04-01,12.800000
2012-05-01,13.200000
2012-06-01,13.600000
2012-07-01,13.900000
2012-08-01,13.500000
2012-09-01,14.800000
2012-10-01,14.100000
2012-11-01,13.900000
2012-12-01,13.800000
2013-01-01,15.900000
2013-02-01,15.200000
2013-03-01,15.700000
2013-04-01,16.100000
2013-05-01,15.800000
2013-06-01,14.000000
2013-07-01,14.500000
2013-08-01,14.700000
2013-09-01,14.200000
2013-10-01,14.300000
2013-11-01,14.200000
2013-12-01,13.600000
2014-01-01,13.200000
2014-02-01,13.300000
2014-03-01,12.100000
2014-04-01,13.200000
2014-05-01,13.400000
2014-06-01,14.700000
2014-07-01,13.500000
2014-08-01,12.800000
2014-09-01,12.900000
2014-10-01,12.600000
2014-11-01,12.300000
2014-12-01,12.200000
2015-01-01,10.800000
2015-02-01,12.500000
2015-03-01,11.600000
2015-04-01,10.100000
2015-05-01,10.800000
2015-06-01,11.800000
2015-07-01,13.300000
2015-08-01,13.300000
2015-09-01,13.100000
2015-10-01,13.500000
2015-11-01,13.700000
2015-12-01,13.300000
2016-01-01,14.000000
2016-02-01,13.300000
2016-03-01,13.400000
2016-04-01,12.800000
2016-05-01,11.800000
2016-06-01,11.800000
2016-07-01,10.200000
2016-08-01,11.400000
2016-09-01,11.500000
2016-10-01,11.600000
2016-11-01,11.400000
2016-12-01,11.300000
2017-01-01,10.703200
2017-02-01,10.450000
2017-03-01,10.117800
2017-04-01,9.842600
2017-05-01,9.128900
2017-06-01,9.101300
2017-07-01,8.890000
2017-08-01,8.563300
2017-09-01,8.976000
2017-10-01,8.877100
2017-11-01,9.114800
2017-12-01,8.065400
2018-01-01,8.600000
2018-02-01,8.800000
2018-03-01,8.200000
2018-04-01,8.300000
2018-05-01,8.300000
2018-06-01,8.000000
2018-07-01,8.500000
2018-08-01,8.200000
2018-09-01,8.300000
2018-10-01,8.000000
2018-11-01,8.000000
2018-12-01,8.100000
2019-01-01,8.400000
2019-02-01,8.000000
2019-03-01,8.600000
2019-04-01,8.500000
2019-05-01,8.500000
2019-06-01,8.500000
2019-07-01,8.100000
2019-08-01,8.200000
2019-09-01,8.400000
2019-10-01,8.400000
2019-11-01,8.200000
2019-12-01,8.700000
2020-01-01,8.400000
2020-02-01,8.800000
2020-03-01,10.100000
2020-04-01,11.100000
2020-05-01,11.100000
2020-06-01,11.100000
2020-07-01,10.700000
2020-08-01,10.400000
2020-09-01,10.900000
2020-10-01,10.500000
2020-11-01,10.700000
2020-12-01,10.100000
2021-01-01,9.400000
2021-02-01,10.100000
2021-03-01,9.400000
2021-04-01,8.100000
2021-05-01,8.300000
2021-06-01,8.600000
2021-07-01,8.300000
2021-08-01,8.200000
2021-09-01,8.300000
2021-10-01,8.700000
2021-11-01,8.500000
2021-12-01,9.000000
2022-01-01,9.800000
2022-02-01,9.200000
2022-03-01,9.700000
2022-04-01,10.500000
2022-05-01,11.100000
2022-06-01,11.400000
2022-07-01,12.000000
2022-08-01,12.200000
2022-09-01,12.100000
2022-10-01,11.800000
2022-11-01,12.400000
2022-12-01,11.800000
2023-01-01,12.600000
2023-02-01,12.900000
2023-03-01,12.700000
2023-04-01,12.400000
2023-05-01,11.600000
2023-06-01,11.300000
2023-07-01,10.700000
2023-08-01,10.600000
2023-09-01,10.300000
2023-10-01,10.300000
2023-11-01,10.000000
2023-12-01,9.700000
2024-01-01,8.700000
2024-02-01,8.700000
2024-03-01,8.300000
2024-04-01,7.200000
2024-05-01,7.000000
2024-06-01,6.200000
2024-07-01,6.300000
2024-08-01,6.300000
2024-09-01,6.800000
2024-10-01,7.500000
2024-11-01,7.100000
2024-12-01,7.300000
2025-01-01,7.000000
2025-02-01,7.000000
2025-03-01,7.000000
2025-04-01,8.000000
2025-05-01,7.900000
2025-06-01,8.300000
2025-07-01,8.800000
2025-08-01,8.800000
2025-09-01,8.400000
2025-10-01,8.200000
2025-11-01,8.000000
2025-12-01,8.500000
2026-01-01,9.000000
2026-02-01,9.000000
2026-03-01,8.500000
2026-04-01,8.600000
2026-05-01,8.600000
2026-06-01,8.000000
