date,value
2006-01-01,3.050000
2006-02-01,3.010000
2006-03-01,2.490000
2006-04-01,1.870000
2006-05-01,2.430000
2006-06-01,3.520000
2006-07-01,3.580000
2006-08-01,3.400000
2006-09-01,3.450000
2006-10-01,2.900000
2006-11-01,2.780000
2006-12-01,3.050000
2007-01-01,3.300000
2007-02-01,2.600000
2007-03-01,2.650000
2007-04-01,2.870000
2007-05-01,2.760000
2007-06-01,2.490000
2007-07-01,2.390000
2007-08-01,2.560000
2007-09-01,2.710000
2007-10-01,3.210000
2007-11-01,4.550000
2007-12-01,5.430000
2008-01-01,6.070000
2008-02-01,6.620000
2008-03-01,7.950000
2008-04-01,8.120000
2008-05-01,8.220000
2008-06-01,8.840000
2008-07-01,10.030000
2008-08-01,10.060000
2008-09-01,9.130000
2008-10-01,6.590000
2008-11-01,1.990000
2008-12-01,-1.140000
2009-01-01,-3.350000
2009-02-01,-4.470000
2009-03-01,-5.990000
2009-04-01,-6.600000
2009-05-01,-7.200000
2009-06-01,-7.800000
2009-07-01,-8.220000
2009-08-01,-7.860000
2009-09-01,-6.990000
2009-10-01,-5.850000
2009-11-01,-2.080000
2009-12-01,1.700000
2010-01-01,4.320000
2010-02-01,5.390000
2010-03-01,5.910000
2010-04-01,6.810000
2010-05-01,7.130000
2010-06-01,6.410000
2010-07-01,4.840000
2010-08-01,4.320000
2010-09-01,4.330000
2010-10-01,5.040000
2010-11-01,6.060000
2010-12-01,5.930000
2011-01-01,6.643600
2011-02-01,7.232200
2011-03-01,7.308100
2011-04-01,6.821000
2011-05-01,6.785100
2011-06-01,7.120900
2011-07-01,7.541700
2011-08-01,7.252800
2011-09-01,6.522700
2011-10-01,5.003800
2011-11-01,2.717900
2011-12-01,1.685400
2012-01-01,0.734700
2012-02-01,0.028400
2012-03-01,-0.317100
2012-04-01,-0.698400
2012-05-01,-1.398100
2012-06-01,-2.084300
2012-07-01,-2.865100
2012-08-01,-3.478400
2012-09-01,-3.554500
2012-10-01,-2.755800
2012-11-01,-2.199500
2012-12-01,-1.939700
2013-01-01,-1.637200
2013-02-01,-1.625400
2013-03-01,-1.919000
2013-04-01,-2.617500
2013-05-01,-2.865800
2013-06-01,-2.696500
2013-07-01,-2.271200
2013-08-01,-1.625000
2013-09-01,-1.343900
2013-10-01,-1.507100
2013-11-01,-1.424200
2013-12-01,-1.355700
2014-01-01,-1.639400
2014-02-01,-2.018200
2014-03-01,-2.302200
2014-04-01,-2.004200
2014-05-01,-1.446400
2014-06-01,-1.108600
2014-07-01,-0.868800
2014-08-01,-1.203800
2014-09-01,-1.799600
2014-10-01,-2.242800
2014-11-01,-2.692800
2014-12-01,-3.315200
2015-01-01,-4.320200
2015-02-01,-4.797600
2015-03-01,-4.560300
2015-04-01,-4.572500
2015-05-01,-4.607000
2015-06-01,-4.813500
2015-07-01,-5.369200
2015-08-01,-5.922700
2015-09-01,-5.945000
2015-10-01,-5.900000
2015-11-01,-5.900000
2015-12-01,-5.900000
2016-01-01,-5.300000
2016-02-01,-4.900000
2016-03-01,-4.300000
2016-04-01,-3.400000
2016-05-01,-2.800000
2016-06-01,-2.600000
2016-07-01,-1.700000
2016-08-01,-0.800000
2016-09-01,0.100000
2016-10-01,1.200000
2016-11-01,3.300000
2016-12-01,5.500000
2017-01-01,6.900000
2017-02-01,7.800000
2017-03-01,7.600000
2017-04-01,6.400000
2017-05-01,5.500000
2017-06-01,5.500000
2017-07-01,5.500000
2017-08-01,6.300000
2017-09-01,6.900000
2017-10-01,6.900000
2017-11-01,5.800000
2017-12-01,4.900000
2018-01-01,4.300000
2018-02-01,3.700000
2018-03-01,3.100000
2018-04-01,3.400000
2018-05-01,4.100000
2018-06-01,4.700000
2018-07-01,4.600000
2018-08-01,4.100000
2018-09-01,3.600000
2018-10-01,3.300000
2018-11-01,2.700000
2018-12-01,0.900000
2019-01-01,0.100000
2019-02-01,0.100000
2019-03-01,0.400000
2019-04-01,0.900000
2019-05-01,0.600000
2019-06-01,0.000000
2019-07-01,-0.300000
2019-08-01,-0.800000
2019-09-01,-1.200000
2019-10-01,-1.600000
2019-11-01,-1.400000
2019-12-01,-0.500000
2020-01-01,0.100000
2020-02-01,-0.400000
2020-03-01,-1.500000
2020-04-01,-3.100000
2020-05-01,-3.700000
2020-06-01,-3.000000
2020-07-01,-2.400000
2020-08-01,-2.000000
2020-09-01,-2.100000
2020-10-01,-2.100000
2020-11-01,-1.500000
2020-12-01,-0.400000
2021-01-01,0.300000
2021-02-01,1.700000
2021-03-01,4.400000
2021-04-01,6.800000
2021-05-01,9.000000
2021-06-01,8.800000
2021-07-01,9.000000
2021-08-01,9.500000
2021-09-01,10.700000
2021-10-01,13.500000
2021-11-01,12.900000
2021-12-01,10.300000
2022-01-01,9.100000
2022-02-01,8.800000
2022-03-01,8.300000
2022-04-01,8.000000
2022-05-01,6.400000
2022-06-01,6.100000
2022-07-01,4.200000
2022-08-01,2.300000
2022-09-01,0.900000
2022-10-01,-1.300000
2022-11-01,-1.300000
2022-12-01,-0.700000
2023-01-01,-0.800000
2023-02-01,-1.400000
2023-03-01,-2.500000
2023-04-01,-3.600000
2023-05-01,-4.600000
2023-06-01,-5.400000
2023-07-01,-4.400000
2023-08-01,-3.000000
2023-09-01,-2.500000
2023-10-01,-2.600000
2023-11-01,-3.000000
2023-12-01,-2.700000
2024-01-01,-2.500000
2024-02-01,-2.700000
2024-03-01,-2.800000
2024-04-01,-2.500000
2024-05-01,-1.400000
2024-06-01,-0.800000
2024-07-01,-0.800000
2024-08-01,-1.800000
2024-09-01,-2.800000
2024-10-01,-2.900000
2024-11-01,-2.500000
2024-12-01,-2.300000
2025-01-01,-2.300000
2025-02-01,-2.200000
2025-03-01,-2.500000
2025-04-01,-2.700000
2025-05-01,-3.300000
2025-06-01,-3.600000
2025-07-01,-3.600000
2025-08-01,-2.900000
2025-09-01,-2.300000
2025-10-01,-2.100000
2025-11-01,-2.200000
2025-12-01,-1.900000
2026-01-01,-1.400000
2026-02-01,-0.900000
2026-03-01,0.500000
2026-04-01,2.800000
2026-05-01,3.900000
2026-06-01,4.100000
