date,value
1963-01-01,19300.000000
1963-04-01,19400.000000
1963-07-01,19200.000000
1963-10-01,19600.000000
1964-01-01,19600.000000
1964-04-01,20200.000000
1964-07-01,20500.000000
1964-10-01,20900.000000
1965-01-01,21500.000000
1965-04-01,21000.000000
1965-07-01,21600.000000
1965-10-01,21700.000000
1966-01-01,22700.000000
1966-04-01,23200.000000
1966-07-01,23000.000000
1966-10-01,22800.000000
1967-01-01,24000.000000
1967-04-01,24200.000000
1967-07-01,23900.000000
1967-10-01,24400.000000
1968-01-01,25400.000000
1968-04-01,26700.000000
1968-07-01,26600.000000
1968-10-01,27000.000000
1969-01-01,27600.000000
1969-04-01,28100.000000
1969-07-01,28100.000000
1969-10-01,27100.000000
1970-01-01,27000.000000
1970-04-01,27300.000000
1970-07-01,26000.000000
1970-10-01,26300.000000
1971-01-01,27300.000000
1971-04-01,28600.000000
1971-07-01,28300.000000
1971-10-01,28200.000000
1972-01-01,29000.000000
1972-04-01,29400.000000
1972-07-01,30300.000000
1972-10-01,31600.000000
1973-01-01,32800.000000
1973-04-01,35100.000000
1973-07-01,35900.000000
1973-10-01,36600.000000
1974-01-01,38000.000000
1974-04-01,38600.000000
1974-07-01,39000.000000
1974-10-01,39300.000000
1975-01-01,40900.000000
1975-04-01,42600.000000
1975-07-01,42200.000000
1975-10-01,44400.000000
1976-01-01,46000.000000
1976-04-01,47800.000000
1976-07-01,48100.000000
1976-10-01,50300.000000
1977-01-01,51600.000000
1977-04-01,54300.000000
1977-07-01,54000.000000
1977-10-01,57500.000000
1978-01-01,59300.000000
1978-04-01,61600.000000
1978-07-01,63500.000000
1978-10-01,66400.000000
1979-01-01,68300.000000
1979-04-01,72400.000000
1979-07-01,74200.000000
1979-10-01,72700.000000
1980-01-01,73600.000000
1980-04-01,74400.000000
1980-07-01,77500.000000
1980-10-01,80000.000000
1981-01-01,80900.000000
1981-04-01,84300.000000
1981-07-01,83800.000000
1981-10-01,83700.000000
1982-01-01,81200.000000
1982-04-01,85700.000000
1982-07-01,83900.000000
1982-10-01,84600.000000
1983-01-01,86700.000000
1983-04-01,89100.000000
1983-07-01,92500.000000
1983-10-01,90800.000000
1984-01-01,94700.000000
1984-04-01,99200.000000
1984-07-01,98500.000000
1984-10-01,97800.000000
1985-01-01,98500.000000
1985-04-01,100500.000000
1985-07-01,100500.000000
1985-10-01,103800.000000
1986-01-01,106300.000000
1986-04-01,112000.000000
1986-07-01,114400.000000
1986-10-01,115600.000000
1987-01-01,120800.000000
1987-04-01,126100.000000
1987-07-01,129900.000000
1987-10-01,133500.000000
1988-01-01,137900.000000
1988-04-01,134800.000000
1988-07-01,141500.000000
1988-10-01,140400.000000
1989-01-01,144300.000000
1989-04-01,146800.000000
1989-07-01,150200.000000
