date,value
1960-01-01,1092.000000
1960-02-01,1088.000000
1960-03-01,955.000000
1960-04-01,1016.000000
1960-05-01,1052.000000
1960-06-01,958.000000
1960-07-01,999.000000
1960-08-01,994.000000
1960-09-01,984.000000
1960-10-01,972.000000
1960-11-01,979.000000
1960-12-01,951.000000
1961-01-01,969.000000
1961-02-01,961.000000
1961-03-01,1000.000000
1961-04-01,1002.000000
1961-05-01,1027.000000
1961-06-01,1070.000000
1961-07-01,1083.000000
1961-08-01,1159.000000
1961-09-01,1098.000000
1961-10-01,1123.000000
1961-11-01,1152.000000
1961-12-01,1161.000000
1962-01-01,1122.000000
1962-02-01,1194.000000
1962-03-01,1134.000000
1962-04-01,1235.000000
1962-05-01,1142.000000
1962-06-01,1154.000000
1962-07-01,1189.000000
1962-08-01,1200.000000
1962-09-01,1223.000000
1962-10-01,1181.000000
1962-11-01,1236.000000
1962-12-01,1236.000000
1963-01-01,1248.000000
1963-02-01,1212.000000
1963-03-01,1258.000000
1963-04-01,1288.000000
1963-05-01,1350.000000
1963-06-01,1345.000000
1963-07-01,1321.000000
1963-08-01,1310.000000
1963-09-01,1413.000000
1963-10-01,1414.000000
1963-11-01,1357.000000
1963-12-01,1423.000000
1964-01-01,1296.000000
1964-02-01,1442.000000
1964-03-01,1313.000000
1964-04-01,1264.000000
1964-05-01,1299.000000
1964-06-01,1280.000000
1964-07-01,1304.000000
1964-08-01,1306.000000
1964-09-01,1265.000000
1964-10-01,1230.000000
1964-11-01,1254.000000
1964-12-01,1164.000000
1965-01-01,1264.000000
1965-02-01,1185.000000
1965-03-01,1211.000000
1965-04-01,1162.000000
1965-05-01,1207.000000
1965-06-01,1241.000000
1965-07-01,1237.000000
1965-08-01,1249.000000
1965-09-01,1227.000000
1965-10-01,1279.000000
1965-11-01,1306.000000
1965-12-01,1315.000000
1966-01-01,1325.000000
1966-02-01,1159.000000
1966-03-01,1234.000000
1966-04-01,1145.000000
1966-05-01,1078.000000
1966-06-01,956.000000
1966-07-01,932.000000
1966-08-01,877.000000
1966-09-01,774.000000
1966-10-01,739.000000
1966-11-01,736.000000
1966-12-01,743.000000
1967-01-01,995.000000
1967-02-01,907.000000
1967-03-01,955.000000
1967-04-01,1035.000000
1967-05-01,1076.000000
1967-06-01,1169.000000
1967-07-01,1177.000000
1967-08-01,1229.000000
1967-09-01,1279.000000
1967-10-01,1280.000000
1967-11-01,1297.000000
1967-12-01,1315.000000
1968-01-01,1179.000000
1968-02-01,1342.000000
1968-03-01,1370.000000
1968-04-01,1286.000000
1968-05-01,1297.000000
1968-06-01,1300.000000
1968-07-01,1344.000000
1968-08-01,1357.000000
1968-09-01,1464.000000
1968-10-01,1421.000000
1968-11-01,1436.000000
1968-12-01,1389.000000
1969-01-01,1459.000000
1969-02-01,1495.000000
1969-03-01,1438.000000
1969-04-01,1441.000000
1969-05-01,1328.000000
1969-06-01,1349.000000
1969-07-01,1278.000000
1969-08-01,1317.000000
1969-09-01,1263.000000
1969-10-01,1216.000000
1969-11-01,1191.000000
