date,value
1987-01-01,63.962000
1987-02-01,64.421000
1987-03-01,64.732000
1987-04-01,65.130000
1987-05-01,65.561000
1987-06-01,66.069000
1987-07-01,66.506000
1987-08-01,66.938000
1987-09-01,67.330000
1987-10-01,67.740000
1987-11-01,68.105000
1987-12-01,68.507000
1988-01-01,68.858000
1988-02-01,69.263000
1988-03-01,69.639000
1988-04-01,69.976000
1988-05-01,70.424000
1988-06-01,70.886000
1988-07-01,71.354000
1988-08-01,71.797000
1988-09-01,72.239000
1988-10-01,72.636000
1988-11-01,73.067000
1988-12-01,73.464000
1989-01-01,73.944000
1989-02-01,74.380000
1989-03-01,74.777000
1989-04-01,75.084000
1989-05-01,75.304000
1989-06-01,75.477000
1989-07-01,75.657000
1989-08-01,75.832000
1989-09-01,76.053000
1989-10-01,76.283000
1989-11-01,76.512000
1989-12-01,76.704000
1990-01-01,76.896000
1990-02-01,77.052000
1990-03-01,77.200000
1990-04-01,77.278000
1990-05-01,77.297000
1990-06-01,77.257000
1990-07-01,77.141000
1990-08-01,77.008000
1990-09-01,76.849000
1990-10-01,76.702000
1990-11-01,76.361000
1990-12-01,76.184000
1991-01-01,75.913000
1991-02-01,75.732000
1991-03-01,75.564000
1991-04-01,75.564000
1991-05-01,75.760000
1991-06-01,75.992000
1991-07-01,76.081000
1991-08-01,76.104000
1991-09-01,76.192000
1991-10-01,76.074000
1991-11-01,76.004000
1991-12-01,76.052000
1992-01-01,76.088000
1992-02-01,76.157000
1992-03-01,76.278000
1992-04-01,76.346000
1992-05-01,76.398000
1992-06-01,76.332000
1992-07-01,76.267000
1992-08-01,76.231000
1992-09-01,76.239000
1992-10-01,76.379000
1992-11-01,76.553000
1992-12-01,76.675000
1993-01-01,76.783000
1993-02-01,76.836000
1993-03-01,76.867000
1993-04-01,76.936000
1993-05-01,77.036000
1993-06-01,77.243000
1993-07-01,77.432000
1993-08-01,77.614000
1993-09-01,77.796000
1993-10-01,77.944000
1993-11-01,78.146000
1993-12-01,78.327000
1994-01-01,78.590000
1994-02-01,78.726000
1994-03-01,78.855000
1994-04-01,78.987000
1994-05-01,79.221000
1994-06-01,79.422000
1994-07-01,79.596000
1994-08-01,79.781000
1994-09-01,79.919000
1994-10-01,80.065000
1994-11-01,80.148000
1994-12-01,80.296000
1995-01-01,80.425000
1995-02-01,80.527000
1995-03-01,80.598000
1995-04-01,80.661000
1995-05-01,80.703000
1995-06-01,80.785000
1995-07-01,80.937000
1995-08-01,81.110000
1995-09-01,81.305000
1995-10-01,81.481000
1995-11-01,81.618000
1995-12-01,81.735000
1996-01-01,81.834000
1996-02-01,81.953000
1996-03-01,82.194000
1996-04-01,82.419000
1996-05-01,82.607000
