date,value
1991-01-01,100.000000
1991-02-01,100.400000
1991-03-01,100.460000
1991-04-01,100.300000
1991-05-01,100.350000
1991-06-01,100.480000
1991-07-01,100.500000
1991-08-01,100.330000
1991-09-01,100.590000
1991-10-01,100.880000
1991-11-01,101.350000
1991-12-01,101.830000
1992-01-01,102.200000
1992-02-01,102.940000
1992-03-01,102.780000
1992-04-01,102.510000
1992-05-01,102.540000
1992-06-01,102.460000
1992-07-01,102.830000
1992-08-01,103.260000
1992-09-01,103.670000
1992-10-01,103.970000
1992-11-01,104.240000
1992-12-01,104.160000
1993-01-01,104.220000
1993-02-01,104.000000
1993-03-01,104.320000
1993-04-01,104.970000
1993-05-01,105.200000
1993-06-01,105.560000
1993-07-01,105.620000
1993-08-01,106.010000
1993-09-01,106.400000
1993-10-01,106.610000
1993-11-01,106.950000
1993-12-01,107.470000
1994-01-01,107.740000
1994-02-01,107.930000
1994-03-01,108.310000
1994-04-01,108.600000
1994-05-01,108.990000
1994-06-01,109.170000
1994-07-01,109.300000
1994-08-01,109.590000
1994-09-01,109.630000
1994-10-01,109.900000
1994-11-01,110.100000
1994-12-01,110.130000
1995-01-01,110.440000
1995-02-01,111.040000
1995-03-01,110.880000
1995-04-01,111.150000
1995-05-01,111.300000
1995-06-01,111.660000
1995-07-01,112.180000
1995-08-01,112.470000
1995-09-01,112.700000
1995-10-01,112.780000
1995-11-01,113.000000
1995-12-01,113.470000
1996-01-01,113.880000
1996-02-01,114.050000
1996-03-01,114.470000
1996-04-01,114.700000
1996-05-01,114.960000
1996-06-01,115.070000
1996-07-01,115.470000
1996-08-01,115.490000
1996-09-01,115.770000
1996-10-01,115.880000
1996-11-01,116.180000
1996-12-01,116.580000
1997-01-01,116.720000
1997-02-01,117.000000
1997-03-01,117.440000
1997-04-01,117.660000
1997-05-01,118.130000
1997-06-01,118.180000
1997-07-01,118.470000
1997-08-01,118.950000
1997-09-01,119.100000
1997-10-01,119.700000
1997-11-01,120.050000
1997-12-01,120.470000
1998-01-01,120.930000
1998-02-01,121.790000
1998-03-01,122.180000
1998-04-01,122.710000
1998-05-01,123.220000
1998-06-01,123.990000
1998-07-01,124.330000
1998-08-01,124.860000
1998-09-01,125.660000
1998-10-01,126.180000
1998-11-01,127.020000
1998-12-01,127.590000
1999-01-01,128.290000
1999-02-01,128.850000
1999-03-01,129.390000
1999-04-01,130.010000
1999-05-01,130.790000
1999-06-01,131.360000
1999-07-01,132.110000
1999-08-01,132.930000
1999-09-01,133.330000
1999-10-01,134.090000
1999-11-01,134.640000
1999-12-01,135.310000
2000-01-01,136.880000
2000-02-01,136.750000
2000-03-01,137.760000
2000-04-01,138.730000
2000-05-01,139.270000
2000-06-01,140.220000
2000-07-01,140.960000
2000-08-01,141.530000
2000-09-01,142.380000
2000-10-01,143.170000
2000-11-01,144.050000
2000-12-01,144.920000
2001-01-01,145.840000
2001-02-01,146.830000
2001-03-01,147.600000
2001-04-01,148.470000
2001-05-01,149.090000
2001-06-01,149.820000
2001-07-01,150.650000
2001-08-01,151.380000
2001-09-01,152.210000
2001-10-01,153.100000
2001-11-01,153.620000
2001-12-01,154.570000
2002-01-01,155.430000
2002-02-01,156.370000
2002-03-01,157.320000
2002-04-01,158.180000
2002-05-01,159.230000
2002-06-01,160.220000
2002-07-01,161.270000
2002-08-01,162.270000
2002-09-01,163.270000
2002-10-01,164.450000
2002-11-01,165.370000
2002-12-01,166.560000
2003-01-01,167.560000
2003-02-01,168.650000
2003-03-01,169.200000
2003-04-01,170.220000
2003-05-01,171.150000
2003-06-01,171.910000
2003-07-01,173.240000
2003-08-01,174.500000
2003-09-01,175.880000
2003-10-01,176.930000
2003-11-01,178.340000
2003-12-01,179.760000
2004-01-01,180.920000
2004-02-01,182.360000
2004-03-01,183.620000
2004-04-01,185.160000
2004-05-01,186.910000
2004-06-01,188.850000
2004-07-01,190.390000
2004-08-01,191.750000
2004-09-01,193.240000
2004-10-01,194.660000
2004-11-01,196.460000
2004-12-01,198.140000
2005-01-01,199.550000
2005-02-01,201.070000
2005-03-01,203.080000
2005-04-01,204.850000
2005-05-01,206.540000
2005-06-01,208.320000
2005-07-01,210.410000
2005-08-01,211.950000
2005-09-01,213.870000
2005-10-01,215.100000
2005-11-01,216.550000
2005-12-01,217.800000
2006-01-01,219.100000
2006-02-01,219.580000
2006-03-01,220.430000
2006-04-01,220.830000
2006-05-01,221.410000
2006-06-01,221.340000
2006-07-01,221.230000
2006-08-01,221.780000
2006-09-01,221.750000
2006-10-01,222.000000
2006-11-01,222.700000
2006-12-01,222.700000
2007-01-01,223.520000
2007-02-01,223.590000
2007-03-01,224.420000
2007-04-01,224.480000
2007-05-01,223.340000
2007-06-01,222.500000
2007-07-01,221.370000
2007-08-01,220.370000
2007-09-01,219.460000
2007-10-01,217.620000
2007-11-01,216.160000
2007-12-01,215.060000
2008-01-01,213.330000
2008-02-01,211.900000
2008-03-01,210.080000
2008-04-01,207.780000
2008-05-01,205.380000
2008-06-01,204.070000
2008-07-01,202.230000
2008-08-01,200.190000
2008-09-01,198.330000
2008-10-01,196.630000
2008-11-01,193.080000
2008-12-01,192.650000
2009-01-01,194.230000
2009-02-01,194.430000
2009-03-01,192.050000
2009-04-01,190.850000
2009-05-01,190.810000
2009-06-01,190.750000
2009-07-01,190.160000
2009-08-01,189.820000
2009-09-01,189.600000
2009-10-01,189.980000
2009-11-01,190.520000
2009-12-01,188.850000
2010-01-01,188.980000
2010-02-01,188.070000
2010-03-01,187.810000
2010-04-01,188.110000
2010-05-01,188.050000
2010-06-01,186.070000
2010-07-01,184.910000
2010-08-01,184.780000
2010-09-01,183.060000
2010-10-01,183.320000
2010-11-01,182.630000
2010-12-01,181.370000
2011-01-01,180.260000
2011-02-01,178.620000
2011-03-01,176.730000
2011-04-01,177.140000
2011-05-01,176.680000
2011-06-01,177.120000
2011-07-01,177.440000
2011-08-01,177.070000
2011-09-01,178.020000
2011-10-01,177.220000
2011-11-01,177.770000
2011-12-01,178.190000
2012-01-01,177.640000
2012-02-01,178.180000
2012-03-01,179.620000
2012-04-01,180.510000
2012-05-01,181.600000
2012-06-01,182.280000
2012-07-01,182.610000
2012-08-01,183.960000
2012-09-01,184.580000
2012-10-01,185.480000
2012-11-01,186.410000
2012-12-01,187.300000
