date,value
1947-01-01,243.164000
1947-04-01,245.968000
1947-07-01,249.585000
1947-10-01,259.745000
1948-01-01,265.742000
1948-04-01,272.567000
1948-07-01,279.196000
1948-10-01,280.366000
1949-01-01,275.034000
1949-04-01,271.351000
1949-07-01,272.889000
1949-10-01,270.627000
1950-01-01,280.828000
1950-04-01,290.383000
1950-07-01,308.153000
1950-10-01,319.945000
1951-01-01,336.000000
1951-04-01,344.090000
1951-07-01,351.385000
1951-10-01,356.178000
1952-01-01,359.820000
1952-04-01,361.030000
1952-07-01,367.701000
1952-10-01,380.812000
1953-01-01,387.980000
1953-04-01,391.749000
1953-07-01,391.171000
1953-10-01,385.970000
1954-01-01,385.345000
1954-04-01,386.121000
1954-07-01,390.996000
1954-10-01,399.734000
1955-01-01,413.073000
1955-04-01,421.532000
1955-07-01,430.221000
1955-10-01,437.092000
1956-01-01,439.746000
1956-04-01,446.010000
1956-07-01,451.191000
1956-10-01,460.463000
1957-01-01,469.779000
1957-04-01,472.025000
1957-07-01,479.490000
1957-10-01,474.864000
1958-01-01,467.540000
1958-04-01,471.978000
1958-07-01,485.841000
1958-10-01,499.555000
1959-01-01,510.330000
1959-04-01,522.653000
1959-07-01,525.034000
1959-10-01,528.600000
1960-01-01,542.648000
1960-04-01,541.080000
1960-07-01,545.604000
1960-10-01,540.197000
1961-01-01,545.018000
1961-04-01,555.545000
1961-07-01,567.664000
1961-10-01,580.612000
1962-01-01,594.013000
1962-04-01,600.366000
1962-07-01,609.027000
1962-10-01,612.280000
1963-01-01,621.672000
1963-04-01,629.752000
1963-07-01,644.444000
1963-10-01,653.938000
1964-01-01,669.822000
1964-04-01,678.674000
1964-07-01,692.031000
1964-10-01,697.319000
1965-01-01,717.790000
1965-04-01,730.191000
1965-07-01,749.323000
1965-10-01,771.857000
1966-01-01,795.734000
1966-04-01,804.981000
1966-07-01,819.638000
1966-10-01,833.302000
1967-01-01,844.170000
1967-04-01,848.983000
1967-07-01,865.233000
1967-10-01,881.439000
1968-01-01,909.387000
1968-04-01,934.344000
1968-07-01,950.825000
1968-10-01,968.030000
1969-01-01,993.337000
1969-04-01,1009.020000
1969-07-01,1029.956000
1969-10-01,1038.147000
1970-01-01,1051.200000
1970-04-01,1067.375000
1970-07-01,1086.059000
1970-10-01,1088.608000
1971-01-01,1135.156000
1971-04-01,1156.271000
1971-07-01,1177.675000
1971-10-01,1190.297000
1972-01-01,1230.609000
1972-04-01,1266.369000
1972-07-01,1290.566000
1972-10-01,1328.904000
1973-01-01,1377.490000
1973-04-01,1413.887000
1973-07-01,1433.838000
1973-10-01,1476.289000
1974-01-01,1491.209000
1974-04-01,1530.056000
1974-07-01,1560.026000
1974-10-01,1599.679000
1975-01-01,1616.116000
1975-04-01,1651.853000
1975-07-01,1709.820000
1975-10-01,1761.831000
1976-01-01,1820.487000
1976-04-01,1852.332000
1976-07-01,1886.558000
1976-10-01,1934.273000
1977-01-01,1988.648000
1977-04-01,2055.909000
1977-07-01,2118.473000
1977-10-01,2164.270000
1978-01-01,2202.760000
1978-04-01,2331.633000
1978-07-01,2395.053000
1978-10-01,2476.949000
1979-01-01,2526.610000
1979-04-01,2591.247000
1979-07-01,2667.565000
1979-10-01,2723.883000
1980-01-01,2789.842000
1980-04-01,2797.352000
1980-07-01,2856.483000
1980-10-01,2985.557000
1981-01-01,3124.206000
1981-04-01,3162.532000
1981-07-01,3260.609000
1981-10-01,3280.818000
1982-01-01,3274.302000
1982-04-01,3331.972000
1982-07-01,3366.322000
1982-10-01,3402.561000
1983-01-01,3473.413000
1983-04-01,3578.848000
1983-07-01,3689.179000
1983-10-01,3794.706000
1984-01-01,3908.054000
1984-04-01,4009.601000
1984-07-01,4084.250000
1984-10-01,4148.551000
1985-01-01,4230.168000
1985-04-01,4294.887000
1985-07-01,4386.773000
1985-10-01,4444.094000
