date,value
1959-01-01,286.600000
1959-02-01,287.700000
1959-03-01,289.200000
1959-04-01,290.100000
1959-05-01,292.200000
1959-06-01,294.100000
1959-07-01,295.200000
1959-08-01,296.400000
1959-09-01,296.700000
1959-10-01,296.500000
1959-11-01,297.100000
1959-12-01,297.800000
1960-01-01,298.200000
1960-02-01,298.400000
1960-03-01,299.300000
1960-04-01,300.100000
1960-05-01,300.900000
1960-06-01,302.300000
1960-07-01,304.100000
1960-08-01,306.900000
1960-09-01,308.400000
1960-10-01,309.500000
1960-11-01,310.900000
1960-12-01,312.400000
1961-01-01,314.100000
1961-02-01,316.500000
1961-03-01,318.300000
1961-04-01,319.900000
1961-05-01,322.200000
1961-06-01,324.300000
1961-07-01,325.600000
1961-08-01,327.600000
1961-09-01,329.500000
1961-10-01,331.100000
1961-11-01,333.400000
1961-12-01,335.500000
1962-01-01,337.500000
1962-02-01,340.100000
1962-03-01,343.100000
1962-04-01,345.500000
1962-05-01,347.500000
1962-06-01,349.300000
1962-07-01,350.800000
1962-08-01,352.800000
1962-09-01,354.900000
1962-10-01,357.200000
1962-11-01,359.800000
1962-12-01,362.700000
1963-01-01,365.200000
1963-02-01,367.900000
1963-03-01,370.700000
1963-04-01,373.300000
1963-05-01,376.100000
1963-06-01,378.400000
1963-07-01,381.100000
1963-08-01,383.600000
1963-09-01,386.000000
1963-10-01,388.300000
1963-11-01,391.500000
1963-12-01,393.200000
1964-01-01,395.200000
1964-02-01,397.600000
1964-03-01,399.800000
1964-04-01,401.700000
1964-05-01,404.200000
1964-06-01,407.100000
1964-07-01,410.100000
1964-08-01,413.400000
1964-09-01,416.900000
1964-10-01,419.100000
1964-11-01,422.000000
1964-12-01,424.700000
1965-01-01,427.500000
1965-02-01,430.400000
1965-03-01,433.200000
1965-04-01,435.400000
1965-05-01,437.100000
1965-06-01,440.100000
1965-07-01,442.900000
1965-08-01,445.800000
1965-09-01,449.500000
1965-10-01,452.600000
1965-11-01,455.700000
1965-12-01,459.200000
1966-01-01,462.000000
1966-02-01,464.600000
1966-03-01,467.200000
1966-04-01,469.300000
1966-05-01,470.100000
1966-06-01,471.200000
1966-07-01,470.900000
1966-08-01,472.600000
1966-09-01,475.400000
1966-10-01,475.700000
1966-11-01,477.300000
1966-12-01,480.200000
1967-01-01,481.600000
1967-02-01,485.100000
1967-03-01,489.700000
1967-04-01,492.100000
1967-05-01,497.200000
1967-06-01,502.000000
1967-07-01,506.300000
1967-08-01,510.800000
1967-09-01,514.700000
1967-10-01,518.200000
1967-11-01,521.200000
1967-12-01,524.800000
1968-01-01,527.400000
1968-02-01,530.400000
1968-03-01,533.200000
1968-04-01,535.700000
1968-05-01,538.900000
1968-06-01,542.600000
1968-07-01,545.600000
1968-08-01,549.400000
1968-09-01,553.600000
1968-10-01,557.600000
1968-11-01,562.400000
1968-12-01,566.800000
1969-01-01,569.300000
