date,value
1963-01-01,591.000000
1963-02-01,464.000000
1963-03-01,461.000000
1963-04-01,605.000000
1963-05-01,586.000000
1963-06-01,526.000000
1963-07-01,665.000000
1963-08-01,570.000000
1963-09-01,590.000000
1963-10-01,567.000000
1963-11-01,579.000000
1963-12-01,514.000000
1964-01-01,549.000000
1964-02-01,609.000000
1964-03-01,562.000000
1964-04-01,559.000000
1964-05-01,523.000000
1964-06-01,580.000000
1964-07-01,575.000000
1964-08-01,582.000000
1964-09-01,590.000000
1964-10-01,583.000000
1964-11-01,548.000000
1964-12-01,540.000000
1965-01-01,533.000000
1965-02-01,559.000000
1965-03-01,556.000000
1965-04-01,555.000000
1965-05-01,544.000000
1965-06-01,614.000000
1965-07-01,554.000000
1965-08-01,615.000000
1965-09-01,587.000000
1965-10-01,555.000000
1965-11-01,616.000000
1965-12-01,609.000000
1966-01-01,599.000000
1966-02-01,541.000000
1966-03-01,557.000000
1966-04-01,545.000000
1966-05-01,499.000000
1966-06-01,434.000000
1966-07-01,435.000000
1966-08-01,377.000000
1966-09-01,358.000000
1966-10-01,387.000000
1966-11-01,382.000000
1966-12-01,369.000000
1967-01-01,416.000000
1967-02-01,408.000000
1967-03-01,439.000000
1967-04-01,479.000000
1967-05-01,503.000000
1967-06-01,499.000000
1967-07-01,515.000000
1967-08-01,504.000000
1967-09-01,531.000000
1967-10-01,566.000000
1967-11-01,500.000000
1967-12-01,502.000000
1968-01-01,494.000000
1968-02-01,543.000000
1968-03-01,490.000000
1968-04-01,501.000000
1968-05-01,441.000000
1968-06-01,441.000000
1968-07-01,493.000000
1968-08-01,507.000000
1968-09-01,501.000000
1968-10-01,502.000000
1968-11-01,469.000000
1968-12-01,511.000000
1969-01-01,480.000000
1969-02-01,524.000000
1969-03-01,474.000000
1969-04-01,450.000000
1969-05-01,447.000000
1969-06-01,461.000000
1969-07-01,436.000000
1969-08-01,422.000000
1969-09-01,396.000000
1969-10-01,401.000000
1969-11-01,441.000000
1969-12-01,452.000000
1970-01-01,461.000000
1970-02-01,373.000000
1970-03-01,389.000000
1970-04-01,445.000000
1970-05-01,466.000000
1970-06-01,485.000000
1970-07-01,481.000000
1970-08-01,515.000000
1970-09-01,564.000000
1970-10-01,545.000000
1970-11-01,570.000000
1970-12-01,582.000000
1971-01-01,618.000000
1971-02-01,618.000000
1971-03-01,681.000000
1971-04-01,662.000000
1971-05-01,618.000000
1971-06-01,646.000000
1971-07-01,706.000000
1971-08-01,659.000000
1971-09-01,625.000000
1971-10-01,647.000000
1971-11-01,710.000000
1971-12-01,689.000000
1972-01-01,698.000000
1972-02-01,711.000000
1972-03-01,640.000000
1972-04-01,684.000000
1972-05-01,677.000000
1972-06-01,687.000000
1972-07-01,681.000000
1972-08-01,773.000000
1972-09-01,767.000000
1972-10-01,843.000000
1972-11-01,735.000000
1972-12-01,772.000000
1973-01-01,781.000000
1973-02-01,737.000000
1973-03-01,725.000000
1973-04-01,661.000000
1973-05-01,660.000000
1973-06-01,650.000000
1973-07-01,601.000000
1973-08-01,566.000000
1973-09-01,561.000000
1973-10-01,565.000000
1973-11-01,547.000000
1973-12-01,519.000000
1974-01-01,523.000000
1974-02-01,539.000000
