date,value
1913-01-01,12.100000
1913-02-01,12.000000
1913-03-01,12.000000
1913-04-01,12.000000
1913-05-01,11.900000
1913-06-01,11.900000
1913-07-01,12.000000
1913-08-01,12.000000
1913-09-01,12.200000
1913-10-01,12.200000
1913-11-01,12.100000
1913-12-01,11.900000
1914-01-01,11.800000
1914-02-01,11.800000
1914-03-01,11.700000
1914-04-01,11.700000
1914-05-01,11.600000
1914-06-01,11.600000
1914-07-01,11.600000
1914-08-01,12.000000
1914-09-01,12.100000
1914-10-01,11.700000
1914-11-01,11.700000
1914-12-01,11.600000
1915-01-01,11.800000
1915-02-01,11.800000
1915-03-01,11.800000
1915-04-01,11.800000
1915-05-01,11.900000
1915-06-01,11.800000
1915-07-01,11.900000
1915-08-01,11.800000
1915-09-01,11.800000
1915-10-01,12.100000
1915-11-01,12.300000
1915-12-01,12.800000
1916-01-01,13.300000
1916-02-01,13.500000
1916-03-01,13.900000
1916-04-01,14.100000
1916-05-01,14.200000
1916-06-01,14.300000
1916-07-01,14.400000
1916-08-01,14.700000
1916-09-01,15.000000
1916-10-01,15.700000
1916-11-01,16.800000
1916-12-01,17.100000
1917-01-01,17.600000
1917-02-01,18.000000
1917-03-01,18.500000
1917-04-01,19.700000
1917-05-01,20.800000
1917-06-01,21.000000
1917-07-01,21.200000
1917-08-01,21.500000
1917-09-01,21.300000
1917-10-01,21.100000
1917-11-01,21.200000
1917-12-01,21.200000
1918-01-01,21.600000
1918-02-01,21.100000
1918-03-01,21.800000
1918-04-01,22.100000
1918-05-01,22.100000
1918-06-01,22.200000
1918-07-01,22.700000
1918-08-01,23.200000
1918-09-01,23.700000
1918-10-01,23.500000
1918-11-01,23.500000
1918-12-01,23.500000
1919-01-01,23.200000
1919-02-01,22.400000
1919-03-01,22.600000
1919-04-01,22.900000
1919-05-01,23.300000
1919-06-01,23.400000
1919-07-01,24.300000
1919-08-01,24.900000
1919-09-01,24.300000
1919-10-01,24.400000
1919-11-01,24.900000
1919-12-01,26.000000
1920-01-01,27.200000
1920-02-01,27.100000
1920-03-01,27.300000
1920-04-01,28.500000
1920-05-01,28.800000
1920-06-01,28.700000
1920-07-01,28.600000
1920-08-01,27.800000
1920-09-01,26.800000
1920-10-01,24.900000
1920-11-01,23.000000
1920-12-01,20.800000
1921-01-01,19.600000
1921-02-01,18.100000
1921-03-01,17.700000
1921-04-01,17.000000
1921-05-01,16.600000
1921-06-01,16.100000
1921-07-01,16.100000
1921-08-01,16.100000
1921-09-01,16.100000
1921-10-01,16.200000
1921-11-01,16.200000
1921-12-01,16.000000
1922-01-01,15.700000
1922-02-01,16.000000
1922-03-01,16.000000
1922-04-01,16.100000
1922-05-01,16.600000
1922-06-01,16.600000
1922-07-01,17.100000
1922-08-01,17.000000
1922-09-01,17.100000
1922-10-01,17.200000
1922-11-01,17.300000
1922-12-01,17.300000
1923-01-01,17.600000
1923-02-01,17.800000
1923-03-01,18.000000
1923-04-01,17.900000
1923-05-01,17.500000
1923-06-01,17.300000
1923-07-01,17.000000
1923-08-01,16.900000
1923-09-01,17.200000
1923-10-01,17.100000
1923-11-01,17.000000
1923-12-01,16.900000
1924-01-01,17.200000
1924-02-01,17.200000
1924-03-01,17.000000
1924-04-01,16.700000
1924-05-01,16.500000
1924-06-01,16.400000
1924-07-01,16.500000
1924-08-01,16.700000
1924-09-01,16.700000
1924-10-01,16.900000
1924-11-01,17.100000
1924-12-01,17.500000
1925-01-01,17.700000
1925-02-01,17.900000
1925-03-01,17.900000
1925-04-01,17.500000
1925-05-01,17.500000
1925-06-01,17.700000
1925-07-01,18.000000
1925-08-01,17.900000
1925-09-01,17.800000
1925-10-01,17.800000
1925-11-01,18.000000
1925-12-01,17.800000
1926-01-01,17.800000
1926-02-01,17.600000
1926-03-01,17.300000
1926-04-01,17.300000
1926-05-01,17.300000
1926-06-01,17.300000
1926-07-01,17.100000
1926-08-01,17.100000
1926-09-01,17.200000
1926-10-01,17.100000
1926-11-01,17.000000
1926-12-01,16.900000
1927-01-01,16.400000
1927-02-01,16.600000
1927-03-01,16.500000
1927-04-01,16.300000
1927-05-01,16.200000
1927-06-01,16.200000
1927-07-01,16.200000
1927-08-01,16.400000
1927-09-01,16.600000
1927-10-01,16.700000
1927-11-01,16.600000
1927-12-01,16.600000
1928-01-01,16.600000
1928-02-01,16.500000
1928-03-01,16.500000
1928-04-01,16.700000
1928-05-01,16.800000
1928-06-01,16.700000
1928-07-01,16.800000
1928-08-01,16.800000
1928-09-01,17.000000
1928-10-01,16.700000
1928-11-01,16.500000
1928-12-01,16.500000
1929-01-01,16.500000
1929-02-01,16.400000
1929-03-01,16.600000
1929-04-01,16.500000
1929-05-01,16.300000
1929-06-01,16.400000
1929-07-01,16.600000
1929-08-01,16.600000
1929-09-01,16.600000
1929-10-01,16.400000
1929-11-01,16.100000
1929-12-01,16.100000
1930-01-01,15.900000
1930-02-01,15.700000
1930-03-01,15.500000
1930-04-01,15.500000
1930-05-01,15.300000
1930-06-01,15.000000
1930-07-01,14.500000
1930-08-01,14.500000
1930-09-01,14.500000
1930-10-01,14.300000
1930-11-01,14.000000
1930-12-01,13.700000
1931-01-01,13.500000
1931-02-01,13.200000
1931-03-01,13.100000
1931-04-01,12.900000
1931-05-01,12.600000
1931-06-01,12.400000
1931-07-01,12.400000
1931-08-01,12.400000
1931-09-01,12.300000
1931-10-01,12.100000
1931-11-01,12.100000
1931-12-01,11.800000
1932-01-01,11.600000
1932-02-01,11.400000
1932-03-01,11.400000
1932-04-01,11.300000
1932-05-01,11.100000
1932-06-01,11.000000
1932-07-01,11.100000
1932-08-01,11.200000
1932-09-01,11.300000
1932-10-01,11.100000
1932-11-01,11.000000
1932-12-01,10.800000
1933-01-01,10.500000
1933-02-01,10.300000
1933-03-01,10.400000
1933-04-01,10.400000
1933-05-01,10.800000
1933-06-01,11.200000
1933-07-01,11.900000
1933-08-01,12.000000
1933-09-01,12.200000
1933-10-01,12.300000
1933-11-01,12.300000
1933-12-01,12.200000
1934-01-01,12.400000
1934-02-01,12.700000
1934-03-01,12.700000
1934-04-01,12.700000
1934-05-01,12.700000
1934-06-01,12.900000
1934-07-01,12.900000
1934-08-01,13.200000
1934-09-01,13.400000
1934-10-01,13.200000
1934-11-01,13.200000
1934-12-01,13.300000
1935-01-01,13.600000
1935-02-01,13.700000
1935-03-01,13.700000
1935-04-01,13.800000
1935-05-01,13.800000
1935-06-01,13.800000
1935-07-01,13.700000
1935-08-01,13.900000
1935-09-01,13.900000
1935-10-01,13.900000
1935-11-01,13.900000
1935-12-01,14.000000
1936-01-01,13.900000
1936-02-01,13.900000
1936-03-01,13.700000
1936-04-01,13.700000
1936-05-01,13.500000
1936-06-01,13.700000
1936-07-01,13.900000
1936-08-01,14.000000
1936-09-01,14.000000
1936-10-01,14.000000
1936-11-01,14.200000
1936-12-01,14.500000
1937-01-01,14.800000
1937-02-01,14.900000
1937-03-01,15.100000
1937-04-01,15.200000
1937-05-01,15.100000
1937-06-01,15.000000
1937-07-01,15.200000
1937-08-01,15.100000
1937-09-01,15.100000
1937-10-01,14.700000
1937-11-01,14.400000
1937-12-01,14.100000
1938-01-01,14.000000
1938-02-01,13.800000
1938-03-01,13.700000
1938-04-01,13.500000
1938-05-01,13.500000
1938-06-01,13.500000
1938-07-01,13.600000
1938-08-01,13.400000
1938-09-01,13.500000
1938-10-01,13.400000
1938-11-01,13.400000
1938-12-01,13.300000
1939-01-01,13.300000
1939-02-01,13.300000
1939-03-01,13.200000
1939-04-01,13.100000
1939-05-01,13.100000
1939-06-01,13.000000
1939-07-01,13.000000
1939-08-01,12.900000
1939-09-01,13.600000
1939-10-01,13.700000
1939-11-01,13.600000
1939-12-01,13.700000
1940-01-01,13.700000
1940-02-01,13.600000
1940-03-01,13.500000
1940-04-01,13.500000
1940-05-01,13.500000
1940-06-01,13.400000
1940-07-01,13.400000
1940-08-01,13.400000
1940-09-01,13.400000
1940-10-01,13.600000
1940-11-01,13.700000
1940-12-01,13.800000
1941-01-01,13.900000
1941-02-01,13.900000
1941-03-01,14.000000
1941-04-01,14.400000
1941-05-01,14.600000
1941-06-01,15.000000
1941-07-01,15.300000
1941-08-01,15.600000
1941-09-01,15.800000
1941-10-01,15.900000
1941-11-01,15.900000
1941-12-01,16.200000
1942-01-01,16.500000
1942-02-01,16.700000
1942-03-01,16.800000
1942-04-01,17.000000
1942-05-01,17.000000
1942-06-01,17.000000
1942-07-01,17.000000
1942-08-01,17.100000
1942-09-01,17.200000
1942-10-01,17.200000
1942-11-01,17.300000
1942-12-01,17.400000
1943-01-01,17.500000
1943-02-01,17.700000
1943-03-01,17.800000
1943-04-01,17.900000
1943-05-01,17.900000
1943-06-01,17.900000
1943-07-01,17.800000
1943-08-01,17.800000
1943-09-01,17.800000
1943-10-01,17.800000
1943-11-01,17.700000
1943-12-01,17.800000
1944-01-01,17.800000
1944-02-01,17.800000
1944-03-01,17.900000
1944-04-01,17.900000
1944-05-01,17.900000
1944-06-01,18.000000
1944-07-01,17.900000
1944-08-01,17.900000
1944-09-01,17.900000
1944-10-01,17.900000
1944-11-01,18.000000
1944-12-01,18.000000
1945-01-01,18.100000
1945-02-01,18.100000
1945-03-01,18.100000
1945-04-01,18.200000
1945-05-01,18.300000
1945-06-01,18.300000
1945-07-01,18.300000
1945-08-01,18.200000
1945-09-01,18.100000
1945-10-01,18.200000
1945-11-01,18.400000
1945-12-01,18.400000
1946-01-01,18.400000
1946-02-01,18.500000
1946-03-01,18.800000
1946-04-01,19.000000
1946-05-01,19.100000
1946-06-01,19.400000
1946-07-01,21.500000
1946-08-01,22.200000
1946-09-01,21.400000
1946-10-01,23.100000
1946-11-01,24.100000
1946-12-01,24.300000
1947-01-01,24.500000
1947-02-01,24.700000
1947-03-01,25.300000
1947-04-01,25.100000
1947-05-01,25.000000
1947-06-01,25.000000
1947-07-01,25.300000
1947-08-01,25.600000
1947-09-01,26.100000
