date,value
1947-01-01,2182.681000
1947-04-01,2176.892000
1947-07-01,2172.432000
1947-10-01,2206.452000
1948-01-01,2239.682000
1948-04-01,2276.690000
1948-07-01,2289.770000
1948-10-01,2292.364000
1949-01-01,2260.807000
1949-04-01,2253.128000
1949-07-01,2276.424000
1949-10-01,2257.352000
1950-01-01,2346.104000
1950-04-01,2417.682000
1950-07-01,2511.127000
1950-10-01,2559.214000
1951-01-01,2593.967000
1951-04-01,2638.898000
1951-07-01,2693.259000
1951-10-01,2699.156000
1952-01-01,2727.954000
1952-04-01,2733.800000
1952-07-01,2753.517000
1952-10-01,2843.941000
1953-01-01,2896.811000
1953-04-01,2919.206000
1953-07-01,2902.785000
1953-10-01,2858.845000
1954-01-01,2845.192000
1954-04-01,2848.305000
1954-07-01,2880.482000
1954-10-01,2936.852000
1955-01-01,3020.746000
1955-04-01,3069.910000
1955-07-01,3111.379000
1955-10-01,3130.068000
1956-01-01,3117.922000
1956-04-01,3143.694000
1956-07-01,3140.874000
1956-10-01,3192.570000
1957-01-01,3213.011000
1957-04-01,3205.970000
1957-07-01,3237.386000
1957-10-01,3203.894000
1958-01-01,3120.724000
1958-04-01,3141.224000
1958-07-01,3213.884000
1958-10-01,3289.032000
1959-01-01,3352.129000
1959-04-01,3427.667000
1959-07-01,3430.057000
1959-10-01,3439.832000
1960-01-01,3517.181000
1960-04-01,3498.246000
1960-07-01,3515.385000
1960-10-01,3470.278000
1961-01-01,3493.703000
1961-04-01,3553.021000
1961-07-01,3621.252000
1961-10-01,3692.289000
1962-01-01,3758.147000
1962-04-01,3792.149000
1962-07-01,3838.776000
1962-10-01,3851.421000
1963-01-01,3893.482000
1963-04-01,3937.183000
1963-07-01,4023.755000
1963-10-01,4050.147000
1964-01-01,4135.553000
1964-04-01,4180.592000
1964-07-01,4245.918000
1964-10-01,4259.046000
1965-01-01,4362.111000
1965-04-01,4417.225000
1965-07-01,4515.427000
1965-10-01,4619.458000
1966-01-01,4731.888000
1966-04-01,4748.046000
1966-07-01,4788.254000
1966-10-01,4827.537000
1967-01-01,4870.299000
1967-04-01,4873.287000
1967-07-01,4919.392000
1967-10-01,4956.477000
1968-01-01,5057.553000
1968-04-01,5142.033000
1968-07-01,5181.859000
1968-10-01,5202.212000
1969-01-01,5283.597000
1969-04-01,5299.625000
1969-07-01,5334.600000
1969-10-01,5308.556000
1970-01-01,5300.652000
1970-04-01,5308.164000
1970-07-01,5357.077000
1970-10-01,5299.672000
1971-01-01,5443.619000
1971-04-01,5473.059000
1971-07-01,5518.072000
1971-10-01,5531.032000
1972-01-01,5632.649000
1972-04-01,5760.470000
1972-07-01,5814.854000
1972-10-01,5912.220000
1973-01-01,6058.544000
1973-04-01,6124.506000
1973-07-01,6092.301000
1973-10-01,6150.131000
1974-01-01,6097.258000
1974-04-01,6111.751000
1974-07-01,6053.978000
1974-10-01,6030.464000
1975-01-01,5957.035000
1975-04-01,5999.610000
1975-07-01,6102.326000
1975-10-01,6184.530000
1976-01-01,6323.649000
1976-04-01,6370.025000
1976-07-01,6404.895000
1976-10-01,6451.177000
1977-01-01,6527.703000
1977-04-01,6654.466000
1977-07-01,6774.457000
1977-10-01,6774.592000
1978-01-01,6796.260000
1978-04-01,7058.920000
1978-07-01,7129.915000
1978-10-01,7225.750000
1979-01-01,7238.727000
1979-04-01,7246.454000
1979-07-01,7300.281000
1979-10-01,7318.535000
1980-01-01,7341.557000
1980-04-01,7190.289000
1980-07-01,7181.743000
1980-10-01,7315.677000
1981-01-01,7459.022000
1981-04-01,7403.745000
1981-07-01,7492.405000
1981-10-01,7410.768000
1982-01-01,7295.631000
1982-04-01,7328.912000
1982-07-01,7300.896000
1982-10-01,7303.817000
1983-01-01,7400.066000
1983-04-01,7568.456000
1983-07-01,7719.746000
1983-10-01,7880.794000
1984-01-01,8034.847000
1984-04-01,8173.670000
1984-07-01,8252.465000
1984-10-01,8320.199000
1985-01-01,8400.820000
1985-04-01,8474.787000
1985-07-01,8604.220000
1985-10-01,8668.188000
1986-01-01,8749.127000
1986-04-01,8788.524000
1986-07-01,8872.601000
1986-10-01,8920.193000
1987-01-01,8986.367000
1987-04-01,9083.256000
1987-07-01,9162.024000
1987-10-01,9319.332000
1988-01-01,9367.502000
1988-04-01,9490.594000
1988-07-01,9546.206000
1988-10-01,9673.405000
1989-01-01,9771.725000
1989-04-01,9846.293000
1989-07-01,9919.228000
1989-10-01,9938.767000
1990-01-01,10047.386000
1990-04-01,10083.855000
