date,value
2014-09-01,7026208707.880522
2014-10-01,6143302534.647423
2014-11-01,6864655095.123766
2014-12-01,5814130198.044676
2015-01-01,3948756102.229427
2015-02-01,4616959836.553619
2015-03-01,4434669584.046264
2015-04-01,4287969536.405218
2015-05-01,4179837388.873788
2015-06-01,4776915296.694445
2015-07-01,5168733110.092722
2015-08-01,4177404140.560144
2015-09-01,4286425967.018368
2015-10-01,5704690546.665365
2015-11-01,6851472552.620172
2015-12-01,7818323853.168397
2016-01-01,6696146969.423208
2016-02-01,7947791947.681399
2016-03-01,7567050927.847557
2016-04-01,8140650289.141046
2016-05-01,9649015986.883463
2016-06-01,12226591224.528807
2016-07-01,11343086575.281422
2016-08-01,10449538611.883162
2016-09-01,11071693218.846916
2016-10-01,12728393413.308289
2016-11-01,13540410102.649048
2016-12-01,17499843183.216698
2017-01-01,17620777453.081532
2017-02-01,21426137316.926559
2017-03-01,19461783877.587273
2017-04-01,24475263997.406986
2017-05-01,41517101244.911972
2017-06-01,45047604349.462036
2017-07-01,52211016454.340225
2017-08-01,85405125068.024780
2017-09-01,78783187461.939835
2017-10-01,117454535258.915375
2017-11-01,185823805623.000214
2017-12-01,257054828693.803406
2018-01-01,185596828053.137146
2018-02-01,188807212987.378387
2018-03-01,126626787520.194870
2018-04-01,167791803109.323761
2018-05-01,136080678160.642349
2018-06-01,116285148592.243149
2018-07-01,141278828029.270660
2018-08-01,127789825907.959991
2018-09-01,120308281686.509277
2018-10-01,114716458728.838394
2018-11-01,72946388322.420639
2018-12-01,67960724037.798309
2019-01-01,62787311177.760536
2019-02-01,69995985801.941498
2019-03-01,74546775248.804321
2019-04-01,97159592972.638184
2019-05-01,155697569288.510254
2019-06-01,196420129343.698669
2019-07-01,183136905441.878296
2019-08-01,174875578005.900787
2019-09-01,150601763251.480743
2019-10-01,167047955054.588165
2019-11-01,137450895645.086761
2019-12-01,130622851765.992569
2020-01-01,169788833339.043121
2020-02-01,156151648556.594910
2020-03-01,116914231113.216736
2020-04-01,157223798386.990234
2020-05-01,171795847035.311951
2020-06-01,165929558544.333221
2020-07-01,205613838078.379272
2020-08-01,212102736683.065979
2020-09-01,195827008581.450256
2020-10-01,250238142559.513702
2020-11-01,356369963809.989563
2020-12-01,526619206963.401794
2021-01-01,601297345480.764404
2021-02-01,819620898979.361572
2021-03-01,1069860265089.837891
2021-04-01,1048639564639.415649
2021-05-01,677897664827.659424
2021-06-01,636278702965.115723
2021-07-01,755857012374.109619
2021-08-01,856462408579.231323
2021-09-01,795164065826.616821
2021-10-01,1113442228279.244141
2021-11-01,1035116241026.974487
2021-12-01,840841954082.236694
2022-01-01,698784495458.911133
2022-02-01,784311629837.048706
2022-03-01,826900637088.794556
2022-04-01,684834454015.127441
2022-05-01,577291311060.914795
2022-06-01,359255132444.911377
2022-07-01,423756164173.539001
2022-08-01,364067730765.668823
2022-09-01,352846420759.827881
2022-10-01,372166467784.609253
2022-11-01,311750358473.856201
2022-12-01,300472836054.228882
2023-01-01,420167861585.475769
2023-02-01,420314403979.018555
2023-03-01,517118174145.651123
2023-04-01,531469008326.469604
2023-05-01,494260149715.874573
2023-06-01,553412206753.962158
2023-07-01,530766370886.762268
2023-08-01,470869011718.882141
2023-09-01,489688963319.813721
2023-10-01,629504699253.533936
2023-11-01,684795796897.760132
2023-12-01,767459963884.528076
2024-01-01,773223704618.747559
2024-02-01,1111252816826.443115
2024-03-01,1295291053744.772217
2024-04-01,1101056487874.760254
2024-05-01,1225522972042.227051
2024-06-01,1138125329696.946045
2024-07-01,1173369626509.885742
2024-08-01,1070787539393.218994
2024-09-01,1149950080851.415039
2024-10-01,1274981810098.331299
2024-11-01,1751341763884.653809
2024-12-01,1696506678364.380615
2025-01-01,1859491468929.080322
2025-02-01,1532062422025.461426
2025-03-01,1498940152699.269531
2025-04-01,1710635748366.393799
2025-05-01,1900040018758.247803
2025-06-01,1945385455804.509033
2025-07-01,2101961250962.162842
2025-08-01,1965384449485.143066
2025-09-01,2071053857134.890869
2025-10-01,1989343350594.000732
2025-11-01,1641398510455.365723
2025-12-01,1589003291950.139160
2026-01-01,1427618409531.011719
2026-02-01,1216524588145.987061
2026-03-01,1238994516396.542969
2026-04-01,1385549535566.705078
2026-05-01,1336075092802.672607
2026-06-01,1063323807591.215820
2026-07-01,1140584915388.374756
2026-08-01,1163591645591.656738
