date,value
2003-12-31,512978770000.00
2004-12-31,447720260000.00
2005-12-31,401852250000.00
2006-12-31,1145454870000.00
2007-12-31,4478866530000.00
2008-12-31,1778784040000.00
2009-12-31,3573152460000.00
2010-12-31,4027840300000.00
2011-12-31,3412108290000.00
2012-12-31,3697376040000.00
2013-12-31,3949143490000.00
2014-12-31,6004947670000.00
2015-12-31,8188019320000.00
2016-12-31,7320738379789.18
2017-12-31,8711267220000.00
2018-12-31,6324879760000.00
2019-12-31,8569512150000.00
2020-12-31,12276766270000.00
2021-12-31,14437446150000.00
2022-12-31,11469346090000.00
2023-12-31,10935845590000.00
2024-12-31,11755757950000.00
2025-12-31,15508858500000.00
