date,value
2000-02-01,577.4900
2000-03-01,1253.5000
2000-04-01,1938.0500
2000-05-01,2667.3600
2000-06-01,3686.9300
2000-07-01,4536.8400
2000-08-01,5432.5100
2000-09-01,6420.0800
2000-10-01,7482.5400
2000-11-01,8669.8000
2000-12-01,15136.8900
2001-02-01,795.4800
2001-03-01,1659.6700
2001-04-01,2545.9000
2001-05-01,3442.6300
2001-06-01,4620.3900
2001-07-01,5746.2300
2001-08-01,6853.4600
2001-09-01,8101.8400
2001-10-01,9174.3500
2001-11-01,10472.7100
2001-12-01,18498.7900
2002-02-01,831.8200
2002-03-01,1921.6100
2002-04-01,3033.7100
2002-05-01,4104.4600
2002-06-01,5646.3100
2002-07-01,6917.3800
2002-08-01,8373.4900
2002-09-01,10053.5400
2002-10-01,11716.6000
2002-11-01,13620.0500
2002-12-01,22117.1800
2003-02-01,1396.8700
2003-03-01,2791.4700
2003-04-01,4150.2300
2003-05-01,5672.5200
2003-06-01,7737.2500
2003-07-01,9512.5800
2003-08-01,11304.6000
2003-09-01,13649.7800
2003-10-01,15681.6700
2003-11-01,17928.2500
2003-12-01,28502.4700
2004-02-01,2011.8100
2004-03-01,3836.4500
2004-04-01,5513.4100
2004-05-01,7404.2700
2004-06-01,9831.2400
2004-07-01,11861.6200
2004-08-01,13807.9500
2004-09-01,16198.5700
2004-10-01,18443.8600
2004-11-01,21209.6200
2004-12-01,33819.8900
2005-02-01,2345.8300
2005-03-01,4637.3400
2005-04-01,6445.6300
2005-05-01,8475.5400
2005-06-01,11223.9100
2005-07-01,14646.5700
2005-08-01,28133.5800
2005-09-01,31330.9000
2005-10-01,35424.4100
2005-11-01,39083.8200
2005-12-01,49794.5200
2006-02-01,4745.4100
2006-03-01,8477.9000
2006-04-01,12217.4300
2006-05-01,16399.1600
2006-06-01,20704.8600
2006-07-01,24609.5500
2006-08-01,28281.5200
2006-09-01,32320.7000
2006-10-01,36763.3100
2006-11-01,41560.4900
2006-12-01,54392.1300
2007-02-01,4787.0700
2007-03-01,9529.1500
2007-04-01,14231.3600
2007-05-01,19165.6600
2007-06-01,25350.8500
2007-07-01,31085.5300
2007-08-01,36992.3500
2007-09-01,43255.9400
2007-10-01,48928.4900
2007-11-01,54976.1700
2007-12-01,69103.7900
2008-02-01,4615.2700
2008-03-01,9446.0900
2008-04-01,13663.6900
2008-05-01,17914.2200
2008-06-01,23610.4400
2008-07-01,27743.3500
2008-08-01,31488.6500
2008-09-01,36651.5000
2008-10-01,40615.8800
2008-11-01,44645.4600
2008-12-01,55886.4700
2009-02-01,4665.5700
2009-03-01,10328.7000
2009-04-01,16204.8800
2009-05-01,22704.2600
2009-06-01,31498.7700
2009-07-01,38499.4400
2009-08-01,45486.0600
2009-09-01,53673.0900
2009-10-01,60974.7100
2009-11-01,68952.1700
2009-12-01,85294.4200
2010-02-01,6432.6500
2010-03-01,13861.8900
2010-04-01,21110.5400
2010-05-01,27223.1300
2010-06-01,35496.6200
2010-07-01,41223.0200
2010-08-01,47352.9600
2010-09-01,56759.3500
2010-10-01,65095.5900
2010-11-01,74056.5200
2010-12-01,93051.5600
2011-02-01,7281.8300
2011-03-01,15849.4600
2011-04-01,22344.9500
2011-05-01,29542.0400
2011-06-01,39804.5800
2011-07-01,46558.8400
2011-08-01,53540.2700
2011-09-01,63603.5500
