date,value
2000-02-01,123.0000
2000-03-01,243.8900
2000-04-01,374.4000
2000-05-01,526.1400
2000-06-01,712.1400
2000-07-01,867.7400
2000-08-01,1044.5700
2000-09-01,1231.3300
2000-10-01,1432.9900
2000-11-01,1700.7600
2000-12-01,2954.1200
2001-02-01,182.5800
2001-03-01,363.2700
2001-04-01,550.0000
2001-05-01,756.1800
2001-06-01,987.4100
2001-07-01,1228.3600
2001-08-01,1452.9000
2001-09-01,1693.2800
2001-10-01,1916.0500
2001-11-01,2190.7700
2001-12-01,3825.3100
2002-02-01,188.5000
2002-03-01,416.2100
2002-04-01,646.0000
2002-05-01,863.0800
2002-06-01,1208.5300
2002-07-01,1498.3700
2002-08-01,1817.3200
2002-09-01,2238.9700
2002-10-01,2595.9100
2002-11-01,3011.5700
2002-12-01,4709.9600
2003-02-01,327.3900
2003-03-01,650.3900
2003-04-01,954.0400
2003-05-01,1298.2300
2003-06-01,1753.0900
2003-07-01,2143.0000
2003-08-01,2567.2300
2003-09-01,3158.5600
2003-10-01,3653.2200
2003-11-01,4147.4300
2003-12-01,6303.8500
2004-02-01,493.4300
2004-03-01,951.6500
2004-04-01,1343.7300
2004-05-01,1835.3400
2004-06-01,2445.0300
2004-07-01,2941.8700
2004-08-01,3486.0400
2004-09-01,4157.3000
2004-10-01,4732.4400
2004-11-01,5471.8400
2004-12-01,8619.3700
2005-02-01,687.3600
2005-03-01,1307.8200
2005-04-01,1784.4500
2005-05-01,2335.8000
2005-06-01,3123.6100
2005-07-01,4029.6700
2005-08-01,8429.6800
2005-09-01,9535.3900
2005-10-01,10844.8300
2005-11-01,12141.7500
2005-12-01,14986.0500
2006-02-01,1506.4000
2006-03-01,2599.9600
2006-04-01,3815.8900
2006-05-01,5246.9000
2006-06-01,6613.8200
2006-07-01,7853.7700
2006-08-01,9063.5700
2006-09-01,10346.8400
2006-10-01,11759.2900
2006-11-01,13492.5800
2006-12-01,17038.0100
2007-02-01,1830.6600
2007-03-01,3360.1000
2007-04-01,5007.6300
2007-05-01,6809.5700
2007-06-01,9044.3300
2007-07-01,11254.9300
2007-08-01,13612.6300
2007-09-01,16123.0900
2007-10-01,18413.4100
2007-11-01,20791.1900
2007-12-01,25323.4800
2008-02-01,1817.3700
2008-03-01,3520.3600
2008-04-01,5087.7400
2008-05-01,6780.3100
2008-06-01,8941.2200
2008-07-01,10510.0000
2008-08-01,11883.2100
2008-09-01,13617.0000
2008-10-01,15067.7200
2008-11-01,16514.5000
2008-12-01,20424.0600
2009-02-01,2055.5600
2009-03-01,4404.6800
2009-04-01,7052.4800
2009-05-01,10103.6200
2009-06-01,14046.9800
2009-07-01,17373.0800
2009-08-01,20751.6400
2009-09-01,24267.5600
2009-10-01,27765.9500
2009-11-01,31624.9400
2009-12-01,38157.2100
2010-02-01,3543.1100
2010-03-01,6836.1800
2010-04-01,10682.5500
2010-05-01,13498.7900
2010-06-01,16895.2100
2010-07-01,19397.9300
2010-08-01,22308.1900
2010-09-01,26985.8500
2010-10-01,31317.5700
2010-11-01,35679.4800
2010-12-01,43953.3300
2011-02-01,4471.3000
2011-03-01,8607.2100
2011-04-01,11855.8900
2011-05-01,15665.3300
2011-06-01,20657.3800
2011-07-01,24144.4500
2011-08-01,27755.2900
2011-09-01,32693.7000
2011-10-01,36417.3800
2011-11-01,40581.1100
2011-12-01,48619.3900
2012-02-01,3365.7800
2012-03-01,7099.0000
2012-04-01,10252.8800
2012-05-01,14010.3900
2012-06-01,19322.7900
2012-07-01,23866.9200
2012-08-01,28383.7100
2012-09-01,33787.7000
2012-10-01,38824.5100
2012-11-01,44783.0500
2012-12-01,53467.1800
2013-02-01,6300.5300
2013-03-01,11994.8700
2013-04-01,16941.0600
2013-05-01,21971.3000
2013-06-01,28215.0600
2013-07-01,33379.5600
2013-08-01,38525.6700
2013-09-01,45437.0000
2013-10-01,51484.5900
2013-11-01,58689.3500
2013-12-01,67694.9400
2014-02-01,5984.6700
2014-03-01,11074.9900
2014-04-01,15258.7000
2014-05-01,19720.2000
2014-06-01,25632.4600
2014-07-01,29873.7100
2014-08-01,34314.1900
2014-09-01,40516.1100
2014-10-01,46374.9500
2014-11-01,53011.9200
2014-12-01,62395.5800
2015-02-01,4982.9200
2015-03-01,10062.1700
2015-04-01,14915.7500
2015-05-01,20731.5200
2015-06-01,28941.1200
2015-07-01,34884.4500
2015-08-01,40724.0700
2015-09-01,47898.0000
2015-10-01,54702.7100
2015-11-01,62532.3400
2015-12-01,72753.0000
2016-02-01,7435.2800
2016-03-01,16133.0000
2016-04-01,24070.3200
2016-05-01,31800.0800
2016-06-01,41801.9200
2016-07-01,49272.6500
2016-08-01,57043.1700
2016-09-01,68610.7100
2016-10-01,78023.1500
2016-11-01,87120.8800
2016-12-01,99064.0000
2017-02-01,9120.8700
2017-03-01,19398.9900
2017-04-01,27950.8400
2017-05-01,36655.7600
2017-06-01,49298.0500
2017-07-01,57087.4900
2017-08-01,65155.7300
2017-09-01,76442.2600
2017-10-01,85532.3200
2017-11-01,95762.0800
2017-12-01,110239.5100
2018-02-01,10552.7400
2018-03-01,21608.6900
2018-04-01,30613.7700
2018-05-01,41349.9000
2018-06-01,56604.2900
2018-07-01,66328.0900
2018-08-01,75831.1200
2018-09-01,88364.2000
2018-10-01,98354.8600
2018-11-01,109946.8800
2018-12-01,126392.6000
2019-02-01,11027.7900
2019-03-01,23239.3700
2019-04-01,33869.7800
2019-05-01,45020.6600
2019-06-01,61344.9300
2019-07-01,72430.6300
2019-08-01,83317.0900
2019-09-01,97496.5500
2019-10-01,108947.7700
2019-11-01,121705.8600
2019-12-01,139439.9700
2020-02-01,7197.5900
2020-03-01,17934.3600
2020-04-01,28290.6300
2020-05-01,41249.7900
2020-06-01,59633.4400
2020-07-01,72686.4600
2020-08-01,86769.3700
2020-09-01,103497.4000
2020-10-01,117923.0600
2020-11-01,133246.8000
2020-12-01,154566.9600
2021-02-01,17526.3100
2021-03-01,35055.3800
2021-04-01,49009.6800
2021-05-01,64570.3500
2021-06-01,84632.7200
2021-07-01,96746.6100
2021-08-01,108061.5500
2021-09-01,121957.2600
2021-10-01,132902.1500
2021-11-01,145597.3400
2021-12-01,162729.9000
2022-02-01,13652.3600
2022-03-01,26072.5600
2022-04-01,33248.4900
2022-05-01,42317.2900
2022-06-01,57682.7100
2022-07-01,66328.4700
2022-08-01,75287.8300
2022-09-01,87053.6300
2022-10-01,95447.3200
2022-11-01,104187.6000
2022-12-01,116746.9700
2023-02-01,14134.1400
2023-03-01,27647.1900
2023-04-01,36019.7900
2023-05-01,45131.8900
2023-06-01,56638.5800
2023-07-01,63184.2300
2023-08-01,69917.7600
2023-09-01,79310.9800
2023-10-01,86502.0200
2023-11-01,93645.5700
2023-12-01,102989.5900
2024-02-01,9227.0900
2024-03-01,18522.8200
2024-04-01,24453.1800
2024-05-01,31163.2700
2024-06-01,41269.7400
2024-07-01,46787.0700
2024-08-01,52425.0100
2024-09-01,60239.7100
2024-10-01,67485.7900
2024-11-01,74870.5900
2024-12-01,84864.0900
2025-02-01,9159.8300
2025-03-01,18362.3200
2025-04-01,23865.5500
2025-05-01,30118.7500
2025-06-01,38849.2800
2025-07-01,43592.6900
2025-08-01,48447.1700
2025-09-01,55329.0200
2025-10-01,60687.3400
2025-11-01,66008.5000
2025-12-01,73335.3200
2026-02-01,7163.4500
2026-03-01,14921.0600
2026-04-01,20068.3200
2026-05-01,25783.0400
2026-06-01,33270.2600
