date,area_flow_wan_sqm,stock_commodity_wan_sqm,initial_stock_wan_sqm,stock_total_wan_sqm,price_cny_per_sqm,value_cny
2000-02-01,577.4900,577.4900,1559736.2390,1560313.7290,2129.9070,33233231513139.8281
2000-03-01,676.0100,1253.5000,1559736.2390,1560989.7390,1945.6721,30371742117367.5898
2000-04-01,684.5500,1938.0500,1559736.2390,1561674.2890,1931.8387,30169028342726.7578
2000-05-01,729.3100,2667.3600,1559736.2390,1562403.5990,1972.5121,30818600772685.1211
2000-06-01,1019.5700,3686.9300,1559736.2390,1563423.1690,1931.5257,30197920100501.4727
2000-07-01,849.9100,4536.8400,1559736.2390,1564273.0790,1912.6529,29919113778731.0430
2000-08-01,895.6700,5432.5100,1559736.2390,1565168.7490,1922.8128,30095265726669.7812
2000-09-01,987.5700,6420.0800,1559736.2390,1566156.3190,1917.9356,30037869625558.6055
2000-10-01,1062.4600,7482.5400,1559736.2390,1567218.7790,1915.1117,30013990410991.4961
2000-11-01,1187.2600,8669.8000,1559736.2390,1568406.0390,1961.7062,30767517761253.8047
2000-12-01,6467.0900,15136.8900,1559736.2390,1574873.1290,1951.6030,30735271299447.8906
2001-02-01,795.4800,15932.3700,1559736.2390,1575668.6090,2295.2180,36165029243801.7812
2001-03-01,864.1900,16796.5600,1559736.2390,1576532.7990,2188.8086,34507285778950.3906
2001-04-01,886.2300,17682.7900,1559736.2390,1577419.0290,2160.3362,34077554732789.6133
2001-05-01,896.7300,18579.5200,1559736.2390,1578315.7590,2196.5184,34667995417159.1328
2001-06-01,1177.7600,19757.2800,1559736.2390,1579493.5190,2137.0707,33754892889595.6953
2001-07-01,1125.8400,20883.1200,1559736.2390,1580619.3590,2137.6798,33788581309894.9336
2001-08-01,1107.2300,21990.3500,1559736.2390,1581726.5890,2119.9511,33531830070317.8594
2001-09-01,1248.3800,23238.7300,1559736.2390,1582974.9690,2089.9944,33084087756410.5156
2001-10-01,1072.5100,24311.2400,1559736.2390,1584047.4790,2088.4858,33082607183183.5078
2001-11-01,1298.3600,25609.6000,1559736.2390,1585345.8390,2091.8845,33163604297975.6523
2001-12-01,8026.0800,33635.6800,1559736.2390,1593371.9190,2067.8704,32948866036183.3398
2002-02-01,831.8200,34467.5000,1559736.2390,1594203.7390,2266.1153,36126494289484.4141
2002-03-01,1089.7900,35557.2900,1559736.2390,1595293.5290,2165.9442,34553167380431.2422
2002-04-01,1112.1000,36669.3900,1559736.2390,1596405.6290,2129.4059,33993955794215.9922
2002-05-01,1070.7500,37740.1400,1559736.2390,1597476.3790,2102.7858,33591505659085.6836
2002-06-01,1541.8500,39281.9900,1559736.2390,1599018.2290,2140.3890,34225210806278.6250
2002-07-01,1271.0700,40553.0600,1559736.2390,1600289.2990,2166.0947,34663781329362.8867
2002-08-01,1456.1100,42009.1700,1559736.2390,1601745.4090,2170.3256,34763091215941.5703
2002-09-01,1680.0500,43689.2200,1559736.2390,1603425.4590,2227.0464,35709028858541.6875
2002-10-01,1663.0600,45352.2800,1559736.2390,1605088.5190,2215.5830,35562068665994.9062
2002-11-01,1903.4500,47255.7300,1559736.2390,1606991.9690,2211.1299,35532680159309.4141
2002-12-01,8497.1300,55752.8600,1559736.2390,1615489.0990,2129.5482,34402618401886.2656
2003-02-01,1396.8700,57149.7300,1559736.2390,1616885.9690,2343.7399,37895602123762.5547
2003-03-01,1394.6000,58544.3300,1559736.2390,1618280.5690,2329.9194,37704632299919.2969
2003-04-01,1358.7600,59903.0900,1559736.2390,1619639.3290,2298.7642,37231688494985.5938
2003-05-01,1522.2900,61425.3800,1559736.2390,1621161.6190,2288.6301,37102392739306.3438
2003-06-01,2064.7300,63490.1100,1559736.2390,1623226.3490,2265.7792,36778724742553.2344
2003-07-01,1775.3300,65265.4400,1559736.2390,1625001.6790,2252.8063,36608139937495.2188
2003-08-01,1792.0200,67057.4600,1559736.2390,1626793.6990,2270.9605,36943842222164.8906
2003-09-01,2345.1800,69402.6400,1559736.2390,1629138.8790,2314.0007,37698284496957.5938
2003-10-01,2031.8900,71434.5300,1559736.2390,1631170.7690,2329.6116,37999943097091.3516
2003-11-01,2246.5800,73681.1100,1559736.2390,1633417.3490,2313.3490,37786644629026.4141
