date,value
1975-12-31,24570740000.00
1976-12-31,20500610000.00
1977-12-31,24066140000.00
1978-12-31,31682810000.00
1979-12-31,45661360000.00
1980-12-31,57128970000.00
1981-12-31,91164840000.00
1982-12-31,93445610000.00
1983-12-31,108485210000.00
1984-12-31,76381990000.00
1985-12-31,83500860000.00
1986-12-31,123033060000.00
1987-12-31,166090980000.00
1988-12-31,164445410000.00
1989-12-31,235299330000.00
1990-12-31,246241150000.00
1991-12-31,410393400000.00
1992-12-31,481333000000.00
1993-12-31,842254520000.00
1994-12-31,790548310000.00
1995-12-31,886965430000.00
1996-12-31,1027505600000.00
1997-12-31,708437970000.00
1998-12-31,553442850000.00
1999-12-31,927610340000.00
2000-12-31,1137862711926.19
2001-12-31,938620715310.21
2002-12-31,918995042293.28
2003-12-31,1476427589404.34
2004-12-31,2044432462810.50
2005-12-31,2703973123185.71
2006-12-31,3731717881903.85
2007-12-31,6103507017266.62
2008-12-31,2883394908892.43
2009-12-31,5236463493276.08
2010-12-31,6726457312598.93
2011-12-31,5496155564109.59
2012-12-31,6370457465254.81
2013-12-31,5838533248240.64
2014-12-31,6140081067024.67
2015-12-31,5214750827451.33
2016-12-31,5788172312309.91
2017-12-31,7697938058537.81
2018-12-31,8128390230000.00
2019-12-31,6718656880000.00
2020-12-31,7340093430000.00
2021-12-31,8439165450000.00
2022-12-31,8405234990000.00
2023-12-31,9663523140000.00
2024-12-31,9595145940000.00
2025-12-31,16778406600000.00
