date,value
1975-12-31,253473630000.00
1976-12-31,218196070000.00
1977-12-31,274637580000.00
1978-12-31,361102520000.00
1979-12-31,278441800000.00
1980-12-31,289212410000.00
1981-12-31,408319720000.00
1982-12-31,408999850000.00
1983-12-31,486683240000.00
1984-12-31,495960360000.00
1985-12-31,869294470000.00
1986-12-31,1348999280000.00
1987-12-31,1532379090000.00
1988-12-31,1759723460000.00
1989-12-31,2254361720000.00
1990-12-31,2146535210000.00
1991-12-31,2487402910000.00
1992-12-31,2293779670000.00
1993-12-31,2865080770000.00
1994-12-31,3064234170000.00
1995-12-31,3664650510000.00
1996-12-31,4475575890000.00
1997-12-31,5511611720000.00
1998-12-31,5516599610000.00
1999-12-31,8794639660000.00
2000-12-31,8327562590000.00
2001-12-31,6658476170000.00
2002-12-31,5640910020000.00
2003-12-31,7707485800000.00
2004-12-31,8667551760000.00
2005-12-31,9308348440000.00
2006-12-31,12188716490000.00
2007-12-31,13795183900000.00
2008-12-31,7190634820000.00
2009-12-31,9749255340000.00
2010-12-31,9625254970000.00
2011-12-31,8817327850000.00
2012-12-31,9947309510000.00
2013-12-31,12274639650000.00
2014-12-31,11257442130000.00
2015-12-31,6839119130000.00
2016-12-31,6788719477254.49
2017-12-31,8686977244396.87
2018-12-31,6285974476659.36
2019-12-31,4729913030000.00
2020-12-31,5044886370000.00
2021-12-31,9405861710000.00
2022-12-31,7481669660000.00
2023-12-31,4992320970000.00
2024-12-31,4769654240000.00
2025-12-31,6710565910000.00
