date,value
2004-11-01,18047999572.753906
2004-12-01,17519999694.824219
2005-01-01,16888000488.281250
2005-02-01,17411999511.718750
2005-03-01,17127999877.929688
2005-04-01,17339999389.648438
2005-05-01,16660000610.351562
2005-06-01,17375999450.683594
2005-07-01,17127999877.929688
2005-08-01,17360000610.351562
2005-09-01,18680000305.175781
2005-10-01,18560000610.351562
2005-11-01,19639999389.648438
2005-12-01,20632000732.421875
2006-01-01,22680000305.175781
2006-02-01,22427999877.929688
2006-03-01,23239999389.648438
2006-04-01,26035998535.156250
2006-05-01,25692001342.773438
2006-06-01,24491999816.894531
2006-07-01,25263999938.964844
2006-08-01,24916000366.210938
2006-09-01,23788000488.281250
2006-10-01,24096000671.386719
2006-11-01,25755999755.859375
2006-12-01,25283999633.789062
2007-01-01,25932000732.421875
2007-02-01,26592001342.773438
2007-03-01,26295999145.507812
2007-04-01,26835998535.156250
2007-05-01,26216000366.210938
2007-06-01,25707998657.226562
2007-07-01,26316000366.210938
2007-08-01,26607998657.226562
2007-09-01,29404000854.492188
2007-10-01,31448001098.632812
2007-11-01,30927999877.929688
2007-12-01,32983999633.789062
2008-01-01,36560000610.351562
2008-02-01,38472000122.070312
2008-03-01,36164001464.843750
2008-04-01,34660000610.351562
2008-05-01,34979998779.296875
2008-06-01,36560000610.351562
2008-07-01,36032000732.421875
2008-08-01,32683999633.789062
2008-09-01,34027999877.929688
2008-10-01,28535998535.156250
2008-11-01,32123999023.437500
2008-12-01,34607998657.226562
2009-01-01,36523999023.437500
2009-02-01,37051998901.367188
2009-03-01,36111999511.718750
2009-04-01,34907998657.226562
2009-05-01,38479998779.296875
2009-06-01,36472000122.070312
2009-07-01,37339999389.648438
2009-08-01,37360000610.351562
2009-09-01,39539999389.648438
2009-10-01,41011999511.718750
2009-11-01,46255999755.859375
2009-12-01,42923999023.437500
2010-01-01,42383999633.789062
2010-02-01,43772000122.070312
2010-03-01,43579998779.296875
2010-04-01,46144000244.140625
2010-05-01,47551998901.367188
2010-06-01,48672000122.070312
2010-07-01,46195999145.507812
2010-08-01,48832000732.421875
2010-09-01,51164001464.843750
2010-10-01,53047998046.875000
2010-11-01,54167999267.578125
2010-12-01,55488000488.281250
2011-01-01,51947998046.875000
2011-02-01,55064001464.843750
2011-03-01,55944000244.140625
2011-04-01,60947998046.875000
2011-05-01,59855999755.859375
2011-06-01,58400000000.000000
2011-07-01,63315997314.453125
2011-08-01,71088000488.281250
2011-09-01,63223999023.437500
2011-10-01,66935998535.156250
2011-11-01,68052001953.125000
2011-12-01,60796002197.265625
2012-01-01,67723999023.437500
2012-02-01,65715997314.453125
2012-03-01,64847998046.875000
2012-04-01,64752001953.125000
2012-05-01,60647998046.875000
2012-06-01,62076000976.562500
2012-07-01,62596002197.265625
2012-08-01,65688000488.281250
2012-09-01,68755999755.859375
2012-10-01,66732000732.421875
2012-11-01,66420001220.703125
2012-12-01,64808001708.984375
