date,value
1975-12-31,8100040000.00
1976-12-31,11700010000.00
1977-12-31,10528310000.00
1978-12-31,12930600000.00
1979-12-31,22220560000.00
1980-12-31,39013300000.00
1981-12-31,38980940000.00
1982-12-31,21687340000.00
1983-12-31,19558170000.00
1984-12-31,23617550000.00
1985-12-31,34593530000.00
1986-12-31,53843770000.00
1987-12-31,54073720000.00
1988-12-31,74407440000.00
1989-12-31,77565440000.00
1990-12-31,83385870000.00
1991-12-31,121880900000.00
1992-12-31,171983500000.00
1993-12-31,385042740000.00
1994-12-31,269507830000.00
1995-12-31,303705280000.00
1996-12-31,449218770000.00
1997-12-31,413322580000.00
1998-12-31,343566530000.00
1999-12-31,608159390000.00
2000-12-31,623397740000.00
2001-12-31,506072920000.00
2002-12-31,463054920000.00
2003-12-31,714597300000.00
2004-12-31,861462920000.00
2005-12-31,1054999320000.00
2006-12-31,1714953250000.00
2007-12-31,2654416060000.00
2008-12-31,1328768470000.00
2009-12-31,2305142810000.00
2010-12-31,2711316160000.00
2011-12-31,2258035200000.00
2012-12-31,2831945860000.00
2013-12-31,3100777150000.00
2014-12-31,3233030590000.00
2015-12-31,3184874220000.00
2016-12-31,3193235542860.09
2017-12-31,4350514610000.00
2018-12-31,3819215400000.00
2019-12-31,4899234580000.00
2020-12-31,6130420430000.00
2021-12-31,5434177120000.00
2022-12-31,4566809060000.00
2023-12-31,3974783490000.00
2024-12-31,4549720760000.00
2025-12-31,6089226700000.00
