date,value
1975-12-31,141799090000.00
1976-12-31,180900950000.00
1977-12-31,21530430000.00
1978-12-31,34198150000.00
1979-12-31,289123900000.00
1980-12-31,379212790000.00
1981-12-31,417943120000.00
1982-12-31,417405180000.00
1983-12-31,545848260000.00
1984-12-31,644412020000.00
1985-12-31,948262520000.00
1986-12-31,1783639430000.00
1987-12-31,2726369260000.00
1988-12-31,3789032960000.00
1989-12-31,4260382520000.00
1990-12-31,2928533730000.00
1991-12-31,3005697400000.00
1992-12-31,2254844100000.00
1993-12-31,2906298700000.00
1994-12-31,3592193910000.00
1995-12-31,3545306510000.00
1996-12-31,3019733730000.00
1997-12-31,2085370340000.00
1998-12-31,2439548790000.00
1999-12-31,4455348090000.00
2000-12-31,3157221780000.00
2001-12-31,2264527900000.00
2002-12-31,2069299120000.00
2003-12-31,2953098300000.00
2004-12-31,3557674430000.00
2005-12-31,4572901030000.00
2006-12-31,4614068830000.00
2007-12-31,4330921860000.00
2008-12-31,3115803730000.00
2009-12-31,3306082050000.00
2010-12-31,3827774200000.00
2011-12-31,3325387760000.00
2012-12-31,3478831520000.00
2013-12-31,4543169140000.00
2014-12-31,4377994370000.00
2015-12-31,4894919120000.00
2016-12-31,4955299652289.15
2017-12-31,6222825210000.00
2018-12-31,5296811100000.00
2019-12-31,6191073290000.00
2020-12-31,6718219550000.00
2021-12-31,6544303490000.00
2022-12-31,5380475460000.00
2023-12-31,6149200180000.00
2024-12-31,6310681430000.00
2025-12-31,7610543670000.00
