date,value
1975-12-31,703800000000.00
1976-12-31,883100000000.00
1977-12-31,834238000000.00
1978-12-31,861961000000.00
1979-12-31,993590900000.00
1980-12-31,1359797800000.00
1981-12-31,1263560700000.00
1982-12-31,1456865200000.00
1983-12-31,1809034400000.00
1984-12-31,1602159700000.00
1985-12-31,2300857900000.00
1986-12-31,2537942200000.00
1987-12-31,2531767700000.00
1988-12-31,2779940700000.00
1989-12-31,3382233600000.00
1990-12-31,3093448500000.00
1991-12-31,4159595200000.00
1992-12-31,4545844000000.00
1993-12-31,5251079630000.00
1994-12-31,5137739860000.00
1995-12-31,6952026000000.00
1996-12-31,8480497000000.00
1997-12-31,10770143000000.00
1998-12-31,12922580000000.00
1999-12-31,14777387400000.00
2000-12-31,15107751000000.00
2001-12-31,13983666000000.00
2002-12-31,11054430000000.00
2003-12-31,14266265650000.00
2004-12-31,16323726330000.00
2005-12-31,17000864470000.00
2006-12-31,19568972500000.00
2007-12-31,19922279820000.00
2008-12-31,11590277780000.00
2009-12-31,15077285740000.00
2010-12-31,17283451680000.00
2011-12-31,15640707040000.00
2012-12-31,18668333210000.00
2013-12-31,24034853520000.00
2014-12-31,26330589190000.00
2015-12-31,25067539600000.00
2016-12-31,27352200720000.00
2017-12-31,32120702650000.00
2018-12-31,30436313050000.00
2019-12-31,34085727370000.00
2020-12-31,41569861770000.00
2021-12-31,48548538120000.00
2022-12-31,40297980320000.00
2023-12-31,48979397700000.00
2024-12-31,62185685320000.00
2025-12-31,68937866210000.00
