date,value_usd
2009-01-01,0.00
2009-02-01,0.00
2009-03-01,0.00
2009-04-01,0.00
2009-05-01,0.00
2009-06-01,0.00
2009-07-01,0.00
2009-08-01,0.00
2009-09-01,0.00
2009-10-01,0.00
2009-11-01,0.00
2009-12-01,0.00
2010-01-01,0.00
2010-02-01,0.00
2010-03-01,0.00
2010-04-01,0.00
2010-05-01,0.00
2010-06-01,0.00
2010-07-01,0.00
2010-08-01,270977.00
2010-09-01,247275.00
2010-10-01,842840.00
2010-11-01,1321390.00
2010-12-01,1451116.50
2011-01-01,2364727.50
2011-02-01,5536450.00
2011-03-01,4629280.00
2011-04-01,16060149.00
2011-05-01,55002927.00
2011-06-01,116911860.50
2011-07-01,95787870.00
2011-08-01,65257663.00
2011-09-01,39566134.00
2011-10-01,23386865.00
2011-11-01,23149236.00
2011-12-01,35758659.00
2012-01-01,47083894.00
2012-02-01,43554148.00
2012-03-01,42229998.00
2012-04-01,45242465.00
2012-05-01,47217772.00
2012-06-01,62336152.50
2012-07-01,85738315.00
2012-08-01,111298131.00
2012-09-01,125300252.00
2012-10-01,113321184.00
2012-11-01,130762038.75
2012-12-01,144731291.25
2013-01-01,211978798.50
2013-02-01,329246440.00
2013-03-01,1015064937.50
2013-04-01,1518538825.00
2013-05-01,1454625820.00
2013-06-01,1078331229.50
2013-07-01,1164850865.00
2013-08-01,1370439708.00
2013-09-01,1490688850.00
2013-10-01,2457364533.75
2013-11-01,13673565982.50
2013-12-01,8716136000.00
2014-01-01,9212566759.50
2014-02-01,7264176221.25
2014-03-01,6284393460.00
2014-04-01,5860865222.00
2014-05-01,7975705762.50
2014-06-01,7760224700.00
2014-07-01,7760941168.00
2014-08-01,6617521125.00
2014-09-01,5000907909.00
2014-10-01,4507975322.00
2014-11-01,5092606030.50
2014-12-01,4317552332.50
2015-01-01,3254074255.00
2015-02-01,3329593393.50
2015-03-01,3464141792.75
2015-04-01,3183046960.00
2015-05-01,3348352896.00
2015-06-01,3597967785.50
2015-07-01,4243447956.00
2015-08-01,3369113768.00
2015-09-01,3493528968.00
2015-10-01,4841704036.75
