date,value_usd
2007-01-01,5329270294546.63
2007-02-01,5350552161944.22
2007-03-01,5371046534248.52
2007-04-01,5391002909904.95
2007-05-01,5416260252532.27
2007-06-01,5439931105044.65
2007-07-01,5460063479604.47
2007-08-01,5495982255802.87
2007-09-01,5513961143780.57
2007-10-01,5535371510377.51
2007-11-01,5568849801782.00
2007-12-01,5580165731275.06
2008-01-01,5619371486993.04
2008-02-01,5630090920202.73
2008-03-01,5647843809588.57
2008-04-01,5652711279260.49
2008-05-01,5653533774135.71
2008-06-01,5664127708127.36
2008-07-01,5677782623046.73
2008-08-01,5684750079634.12
2008-09-01,5702327970110.34
2008-10-01,5713459900749.85
2008-11-01,5733679774764.48
2008-12-01,5738613744022.06
2009-01-01,5735496763443.24
2009-02-01,5732011285160.45
2009-03-01,5738515744632.67
2009-04-01,5741690224853.21
2009-05-01,5738979241744.72
2009-06-01,5742421720295.43
2009-07-01,5742262721286.12
2009-08-01,5744767705678.14
2009-09-01,5744715706002.14
2009-10-01,5747427689104.40
2009-11-01,5748156684562.20
2009-12-01,5747846186496.84
2010-01-01,5749408176764.44
2010-02-01,5749511676119.56
2010-03-01,5748885180023.11
2010-04-01,5748520682294.21
2010-05-01,5749355177094.67
2010-06-01,5751232665396.47
2010-07-01,5750035672854.65
2010-08-01,5751498163742.21
2010-09-01,5753008154333.81
2010-10-01,5752956654654.69
2010-11-01,5752902154994.27
2010-12-01,5754938142308.50
2011-01-01,5753896148800.92
2011-02-01,5754415645564.05
2011-03-01,5755411639358.25
2011-04-01,5758540619862.29
2011-05-01,5757968623426.27
2011-06-01,5758959117254.73
2011-07-01,5755721637426.72
2011-08-01,5758072622778.27
2011-09-01,5758854617905.84
2011-10-01,5758127622435.58
2011-11-01,5757288127666.28
2011-12-01,5758805618211.15
2012-01-01,5757756624747.18
2012-02-01,5757235627993.40
2012-03-01,5756715131236.49
2012-04-01,5756715131236.49
2012-05-01,5758281621476.05
2012-06-01,5757756624747.18
2012-07-01,5757756624747.18
2012-08-01,5758805618211.15
2012-09-01,5758333121155.17
2012-10-01,5757915623756.50
2012-11-01,5758437620504.06
2012-12-01,5760630606840.07
2013-01-01,5759066616584.93
2013-02-01,5758699118874.72
2013-03-01,5759274615288.94
2013-04-01,5760318108787.17
2013-05-01,5759794112052.07
2013-06-01,5758749618560.07
2013-07-01,5760318108787.17
2013-08-01,5760318108787.17
2013-09-01,5760839105540.96
2013-10-01,5759794112052.07
2013-11-01,5759794112052.07
