date,value_usd
2013-03-01,16077535812235.71
2013-04-01,16161922478756.69
2013-05-01,16185434536362.21
2013-06-01,16176554413109.12
2013-07-01,16049619386866.84
2013-08-01,15848558404994.23
2013-09-01,15848720302159.48
2013-10-01,15783960161277.98
2013-11-01,15603086608609.51
2013-12-01,15548339871137.87
2014-01-01,15664938974420.61
2014-02-01,15815612969255.93
2014-03-01,15755213853589.60
2014-04-01,15926883488674.48
2014-05-01,16121483881306.98
2014-06-01,16131012868001.91
2014-07-01,16037344522266.78
2014-08-01,16148291247354.83
2014-09-01,16333202030907.97
2014-10-01,16602414070666.56
2014-11-01,16810742578043.90
2014-12-01,16698180705645.82
2015-01-01,17007441259920.53
2015-02-01,17236116544105.59
2015-03-01,16964321798387.95
2015-04-01,17317025608525.73
2015-05-01,17168613074880.63
2015-06-01,17100300119829.40
2015-07-01,17470445481266.19
2015-08-01,17565081385650.34
2015-09-01,17552968418215.53
2015-10-01,17734713920970.87
2015-11-01,17697713407416.31
2015-12-01,17904227901674.33
2016-01-01,17897873119243.00
2016-02-01,17990289630204.29
2016-03-01,18162576259210.29
2016-04-01,18041798424370.89
2016-05-01,18074720914054.28
2016-06-01,18183602494199.75
2016-07-01,18323941840856.36
2016-08-01,18385390101144.75
2016-09-01,18444069537473.09
2016-10-01,18493946612178.89
2016-11-01,18205606486084.86
2016-12-01,18046687208849.16
2017-01-01,18072275884424.73
2017-02-01,18113840113346.23
2017-03-01,18063637969529.09
2017-04-01,17927699166293.34
2017-05-01,17804639473770.47
2017-06-01,17885157180476.18
2017-07-01,17877335125310.96
2017-08-01,17911727437289.89
2017-09-01,17908303375983.86
2017-10-01,17811158702928.72
2017-11-01,17798282141777.48
2017-12-01,17829414839177.29
2018-01-01,17904227901674.33
2018-02-01,18034787129812.75
2018-03-01,18127206190335.71
2018-04-01,18313999825172.91
2018-05-01,18279771959920.89
2018-06-01,18395008322497.70
2018-07-01,18486610248509.42
2018-08-01,18493293924394.57
2018-09-01,18537138736218.71
2018-10-01,18631188241421.64
2018-11-01,18704535305965.61
2018-12-01,19004122823311.73
2019-01-01,19025474127412.52
2019-02-01,18979836973743.16
2019-03-01,19047967635135.88
2019-04-01,18908608594936.57
2019-05-01,19063289225916.66
2019-06-01,19097030124892.10
2019-07-01,19182928681475.98
2019-08-01,19264751763750.33
2019-09-01,19298491387944.95
2019-10-01,19226935390465.37
2019-11-01,19359777751068.09
2019-12-01,19535160822707.12
2020-01-01,19689682106083.62
2020-02-01,19879568359211.38
2020-03-01,20079891242984.15
2020-04-01,20608322315584.74
2020-05-01,20193824779553.97
2020-06-01,19884784762362.64
2020-07-01,19845668112632.35
2020-08-01,19638989171647.42
2020-09-01,19673543380791.60
2020-10-01,19716085366608.75
2020-11-01,19687562145565.40
2020-12-01,19773296255422.37
2021-01-01,19789270533987.48
2021-02-01,19805243537771.75
2021-03-01,19874679574733.11
2021-04-01,19983234810986.43
2021-05-01,20032459197907.90
2021-06-01,20133679345272.57
2021-07-01,20346062930466.17
2021-08-01,20379802554660.78
2021-09-01,20431308799265.73
2021-10-01,20323241804069.83
2021-11-01,20460647880039.48
2021-12-01,20615494232527.31
2022-01-01,20776043954442.98
2022-02-01,20702533717952.92
2022-03-01,20696501455071.26
2022-04-01,20762189636396.09
2022-05-01,20835864319613.05
2022-06-01,20818585940260.13
2022-07-01,20944743350196.86
2022-08-01,21109205374475.97
2022-09-01,20990546225373.96
2022-10-01,21135286115451.43
2022-11-01,20946210622930.76
2022-12-01,21043357845547.55
2023-01-01,21000000000000.00
2023-02-01,21018907549252.07
2023-03-01,21104642933889.87
2023-04-01,21211403278736.29
2023-05-01,21387931103559.55
2023-06-01,21438621488434.10
2023-07-01,21470893839894.81
2023-08-01,21572277159205.55
2023-09-01,21496159995920.70
2023-10-01,21526147940136.29
2023-11-01,21531856408687.45
2023-12-01,21737555043215.07
2024-01-01,21873979537946.58
2024-02-01,21942603539520.03
2024-03-01,21991827926441.50
2024-04-01,22055232975302.03
2024-05-01,22170307440713.59
2024-06-01,22313906401949.32
2024-07-01,22438108298094.75
2024-08-01,22458323772477.12
2024-09-01,22467935619925.92
2024-10-01,22562470816624.60
2024-11-01,22744216319379.95
2024-12-01,23017554824681.21
2025-01-01,23063194527912.24
2025-02-01,22860751683621.25
2025-03-01,22849831911042.15
2025-04-01,23028474597260.32
2025-05-01,22994736247846.53
2025-06-01,23077048845959.12
2025-07-01,23033367206081.07
2025-08-01,23006474429717.69
2025-09-01,23060229387704.56
2025-10-01,23169251193741.19
2025-11-01,23142570030995.38
2025-12-01,23179087402615.85
2026-01-01,23234183430034.57
2026-02-01,23278691127889.66
2026-03-01,23341359353431.16
2026-04-01,23402661013924.25
2026-05-01,23506652534810.62
2026-06-01,23524665187920.91
2026-07-01,23528507377338.77
