date,value_usd
2013-03-01,1660086754116.20
2013-04-01,1668800235161.95
2013-05-01,1671227973830.91
2013-06-01,1670310924638.40
2013-07-01,1657204242236.38
2013-08-01,1636443680625.79
2013-09-01,1636460397325.58
2013-10-01,1629773717408.91
2013-11-01,1611097478169.98
2013-12-01,1605444732716.80
2014-01-01,1652159161918.98
2014-02-01,1668050671459.96
2014-03-01,1661680461369.59
2014-04-01,1679786082767.23
2014-05-01,1700310313479.25
2014-06-01,1701315322352.73
2014-07-01,1691436253188.10
2014-08-01,1703137783259.76
2014-09-01,1722640064480.51
2014-10-01,1751033212160.86
2014-11-01,1773005462346.78
2014-12-01,1761133584951.68
2015-01-01,2308115222333.13
2015-02-01,2339148872374.28
2015-03-01,2302263217972.10
2015-04-01,2350129554949.80
2015-05-01,2329988009874.26
2015-06-01,2320717117374.43
2015-07-01,2370950310370.09
2015-08-01,2383793371794.61
2015-09-01,2382149841923.22
2015-10-01,2406814900214.27
2015-11-01,2401793137943.01
2015-12-01,2429819820332.08
2016-01-01,3287668755895.48
2016-02-01,3304644788387.84
2016-03-01,3336292434704.52
2016-04-01,3314106228920.47
2016-05-01,3320154244910.49
2016-06-01,3340154519562.95
2016-07-01,3365933520349.90
2016-08-01,3377220980268.09
2016-09-01,3387999599441.88
2016-10-01,3397161776987.24
2016-11-01,3344196443211.85
2016-12-01,3315004486212.47
2017-01-01,4466242692153.81
2017-02-01,4476514238930.11
2017-03-01,4464107669687.14
2017-04-01,4430513121102.99
2017-05-01,4400100786173.21
2017-06-01,4419999308976.70
2017-07-01,4418065911768.80
2017-08-01,4426565361544.23
2017-09-01,4425719795615.27
2017-10-01,4401711898006.55
2017-11-01,4398529369312.70
2017-12-01,4406223578210.92
2018-01-01,4603596127216.25
2018-02-01,4637166616682.94
2018-03-01,4660929065099.53
2018-04-01,4708958081410.52
2018-05-01,4700156968212.08
2018-06-01,4729787590238.27
2018-07-01,4753340589795.08
2018-08-01,4755058791552.41
2018-09-01,4766332646844.96
2018-10-01,4790514976309.07
2018-11-01,4809373895864.58
2018-12-01,4886404859846.44
2019-01-01,5381634194350.18
2019-02-01,5368724695986.08
2019-03-01,5387996812674.65
2019-04-01,5348576705117.28
2019-05-01,5392330749180.28
2019-06-01,5401874496371.77
2019-07-01,5426172162031.05
2019-08-01,5449317020051.71
2019-09-01,5458861127833.64
2019-10-01,5438620825812.05
2019-11-01,5476196873856.16
2019-12-01,5525806185493.70
2020-01-01,7150657961645.81
2020-02-01,7219618528932.76
2020-03-01,7292369344107.53
2020-04-01,7484278478857.09
2020-05-01,7333746332622.73
2020-06-01,7221513421397.01
2020-07-01,7207306588987.88
2020-08-01,7132246995723.88
2020-09-01,7144797359714.47
2020-10-01,7160246774917.16
2020-11-01,7149888060309.86
2020-12-01,7181023925883.02
2021-01-01,7186825731981.74
2021-02-01,7192626612161.83
2021-03-01,7217843079971.02
2021-04-01,7257266843148.65
2021-05-01,7275143554024.46
2021-06-01,7311903912279.82
2021-07-01,7389034322546.66
2021-08-01,7401287466658.91
2021-09-01,7419993337662.62
2021-10-01,7380747350860.82
2021-11-01,7430648346229.64
2021-12-01,7486882624987.42
2022-01-01,7545189109625.97
2022-02-01,7518493023855.44
2022-03-01,7516302300390.78
2022-04-01,7540158130781.83
2022-05-01,7566914401262.92
2022-06-01,7560639450747.28
2022-07-01,7606455756105.82
2022-08-01,7666183062873.07
2022-09-01,7623089884188.07
2022-10-01,7675655673357.10
2022-11-01,7606988622274.00
2022-12-01,7642269362568.02
2023-01-01,7626523190446.29
2023-02-01,7633389802962.74
2023-03-01,7664526594454.53
2023-04-01,7703297585002.16
2023-05-01,7767406338698.73
2023-06-01,7785816378702.04
2023-07-01,7797536656646.11
2023-08-01,7834355810734.10
2023-09-01,7806712510211.10
2023-10-01,7817604090986.58
2023-11-01,7819675370948.73
2023-12-01,7894379411461.07
2024-01-01,7943925317037.54
2024-02-01,7968846416805.64
2024-03-01,7986722201762.83
2024-04-01,8009748872025.98
2024-05-01,8051541135044.10
2024-06-01,8103691649710.21
2024-07-01,8148797775484.05
2024-08-01,8156138458336.04
2024-09-01,8159629171548.96
2024-10-01,8193964085968.45
2024-11-01,8259964491414.09
2024-12-01,8359235004861.49
2025-01-01,8375809874151.80
2025-02-01,8302289157641.08
2025-03-01,8298324374092.61
2025-04-01,8363200714328.58
2025-05-01,8350947107257.02
2025-06-01,8380840390036.62
2025-07-01,8364976626249.64
2025-08-01,8355208184765.21
2025-09-01,8374732104873.33
2025-10-01,8414325311159.17
2025-11-01,8404635572757.79
2025-12-01,8417897505211.01
2026-01-01,8437906606678.17
2026-02-01,8454070368099.37
2026-03-01,8476829447880.15
2026-04-01,8499092235278.41
2026-05-01,8536858604118.87
2026-06-01,8543400219198.25
2026-07-01,8544795578564.80
